V_round,AoS_round,dE,dR,CD0_fit,k_fit,R2_fit,fit_used
20.0,-10.0,-20,0,0.09701400527394838,0.06337131944460404,0.6984392560586946,
20.0,-10.0,-15,0,0.09007539265758244,0.0660030782627917,0.748432036394495,
20.0,-10.0,-10,-20,0.10671523412157732,0.05563186680197292,0.7970929972823613,
20.0,-10.0,-10,-10,0.09238348058580208,0.05627733702126165,0.773411366784676,
20.0,-10.0,-10,0,0.08455001498806676,0.06462302338291717,0.7539820600630227,
20.0,-10.0,-10,10,0.08045965725916432,0.057606066052850353,0.7773644873311929,
20.0,-10.0,-10,20,0.08287075683619773,0.06005735717813362,0.7975255905500384,
20.0,-10.0,-5,0,0.08187102632839927,0.06835640612006216,0.7766785507127534,
20.0,-10.0,0,-20,0.09756504178836978,0.05592363019903349,0.8282643137905799,
20.0,-10.0,0,0,0.07887071617349263,0.06470358631138744,0.7761922062765241,
20.0,-10.0,0,10,0.07478056629336395,0.056528445652982644,0.8072568154812413,
20.0,-10.0,0,20,0.07796283800017277,0.058574047703998246,0.8062108322307685,
20.0,-10.0,5,0,0.07911374943910215,0.06735922098067303,0.786079928966235,
20.0,-10.0,10,-20,0.09414090203006725,0.05943121936240388,0.8392932110552602,
20.0,-10.0,10,-10,0.08431260550302676,0.058921835208506364,0.8255766229502339,
20.0,-10.0,10,0,0.07784398987707002,0.06771133338377645,0.8120811624955666,
20.0,-10.0,10,10,0.07452814721138436,0.06134090216945976,0.8297918406650882,
20.0,-10.0,10,20,0.07693614246761997,0.06093357596818238,0.8274945123041026,
20.0,-10.0,15,0,0.08075488865318102,0.06936648248037296,0.819632355573695,
20.0,-10.0,20,0,0.08459259482288092,0.06967291900627699,0.8227866960981847,
20.0,-8.0,-10,-20,0.0924934860367209,0.05694926428482766,0.8005212056247171,
20.0,-8.0,-10,-10,0.08153366082229818,0.058146649098634144,0.790199518895201,
20.0,-8.0,-10,0,0.07542920617727535,0.05940003915623661,0.7957120012898191,
20.0,-8.0,-10,10,0.07267593608843992,0.06075381978173262,0.8045376171991206,
20.0,-8.0,-10,20,0.07669792345057082,0.05935821591328451,0.7989904973609453,
20.0,-8.0,0,-20,0.08515402449964359,0.05823599275191171,0.8243236253651934,
20.0,-8.0,0,0,0.07021106405844256,0.06027217453250146,0.8289269813113173,
20.0,-8.0,0,10,0.06723699273375866,0.06045562477038963,0.8337930168287824,
20.0,-8.0,0,20,0.07108752350207605,0.06170868053939814,0.827326791986204,
20.0,-8.0,10,-20,0.08360207247434115,0.06066932168539011,0.8429018453108168,
20.0,-8.0,10,-10,0.07430931967824103,0.06194087852533516,0.843876695455585,
20.0,-8.0,10,0,0.07015189737361018,0.06229706209664581,0.8460769105565765,
20.0,-8.0,10,10,0.0673079584556631,0.06306208603608203,0.8483012996547654,
20.0,-8.0,10,20,0.07081011386409367,0.06153778779762218,0.8479667765887335,
20.0,-5.0,-20,0,0.07498427210167087,0.07274698645487832,0.819421014211527,
20.0,-5.0,-15,0,0.06864505024142532,0.07290785408439675,0.8324435257900366,
20.0,-5.0,-10,0,0.06431882873005922,0.07420820439273802,0.8481374356698281,
20.0,-5.0,-5,0,0.06104463233408235,0.07335750240769133,0.8589850001354183,
20.0,-5.0,0,0,0.058857961719650166,0.07404339392883304,0.8670176617462282,
20.0,-5.0,5,0,0.05826355930836969,0.07350999738071695,0.873705307689351,
20.0,-5.0,10,0,0.05891058649615939,0.0739605018199983,0.8781026231212714,
20.0,-5.0,15,0,0.060758317065339615,0.07370112743296647,0.8848746943336485,
20.0,-5.0,20,0,0.06487263130337409,0.07352629852796495,0.8892962819826302,
20.0,-4.0,-10,-20,0.06984914665601391,0.06226567361986391,0.85457492854569,
20.0,-4.0,-10,-10,0.06134660315173458,0.06319811637348231,0.8371559307229919,
20.0,-4.0,-10,0,0.056609044854211234,0.0640978605438226,0.8451525615907514,
20.0,-4.0,-10,10,0.05692391946277764,0.0642045592573931,0.8516091525482263,
20.0,-4.0,-10,20,0.06273611896413465,0.06283613852549755,0.8450732219452879,
20.0,-4.0,0,-20,0.06464350217437997,0.062406268893340285,0.8616467095626293,
20.0,-4.0,0,0,0.051793356617293354,0.06538163937649165,0.8747975141779019,
20.0,-4.0,0,10,0.05184295125259887,0.0645731128346034,0.8678953165636457,
20.0,-4.0,0,20,0.05742667470201772,0.06458694212370747,0.8728008078453736,
20.0,-4.0,10,-20,0.06367738244039507,0.06330902309225196,0.8807536005120336,
20.0,-4.0,10,-10,0.055196248059314654,0.06550736132575981,0.8888182040362531,
20.0,-4.0,10,0,0.05226023954535529,0.06643292748789131,0.8891082472338934,
20.0,-4.0,10,10,0.05326518205585369,0.06543878144875112,0.8842513937497014,
20.0,-4.0,10,20,0.05675706559102175,0.0654286915002255,0.8900707126956376,
20.0,0.0,-20,0,0.06330644746332559,0.07743296789184038,0.7903626318957295,
20.0,0.0,-15,0,0.05709145704880647,0.07706329529074277,0.8046508165720099,
20.0,0.0,-10,-20,0.06409499958316632,0.059142010744575896,0.8887913009311241,
20.0,0.0,-10,-10,0.05612245752645004,0.06034432077391021,0.884873552061635,
20.0,0.0,-10,0,0.05276626112024776,0.07217747088651491,0.8098671902241573,
20.0,0.0,-10,10,0.05646259078109302,0.06009639483867733,0.8873389765695517,
20.0,0.0,-10,20,0.06403606251705,0.05910042420219927,0.8911170419999278,
20.0,0.0,-5,0,0.04935167260162086,0.07600818327768458,0.8234348924067745,
20.0,0.0,0,-20,0.0568201533882827,0.062189533444556466,0.9003704778108124,
20.0,0.0,0,0,0.04680212562209925,0.07292862740004176,0.8344866716124636,
20.0,0.0,0,10,0.049855146362580156,0.06308370924674182,0.8966707889857723,
20.0,0.0,0,20,0.05806189181530062,0.06168407445263035,0.9064041446104197,
20.0,0.0,5,0,0.04644379636051283,0.0759838209650577,0.8442723860866328,
20.0,0.0,10,-20,0.05661828402041427,0.06208247542037287,0.9204235823325523,
20.0,0.0,10,-10,0.050045394344771545,0.06350399528002729,0.91765965038659,
20.0,0.0,10,0,0.04727904420846007,0.07307280635832633,0.8568321893299181,
20.0,0.0,10,10,0.051528450760367245,0.06282111304238115,0.9248931039450562,
20.0,0.0,10,20,0.05690825058322664,0.062361029487885605,0.9215802079742301,
