V_round,AoS_round,dE,dR,fit_used,CD0_fit,k_fit,R2_fit
20.0,-10.0,-20,0,True,0.09842178916150841,0.06246488273777748,0.6984392560586946
20.0,-10.0,-15,0,True,0.09138248936069157,0.06505899798443737,0.7484320363944946
20.0,-10.0,-10,-20,True,0.10826379390662423,0.054836131971444754,0.7970929972823606
20.0,-10.0,-10,-10,True,0.09372407027775594,0.05547236965612563,0.7734113667846763
20.0,-10.0,-10,0,True,0.08577693215798517,0.06369868282927608,0.7539820600630225
20.0,-10.0,-10,10,True,0.0816272186722635,0.05678209310635338,0.7773644873311931
20.0,-10.0,-10,20,True,0.08407330605467883,0.059198321994104616,0.7975255905500387
20.0,-10.0,-5,0,True,0.08305906831674587,0.06737866482956988,0.7766785507127533
20.0,-10.0,0,-20,True,0.0989808218443622,0.05512372210755507,0.8282643137905794
20.0,-10.0,0,0,True,0.08001522023881634,0.06377809341949292,0.776192206276524
20.0,-10.0,0,10,True,0.0758657176179912,0.055719886535565095,0.8072568154812414
20.0,-10.0,0,20,True,0.07909416771751794,0.057736229154982104,0.8062108322307682
20.0,-10.0,5,0,True,0.08026178019435577,0.06639574300711601,0.786079928966235
20.0,-10.0,10,-20,True,0.09550699391199774,0.05858114019041134,0.8392932110552601
20.0,-10.0,10,-10,True,0.08553607759048674,0.058079042053264245,0.8255766229502342
20.0,-10.0,10,0,True,0.07897359497257019,0.06674281894246241,0.8120811624955667
20.0,-10.0,10,10,True,0.07560963564717897,0.060463507697582665,0.829791840665088
20.0,-10.0,10,20,True,0.07805257366156033,0.06006200771901499,0.827494512304103
20.0,-10.0,15,0,True,0.08192673421059958,0.06837429348234188,0.8196323555736951
20.0,-10.0,20,0,True,0.08582012987477641,0.0686763468690304,0.8227866960981846
20.0,-8.0,-10,-20,True,0.09383567203325886,0.056134685954646976,0.8005212056247175
20.0,-8.0,-10,-10,True,0.08271680725229348,0.05731494387955571,0.7901995188952009
20.0,-8.0,-10,0,True,0.07652377000656943,0.0585504059728024,0.7957120012898194
20.0,-8.0,-10,10,True,0.07373054682788671,0.059884822689471845,0.8045376171991209
20.0,-8.0,-10,20,True,0.07781089781481997,0.05850918095193151,0.7989904973609452
20.0,-8.0,0,-20,True,0.08638970653661328,0.05740300959878418,0.8243236253651929
20.0,-8.0,0,0,True,0.07122990669287269,0.05941006669136248,0.8289269813113178
20.0,-8.0,0,10,True,0.06821267820052501,0.05959089293418547,0.8337930168287823
20.0,-8.0,0,20,True,0.07211908456287523,0.06082602552036163,0.8273267919862038
20.0,-8.0,10,-20,True,0.08481523391699751,0.059801533218369445,0.8429018453108169
20.0,-8.0,10,-10,True,0.07538763267689695,0.06105490224394299,0.8438766954555851
20.0,-8.0,10,0,True,0.07116988143194752,0.061405991115218383,0.8460769105565766
20.0,-8.0,10,10,True,0.06828467371601014,0.06216007247390384,0.8483012996547659
20.0,-8.0,10,20,True,0.07183764939458409,0.06065757715650674,0.8479667765887339
20.0,-5.0,-20,0,True,0.07607237942995887,0.07170644414943748,0.8194210142115266
20.0,-5.0,-15,0,True,0.06964116822890301,0.07186501079602518,0.8324435257900367
20.0,-5.0,-10,0,True,0.06525216830816687,0.07314676144033011,0.8481374356698282
20.0,-5.0,-5,0,True,0.061930459587366926,0.07230822753877249,0.8589850001354183
20.0,-5.0,0,0,True,0.05971205788782273,0.07298430835600102,0.8670176617462283
20.0,-5.0,5,0,True,0.05910903001947586,0.07245854128782542,0.8737053076893511
20.0,-5.0,10,0,True,0.05976544630987207,0.07290260190103633,0.8781026231212712
20.0,-5.0,15,0,True,0.06163998955745373,0.07264693749617433,0.8848746943336486
20.0,-5.0,20,0,True,0.0658140071885839,0.07247460927031754,0.8892962819826303
20.0,-4.0,-10,-20,True,0.07086273745606889,0.0613750516060101,0.85457492854569
20.0,-4.0,-10,-10,True,0.06223681234606357,0.062294157090556315,0.8371559307229921
20.0,-4.0,-10,0,True,0.05743050667316083,0.06318103169861038,0.8451525615907513
20.0,-4.0,-10,10,True,0.05774995047149828,0.0632862042386469,0.8516091525482266
20.0,-4.0,-10,20,True,0.06364649161802485,0.061937356821503885,0.8450732219452877
20.0,-4.0,0,-20,True,0.06558155313454361,0.06151363586381249,0.8616467095626295
20.0,-4.0,0,0,True,0.05254493730631439,0.06444644789866304,0.8747975141779014
20.0,-4.0,0,10,True,0.05259525161635444,0.06364948618045899,0.8678953165636456
20.0,-4.0,0,20,True,0.05826000126278969,0.06366311766122668,0.8728008078453737
20.0,-4.0,10,-20,True,0.0646014139010946,0.06240347744625486,0.8807536005120333
20.0,-4.0,10,-10,True,0.05599720858508877,0.06457037157403274,0.8888182040362533
20.0,-4.0,10,0,True,0.05301859523827031,0.06548269882696513,0.8891082472338935
20.0,-4.0,10,10,True,0.054038120611008156,0.06450277263474806,0.8842513937497013
20.0,-4.0,10,20,True,0.0575806753597207,0.06449282700860354,0.8900707126956373
20.0,0.0,-20,0,True,0.06422509623435486,0.07632539927829687,0.7903626318957294
20.0,0.0,-15,0,True,0.05791991921902285,0.07596101431864459,0.80465081657201
20.0,0.0,-10,-20,True,0.06502509114501412,0.058296068291045645,0.8887913009311241
20.0,0.0,-10,-10,True,0.05693685840818784,0.05948118098327027,0.8848735520616349
20.0,0.0,-10,0,True,0.05353195976347059,0.07114507469229282,0.8098671902241572
20.0,0.0,-10,10,True,0.0572819273843707,0.059236801276366595,0.8873389765695517
20.0,0.0,-10,20,True,0.06496529883483461,0.05825507658508484,0.8911170419999279
20.0,0.0,-5,0,True,0.050067821670165304,0.07492099418416547,0.8234348924067746
20.0,0.0,0,-20,True,0.05764467863288882,0.0613000005077547,0.9003704778108123
20.0,0.0,0,0,True,0.04748127785551444,0.07188548697889809,0.8344866716124637
20.0,0.0,0,10,True,0.050578601409745835,0.06218138639525053,0.8966707889857723
20.0,0.0,0,20,True,0.05890443610102542,0.06080177138871261,0.9064041446104202
20.0,0.0,5,0,True,0.047117748827569805,0.07489698033981441,0.8442723860866328
20.0,0.0,10,-20,True,0.0574398799102053,0.061194473796533,0.9204235823325526
20.0,0.0,10,-10,True,0.05077161010718873,0.06259566083383866,0.9176596503865899
20.0,0.0,10,0,True,0.04796511707461957,0.07202760366198803,0.8568321893299178
20.0,0.0,10,10,True,0.05227618736320655,0.06192254625658001,0.9248931039450563
20.0,0.0,10,20,True,0.057734054218630336,0.06146904354379108,0.9215802079742302
20.0,0.0,15,0,True,0.049854392706159725,0.07478406650758888,0.8488307195602576
20.0,0.0,20,0,True,0.05389471902831333,0.07482586473519343,0.8482938584832787
20.0,4.0,-10,-20,True,0.06450066052207627,0.05820318842456339,0.8659402817426732
20.0,4.0,-10,-10,True,0.058193104464348194,0.05902424808156965,0.8743458026643769
20.0,4.0,-10,0,True,0.057954836446812645,0.05926968955836423,0.8712241615494596
20.0,4.0,-10,10,True,0.06207751112460127,0.05977076297088336,0.852374681044933
20.0,4.0,-10,20,True,0.07163469585360478,0.057446698337832246,0.8622320198523223
20.0,4.0,0,-20,True,0.058373179104030566,0.06024315944640714,0.8826199381240185
20.0,4.0,0,0,True,0.05286512710102108,0.06123698096704446,0.886707511159367
20.0,4.0,0,10,True,0.05603630200227664,0.061012417136316346,0.8716000329574145
20.0,4.0,0,20,True,0.06549543661765196,0.05986133232737214,0.8741228938878929
20.0,4.0,10,-20,True,0.05853808407201973,0.06021847263210675,0.8966650158972775
20.0,4.0,10,-10,True,0.05240945303342536,0.06274674045682772,0.8918385197256392
20.0,4.0,10,0,True,0.052565329315993725,0.0635320592259968,0.8869337193598827
20.0,4.0,10,10,True,0.05729298510807307,0.06231098435436614,0.8767075279075855
20.0,4.0,10,20,True,0.06381233517690912,0.06103690850127721,0.8842500553681918
20.0,5.0,-20,0,True,0.07552602447218938,0.07332028986220525,0.7548334518662136
20.0,5.0,-15,0,True,0.07050305390401343,0.07253784987678838,0.7648925526008639
20.0,5.0,-10,0,True,0.06596822008699071,0.07161212985879581,0.7750706218397065
20.0,5.0,-5,0,True,0.05620537233748301,0.07514960652801989,0.8083047203014795
20.0,5.0,0,0,True,0.052589970403566125,0.07519772773156636,0.8160496907783936
20.0,5.0,5,0,True,0.05231792433534037,0.0773501306269746,0.8291447145879304
20.0,5.0,10,0,True,0.05750882561425249,0.07603311917381324,0.8226341213918744
20.0,5.0,15,0,True,0.05508662796716704,0.07413464936480196,0.8342936600489113
20.0,5.0,20,0,True,0.06748444811002577,0.07215315978659614,0.8351123260334721
20.0,7.0,0,10,True,0.07336136334926498,0.06009303781827394,0.7984417686555505
20.0,8.0,-10,-20,True,0.0667954214264452,0.059019504837463446,0.8066968962722397
20.0,8.0,-10,-10,True,0.06182110196100612,0.06043197184723473,0.8072794646938604
20.0,8.0,-10,0,True,0.06453267378288541,0.05987548173306035,0.7952517948598858
20.0,8.0,-10,10,True,0.07092016312012402,0.05958495260099895,0.7872180711518012
20.0,8.0,-10,20,True,0.08195453871931341,0.057631666721153205,0.7808619049903314
20.0,8.0,0,-20,True,0.06016356629176537,0.062088452701163525,0.8059487694576003
20.0,8.0,0,0,True,0.058982692692204526,0.06199765220526685,0.8181435468930764
20.0,8.0,0,10,True,0.06440875344150315,0.06109360822752084,0.8026369701896101
20.0,8.0,0,20,True,0.07561188235647438,0.0589775000591208,0.8315442548335377
