run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,B1_zeroed,B2_zeroed,B3_zeroed,B4_zeroed,B5_zeroed,B6_zeroed,B1_zero,B2_zero,B3_zero,B4_zero,B5_zero,B6_zero,config,source_file,dR,dE,V_round,AoA_round,AoS_round,J,J_round
22.0,14.0,51.0,33.0,-0.0,-9.995,102.77,101040.0,293.59,391.5,53.3,153.9,49.4,176.9,74.9,244.422,1.1989319324846828,239.75126642027644,19.998535306227172,217893.52251001532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101040.0,1.514203372836018e-05,inf,inf,3.5902332851758416,1.7724958322027904,16.825689648695143,0.17319831757866616,-1.4844925967621125,-0.4840164241107088,0.06895448832954111,0.03404278593272566,0.3231563880007328,0.0023818516834370747,-0.1728174399301253,-0.006656273286578903,0.3231563880007328,0.06895448832954111,-0.03404278593272566,0.3231563880007328,0.0738165014233147,-0.021558220067342877,0.011976911948098901,-0.1922524671440656,-0.1922524671440656,-0.006656273286578903,390.5,53.3,153.9,49.4,176.9,74.9,1.0,0.0,0.0,0.0,0.0,0.0,tailOff_alfa0_balance,raw_tailOff_alfa0_balance.txt,0,0,20,-0.0,-10,inf,inf
22.0,18.0,39.0,1.0,0.0,-10.0,229.65,100884.0,294.78999999999996,835.5,355.7,393.1,63.1,381.8,37.6,359.961,1.192207899625275,536.4604639763018,29.999074787617214,323998.0007564202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100884.0,1.5275515326537995e-05,inf,inf,7.679918190672924,6.135252112393879,37.378169480497306,1.1140404219553826,-3.1327406509155917,-0.23396037452633411,0.06592037268649334,0.05266177265609162,0.32083451949862457,0.006846918900186424,-0.16298857503004982,-0.0014379260201594444,0.32083451949862457,0.06592037268649334,-0.05266177265609162,0.32083451949862457,0.07406351495755334,-0.040414769410950874,0.02168979583974314,-0.181568427743803,-0.181568427743803,-0.0014379260201594444,835.4,355.7,393.1,63.1,381.8,37.6,0.1,0.0,0.0,0.0,0.0,0.0,tailOff_alfa0_V50_balance,raw_tailOff_alfa0_V50_balance.txt,0,0,30,0.0,-10,inf,inf
43.0,15.0,9.0,52.0,-0.0,-9.995,231.21,101030.0,293.15999999999997,840.4,336.6,394.5,66.8,381.8,49.6,360.482,1.200571663671001,540.1177996955827,29.996128012450356,327640.2190327899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101030.0,1.5104220974574322e-05,inf,inf,7.716722636469482,5.978440771608014,37.69139193133209,0.9865092834656922,-3.1714892516860207,-0.31224546783842766,0.0657877725008526,0.05096830868762625,0.3213323627701898,0.006022053955075224,-0.16388726031374004,-0.0019060733498065556,0.3213323627701898,0.0657877725008526,-0.05096830868762625,0.3213323627701898,0.07363547872834161,-0.03877648480134638,0.02038762304839488,-0.182429739271572,-0.182429739271572,-0.0019060733498065556,839.4,336.6,394.5,66.8,381.8,49.6,1.0,0.0,0.0,0.0,0.0,0.0,tailOff_alfa0_balance,raw_tailOff_alfa0_balance.txt,0,0,30,-0.0,-10,inf,inf
1.0,14.0,34.0,24.0,-0.0,-10.0,409.54,101064.0,293.54999999999995,1234.6,1415.3,891.0,-11.2,543.3,-374.2,473.888,1.199380123268635,959.6873197556819,40.00381889759869,436069.44968050555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101064.0,1.5134780637660197e-05,inf,inf,11.337239311579536,17.95938431206239,67.32213059840578,4.299914456600937,-4.89122279941642,2.4630152381140262,0.054397424560752056,0.08617126501644405,0.32301960114359224,0.014772772669167083,-0.14225191786275584,0.00846192745474187,0.32301960114359224,0.054397424560752056,-0.08617126501644405,0.32301960114359224,0.06853448858868494,-0.07541611623031484,0.039060399497031884,-0.15758399344359306,-0.15758399344359306,0.00846192745474187,1233.6,1415.3,891.0,-11.2,543.3,-374.2,1.0,0.0,0.0,0.0,0.0,0.0,tailOff_alfa0_balance,raw_tailOff_alfa0_balance.txt,0,0,40,-0.0,-10,inf,inf
1.0,18.0,29.0,12.0,0.0,-10.0,633.35,100886.0,294.78,1407.5,3554.4,1732.8,-237.6,560.3,-1360.4,585.896,1.1922719796384158,1490.425654803632,50.001437239583964,540072.0228653919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100886.0,1.5274294066748413e-05,inf,inf,12.926990280967221,39.921759698167364,105.45761677386376,10.138846457721407,-6.35292653846686,8.904455911933553,0.039938144677658764,0.12333891957508604,0.32581300554366405,0.022429014114931454,-0.11896903998220784,0.019698312640137064,0.32581300554366405,0.039938144677658764,-0.12333891957508604,0.32581300554366405,0.06074897313910337,-0.11452993820302027,0.057192454705249654,-0.1302257246083781,-0.1302257246083781,0.019698312640137064,1407.4,3554.4,1732.8,-237.6,560.3,-1360.4,0.1,0.0,0.0,0.0,0.0,0.0,tailOff_alfa0_V50_balance,raw_tailOff_alfa0_V50_balance.txt,0,0,50,0.0,-10,inf,inf
22.0,19.0,8.0,11.0,4.995,-10.0,102.48,100880.0,294.09,460.8,45.1,319.8,216.5,277.1,85.4,245.432,1.1949982382127233,239.0748072582547,20.003144511232943,216943.08783935258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100880.0,1.5211876648698731e-05,inf,inf,4.242986605372691,1.7707885485126746,39.73390080033878,0.19444533861829613,-0.8745325005603188,-0.5524662129488952,0.08172193242040707,0.034106226474799925,0.7652937560285383,0.002681610377656523,-0.1020969058991951,-0.0076191033453190515,0.7695028312319062,0.014778361914437765,-0.034106226474799925,0.7652937560285384,0.08640287671320124,-0.01939721161814947,0.012911246776408371,-0.1251304751278709,-0.1251304751278709,-0.006466001410107918,461.7,45.1,319.8,216.5,277.1,85.4,-0.9,0.0,0.0,0.0,0.0,0.0,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,20,5.0,-10,inf,inf
43.0,19.0,16.0,56.0,4.995,-10.0,230.41,100869.0,293.84999999999997,980.1,339.1,773.5,436.1,600.5,65.6,360.982,1.195843835378437,538.2422147816898,30.003135386636746,325833.3048954884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100869.0,1.5191529742659524e-05,inf,inf,9.014238484993761,6.214706132391117,89.00979496309276,1.086125770347353,-1.707692153621445,-0.41617466620974863,0.07711734478982028,0.05316717949906203,0.7614840742528661,0.006653257266986325,-0.08855279374241186,-0.0025493522001693164,0.7653067015279814,0.010522965577140553,-0.05316717949906203,0.7614840742528661,0.08517814287243333,-0.03896816418720337,0.02177837683147503,-0.1102885462795658,-0.1102885462795658,-0.0006434532139890376,981.0,339.1,773.5,436.1,600.5,65.6,-0.9,0.0,0.0,0.0,0.0,0.0,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,30,5.0,-10,inf,inf
1.0,18.0,58.0,13.0,4.995,-10.0,408.1,100879.0,294.09,1516.7,1265.8,1533.8,671.7,940.9,-258.5,474.189,1.194986392472852,956.287543520823,40.006242879793255,433881.3742328097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100879.0,1.5212027441992168e-05,inf,inf,13.941104268821178,16.999277300406423,158.49143364876977,3.950624891955846,-2.4880116596184507,1.7089835670670854,0.0671288887212795,0.0818545340625049,0.763164352516815,0.013621008144684426,-0.07261633962817876,0.0058922524215221745,0.7661109156353548,0.0004261428418950719,-0.0818545340625049,0.763164352516815,0.08032294073753947,-0.06895417056870035,0.03603957512311747,-0.09153681617358597,-0.09153681617358597,0.009007798262749347,1517.6000000000001,1265.8,1533.8,671.7,940.9,-258.5,-0.9,0.0,0.0,0.0,0.0,0.0,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,40,5.0,-10,inf,inf
64.0,19.0,25.0,39.0,4.995,-9.995,633.68,100878.0,294.59999999999997,1890.3,3259.0,2709.4,851.7,1214.3,-1125.8,587.639,1.1929058535258057,1491.21163260932,50.00132977212115,540613.031526579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100878.0,1.525897579870168e-05,inf,inf,17.363874369472402,38.0991286105428,248.3797686273166,10.054191569401814,-2.558027952244176,7.377570215022771,0.05361769417331593,0.1176458308003748,0.7669688336672228,0.022230018729014974,-0.047878048913863526,0.016311955359364295,0.7687245449036382,-0.013364991882437838,-0.1176458308003748,0.7669688336672228,0.07322280671095567,-0.1065543016989163,0.05375823262557478,-0.06299035517052079,-0.06299035517052079,0.020930672684098237,1891.2,3259.0,2709.4,851.7,1214.3,-1125.8,-0.9,0.0,0.0,0.0,0.0,0.0,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,50,5.0,-10,inf,inf
1.0,19.0,45.0,41.0,10.0,-9.995,407.22,100856.0,294.47999999999996,2258.8,1261.3,1997.0,1041.2,1662.6,-192.7,477.301,1.1931316990921288,954.2099969620201,39.99381071752838,432630.03363398707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100856.0,1.5251285867455426e-05,inf,inf,20.76027393339195,17.760724778879965,227.35697312334656,3.230973554189155,-0.32412620883929577,1.2784809995011126,0.10018204638986838,0.08570723871102229,1.0971477014986428,0.011164040328602973,-0.009480704892077224,0.004417558113181466,1.0978759924259316,-0.0918576429993295,-0.08570723871102229,1.0971477014986426,0.11353711376581972,-0.06701863161880586,0.03401717551656618,-0.03771731203837639,-0.03771731203837639,0.010257466017070926,2259.6000000000004,1262.3,1997.0,1041.1000000000001,1662.6,-192.2,-0.8,-1.0,0.0,0.1,0.0,-0.5,tailOff_alfa10_betaSweep_balance,raw_tailOff_alfa10_betaSweep_balance.txt,0,0,40,10.0,-10,inf,inf
