AoA [deg],AoS [deg],AoA_round,AoS_round,CD,CYaw,CL,CMroll,CMpitch,CMyaw
-5.0,-10.0,-5.0,-10,0.025999999999999995,-0.005750000000000001,0.023850000000000007,0.0049,-0.032249999999999994,0.0068000000000000005
-4.5,-10.0,-4.5,-10,0.026409999999999996,-0.004475000000000001,0.02188185975609756,0.00493,-0.03336672297297297,0.0069
-4.0,-10.0,-4.0,-10,0.026699999999999995,-0.004050000000000001,0.020649999999999998,0.005000000000000001,-0.03435,0.007000000000000001
-3.5,-10.0,-3.5,-10,0.026859642857142853,-0.004660256410256411,0.020148140243902445,0.005177142857142858,-0.035149999999999994,0.007095000000000001
-3.0,-10.0,-3.0,-10,0.026999999999999996,-0.005750000000000001,0.01975,0.0054,-0.035949999999999996,0.0072000000000000015
-2.5,-10.0,-2.5,-10,0.027199999999999995,-0.0068667706167706176,0.01918319444444445,0.005574107142857143,-0.03701702702702702,0.0073612500000000015
-2.0,-10.0,-2.0,-10,0.027399999999999994,-0.00795,0.018650000000000003,0.0057,-0.038049999999999994,0.0075000000000000015
-1.5,-10.0,-1.5,-10,0.02756285714285714,-0.008782347972972972,0.01828055555555556,0.005752083333333333,-0.038854999999999994,0.007568750000000001
-1.0,-10.0,-1.0,-10,0.027699999999999995,-0.00945,0.017950000000000004,0.0058,-0.03945,0.007600000000000001
-0.5,-10.0,-0.5,-10,0.027804999999999996,-0.010040625,0.017638499999999998,0.005916666666666667,-0.039779999999999996,0.007600000000000001
0.0,-10.0,0.0,-10,0.027899999999999994,-0.01035,0.017249999999999998,0.006,-0.040049999999999995,0.007600000000000001
0.5,-10.0,0.5,-10,0.02800833333333333,-0.010199999999999999,0.016420874999999998,0.005900000000000001,-0.0403875,0.0075625000000000015
1.0,-10.0,1.0,-10,0.0281,-0.01005,0.015450000000000002,0.0058,-0.04065,0.0075000000000000015
1.5,-10.0,1.5,-10,0.028166666666666666,-0.010219642857142858,0.014767013888888892,0.005883333333333334,-0.0407875,0.007437500000000001
2.0,-10.0,2.0,-10,0.028199999999999996,-0.01055,0.014050000000000003,0.006,-0.04085,0.0074
2.5,-10.0,2.5,-10,0.028149999999999994,-0.011080357142857142,0.013004715762273907,0.006066666666666666,-0.0405875,0.007450000000000002
3.0,-10.0,3.0,-10,0.0281,-0.01145,0.011850000000000003,0.006100000000000001,-0.04015,0.0075000000000000015
3.5,-10.0,3.5,-10,0.0281,-0.0109,0.01082670784883721,0.00595,-0.03981944444444444,0.0074
4.0,-10.0,4.0,-10,0.0281,-0.01035,0.009750000000000002,0.0058,-0.03945,0.007300000000000001
4.5,-10.0,4.5,-10,0.0280375,-0.010671428571428571,0.00833517530487805,0.0058285714285714295,-0.03891680555555555,0.007333333333333334
