V_round,AoS_round,dE,dR,fit_used,CD0_fit,k_fit,R2_fit
20.0,-10.0,-20,0,True,0.07190962647082984,0.061182553659345516,0.6763764700871265
20.0,-10.0,-15,0,True,0.06478139825115778,0.06413677055534739,0.7318048523795788
20.0,-10.0,-10,-20,True,0.08117292760664238,0.05490732316270035,0.814900180520058
20.0,-10.0,-10,-10,True,0.06677875983349353,0.05533129091766116,0.7853585695213181
20.0,-10.0,-10,0,True,0.05925033500776731,0.06288060274866428,0.7439676196534956
20.0,-10.0,-10,10,True,0.05470441055700235,0.05661212749987158,0.7874131680189188
20.0,-10.0,-10,20,True,0.05683654407438371,0.05959379384931074,0.8214828865540038
20.0,-10.0,-5,0,True,0.05665699868286499,0.06653103430000665,0.7619668044108601
20.0,-10.0,0,-20,True,0.07218857977396934,0.05490868976447338,0.8356628722861128
20.0,-10.0,0,0,True,0.0537790839673638,0.06287911290193308,0.7647761027026843
20.0,-10.0,0,10,True,0.04919356040534564,0.05535737870383903,0.8111817414233573
20.0,-10.0,0,20,True,0.0523186491698596,0.05751947004433375,0.8146675925491829
20.0,-10.0,5,0,True,0.054290016169288004,0.06536251809841673,0.7692917333293048
20.0,-10.0,10,-20,True,0.06881795141971968,0.058459815031508384,0.8483240283142676
20.0,-10.0,10,-10,True,0.05900544512727501,0.05776914858362108,0.8305343059803502
20.0,-10.0,10,0,True,0.05273717504826172,0.06618178161870991,0.8069849119692378
20.0,-10.0,10,10,True,0.04895542401532243,0.06032087306837295,0.8388561911676473
20.0,-10.0,10,20,True,0.051320908131813954,0.05999560266585568,0.8388700649762291
20.0,-10.0,15,0,True,0.05597288110763974,0.06762437024664149,0.8080793454900106
20.0,-10.0,20,0,True,0.05988740726891044,0.06797768819233091,0.8119588378636988
20.0,-8.0,-10,-20,True,0.07867720863415922,0.05596609018783707,0.8147092124555534
20.0,-8.0,-10,-10,True,0.06761585131016518,0.0570800915488822,0.8029734312483667
20.0,-8.0,-10,0,True,0.06141217169765092,0.05834849071294432,0.808792494623864
20.0,-8.0,-10,10,True,0.058566484447247755,0.05977678697376251,0.819312273913837
20.0,-8.0,-10,20,True,0.062649022194535,0.058364740819184226,0.8133812041554024
20.0,-8.0,0,-20,True,0.07139672579882184,0.05715681296952939,0.8346038909600663
20.0,-8.0,0,0,True,0.05627680981986645,0.0591417091135956,0.8384095566615688
20.0,-8.0,0,10,True,0.053203526395449494,0.059399121624912725,0.845541340558374
20.0,-8.0,0,20,True,0.0570531863917007,0.060710850511868766,0.840558694213532
20.0,-8.0,10,-20,True,0.06988290113571058,0.059664879740837284,0.854164962937417
20.0,-8.0,10,-10,True,0.06049807757090842,0.06088341042943869,0.8544491004860736
20.0,-8.0,10,0,True,0.05630826352672463,0.06120030883357204,0.8556367909913601
20.0,-8.0,10,10,True,0.0533749390002525,0.062018380126964354,0.859110853231524
20.0,-8.0,10,20,True,0.056999511447086204,0.0604029085545702,0.8563207533516151
20.0,-5.0,-20,0,True,0.0677689982405795,0.07121659518204936,0.8092949115482174
20.0,-5.0,-15,0,True,0.06142913845168082,0.07136518856471907,0.8217696925626734
20.0,-5.0,-10,0,True,0.05711153687402743,0.0727141578408398,0.8378221457662325
20.0,-5.0,-5,0,True,0.05392046982583584,0.071825833539146,0.8485018093081187
20.0,-5.0,0,0,True,0.05182039521967835,0.07249226763124404,0.8566133377655484
20.0,-5.0,5,0,True,0.05138875426655494,0.07191564524947626,0.8629439851895334
20.0,-5.0,10,0,True,0.05212342480641283,0.07237549353388309,0.8678054072654269
20.0,-5.0,15,0,True,0.05410278790457735,0.07210532080498153,0.874276397697167
20.0,-5.0,20,0,True,0.05831967108323379,0.07195071065779365,0.8789834065163669
20.0,-4.0,-10,-20,True,0.0633803298489593,0.06131698154610529,0.8646084466449935
