run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,B1_zeroed,B2_zeroed,B3_zeroed,B4_zeroed,B5_zeroed,B6_zeroed,B1_zero,B2_zero,B3_zero,B4_zero,B5_zero,B6_zero,config,source_file,dR,dE,V_round,AoA_round,AoS_round,J,J_round,CD_modeloff,CYaw_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_uncorrected,CYaw_uncorrected,CL_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected,CMpitch25c_uncorrected,esb,e_total_blockage,V_solid_blockage_corr,CL_solid_blockage_corr,CD_solid_blockage_corr,CY_solid_blockage_corr,CMroll_solid_blockage_corr,CMpitch_solid_blockage_corr,CMyaw_solid_blockage_corr
22.0,14.0,51.0,33.0,-0.0,-9.995,102.77,101040.0,293.59,391.5,53.3,153.9,49.4,176.9,74.9,244.422,1.1989319324846828,239.75126642027644,19.99853530622717,217893.5225100153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101040.0,1.514203372836018e-05,inf,inf,3.5902332851758416,1.7724958322027904,16.825689648695143,0.1731983175786661,-1.4844925967621123,-0.4840164241107088,0.0689544883295411,0.0340427859327256,0.3231563880007328,0.002381851683437,-0.1728174399301253,-0.0066562732865789,0.3231563880007328,0.0689544883295411,-0.0340427859327256,0.30590638800073294,0.0459165014233148,-0.011208220067342801,0.005976911948098899,-0.1522024671440657,-0.1522024671440657,-0.0142562732865789,390.5,53.3,153.9,49.4,176.9,74.9,1.0,0.0,0.0,0.0,0.0,0.0,tailOff_alfa0_balance,raw_tailOff_alfa0_balance.txt,0,0,20,-0.0,-10,inf,inf,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.0738165014233147,-0.0215582200673428,0.3231563880007328,0.0119769119480989,-0.1922524671440656,-0.0066562732865789,-0.1922524671440656,0.006406642,0.006406642,19.87122746575352,0.30202407120490593,0.0453337662740216,-0.03361074239003551,0.005901057809207142,-0.15027083636505006,-0.014075344180821707
22.0,18.0,39.0,1.0,0.0,-10.0,229.65,100884.0,294.79,835.5,355.7,393.1,63.1,381.8,37.6,359.961,1.192207899625275,536.4604639763018,29.99907478761721,323998.0007564202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100884.0,1.5275515326537995e-05,inf,inf,7.679918190672924,6.135252112393879,37.378169480497306,1.1140404219553826,-3.132740650915592,-0.2339603745263341,0.0659203726864933,0.0526617726560916,0.3208345194986245,0.0068469189001864,-0.1629885750300498,-0.0014379260201594,0.3208345194986245,0.0659203726864933,-0.0526617726560916,0.30358451949862464,0.0461635149575534,-0.0300647694109508,0.0156897958397431,-0.1415184277438031,-0.1415184277438031,-0.0090379260201594,835.4,355.7,393.1,63.1,381.8,37.6,0.1,0.0,0.0,0.0,0.0,0.0,tailOff_alfa0_V50_balance,raw_tailOff_alfa0_V50_balance.txt,0,0,30,0.0,-10,inf,inf,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.0740635149575533,-0.0404147694109508,0.3208345194986245,0.0216897958397431,-0.181568427743803,-0.0014379260201594,-0.181568427743803,0.006406642,0.006406642,29.808104930628243,0.29973166998245254,0.04557764491199655,-0.05199343197246953,0.01549067362359773,-0.1397223901633539,-0.008923223963047004
43.0,15.0,9.0,52.0,-0.0,-9.995,231.21,101030.0,293.16,840.4,336.6,394.5,66.8,381.8,49.6,360.482,1.200571663671001,540.1177996955827,29.99612801245036,327640.2190327899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101030.0,1.5104220974574322e-05,inf,inf,7.716722636469482,5.978440771608014,37.69139193133209,0.9865092834656922,-3.1714892516860207,-0.3122454678384276,0.0657877725008526,0.0509683086876262,0.3213323627701898,0.0060220539550752,-0.16388726031374,-0.0019060733498065,0.3213323627701898,0.0657877725008526,-0.0509683086876262,0.3040823627701899,0.0457354787283417,-0.028426484801346304,0.014387623048394799,-0.1423797392715721,-0.1423797392715721,-0.0095060733498065,839.4,336.6,394.5,66.8,381.8,49.6,1.0,0.0,0.0,0.0,0.0,0.0,tailOff_alfa0_balance,raw_tailOff_alfa0_balance.txt,0,0,30,-0.0,-10,inf,inf,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.0736354787283416,-0.0387764848013463,0.3213323627701898,0.0203876230483948,-0.182429739271572,-0.0019060733498065,-0.182429739271572,0.006406642,0.006406642,29.805176914214325,0.3002231950293232,0.04515504097288102,-0.05032146008088056,0.01420502695755188,-0.140572770620894,-0.009385429944908957
1.0,14.0,34.0,24.0,-0.0,-10.0,409.54,101064.0,293.54999999999995,1234.6,1415.3,891.0,-11.2,543.3,-374.2,473.888,1.199380123268635,959.687319755682,40.00381889759869,436069.4496805056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101064.0,1.5134780637660196e-05,inf,inf,11.337239311579536,17.95938431206239,67.32213059840578,4.299914456600937,-4.89122279941642,2.4630152381140262,0.054397424560752,0.086171265016444,0.3230196011435922,0.014772772669167,-0.1422519178627558,0.0084619274547418,0.3230196011435922,0.054397424560752,-0.086171265016444,0.3057696011435923,0.040634488588685,-0.0650661162303148,0.0330603994970318,-0.11753399344359311,-0.11753399344359311,0.0008619274547418008,1233.6,1415.3,891.0,-11.2,543.3,-374.2,1.0,0.0,0.0,0.0,0.0,0.0,tailOff_alfa0_balance,raw_tailOff_alfa0_balance.txt,0,0,40,-0.0,-10,inf,inf,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.0685344885886849,-0.0754161162303148,0.3230196011435922,0.0390603994970318,-0.157583993443593,0.0084619274547418,-0.157583993443593,0.006406642,0.006406642,39.7491602580249,0.30188902033607334,0.04011878848000563,-0.08507764892141102,0.032640823609509734,-0.1160423469310476,0.000850988567665273
1.0,18.0,29.0,12.0,0.0,-10.0,633.35,100886.0,294.78,1407.5,3554.4,1732.8,-237.6,560.3,-1360.4,585.896,1.1922719796384158,1490.425654803632,50.00143723958397,540072.0228653919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100886.0,1.5274294066748413e-05,inf,inf,12.92699028096722,39.92175969816736,105.45761677386376,10.138846457721408,-6.35292653846686,8.904455911933553,0.0399381446776587,0.123338919575086,0.325813005543664,0.0224290141149314,-0.1189690399822078,0.019698312640137,0.325813005543664,0.0399381446776587,-0.123338919575086,0.3085630055436641,0.0328489731391034,-0.1041799382030202,0.0511924547052496,-0.09017572460837822,-0.09017572460837822,0.012098312640137002,1407.4,3554.4,1732.8,-237.6,560.3,-1360.4,0.1,0.0,0.0,0.0,0.0,0.0,tailOff_alfa0_V50_balance,raw_tailOff_alfa0_V50_balance.txt,0,0,50,0.0,-10,inf,inf,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.0607489731391033,-0.1145299382030202,0.325813005543664,0.0571924547052496,-0.1302257246083781,0.019698312640137,-0.1302257246083781,0.006406642,0.006406642,49.68313517905417,0.30464697310373295,0.032432080504147025,-0.12177360162872011,0.05054276141829108,-0.0890312871466076,0.01194477062791901
22.0,19.0,8.0,11.0,4.995,-10.0,102.48,100880.0,294.09,460.8,45.1,319.8,216.5,277.1,85.4,245.432,1.194998238212723,239.0748072582547,20.003144511232943,216943.08783935255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100880.0,1.5211876648698733e-05,inf,inf,4.242986605372691,1.7707885485126746,39.73390080033878,0.1944453386182961,-0.8745325005603188,-0.5524662129488952,0.081721932420407,0.0341062264747999,0.7652937560285383,0.0026816103776565,-0.1020969058991951,-0.007619103345319,0.7695028312319062,0.0147783619144377,-0.0341062264747999,0.7582437560285384,0.0585028767132013,-0.0080472116181495,0.0070112467764083,-0.086780475127871,-0.086780475127871,-0.0138660014101079,461.7,45.1,319.8,216.5,277.1,85.4,-0.9,0.0,0.0,0.0,0.0,0.0,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,20,5.0,-10,inf,inf,0.0278999999999999,-0.0113499999999999,0.00705,0.0059,-0.0383499999999999,0.0074,True,0.0864028767132012,-0.0193972116181494,0.7652937560285384,0.0129112467764083,-0.1251304751278709,-0.0064660014101079,-0.1251304751278709,0.006406642,0.006406642,19.875807329213696,0.7486207387107259,0.05776040545474783,-0.03367337779599075,0.00692226569530818,-0.08567912743016298,-0.01369002531978417
43.0,19.0,16.0,56.0,4.995,-10.0,230.41,100869.0,293.85,980.1,339.1,773.5,436.1,600.5,65.6,360.982,1.195843835378437,538.2422147816898,30.003135386636743,325833.3048954884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100869.0,1.5191529742659524e-05,inf,inf,9.01423848499376,6.214706132391117,89.00979496309276,1.086125770347353,-1.707692153621445,-0.4161746662097486,0.0771173447898202,0.053167179499062,0.7614840742528661,0.0066532572669863,-0.0885527937424118,-0.0025493522001693,0.7653067015279814,0.0105229655771405,-0.053167179499062,0.7544340742528661,0.05727814287243341,-0.0276181641872034,0.015878376831475,-0.0719385462795659,-0.0719385462795659,-0.008043453213989001,981.0,339.1,773.5,436.1,600.5,65.6,-0.9,0.0,0.0,0.0,0.0,0.0,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,30,5.0,-10,inf,inf,0.0278999999999999,-0.0113499999999999,0.00705,0.0059,-0.0383499999999999,0.0074,True,0.0851781428724333,-0.0389681641872033,0.7614840742528661,0.021778376831475,-0.1102885462795658,-0.000643453213989,-0.1102885462795658,0.006406642,0.006406642,29.812139680450105,0.7448594063390692,0.056551214946669086,-0.05249242460000621,0.01567686129769949,-0.07102556035497035,-0.007941372202496546
1.0,18.0,58.0,13.0,4.995,-10.0,408.1,100879.0,294.09,1516.7,1265.8,1533.8,671.7,940.9,-258.5,474.189,1.194986392472852,956.287543520823,40.006242879793255,433881.3742328097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100879.0,1.5212027441992168e-05,inf,inf,13.941104268821178,16.999277300406423,158.49143364876977,3.950624891955846,-2.4880116596184507,1.7089835670670854,0.0671288887212795,0.0818545340625049,0.763164352516815,0.0136210081446844,-0.0726163396281787,0.0058922524215221,0.7661109156353548,0.000426142841895,-0.0818545340625049,0.756114352516815,0.0524229407375395,-0.0576041705687004,0.030139575123117403,-0.053186816173586005,-0.053186816173586005,0.0016077982627493003,1517.6,1265.8,1533.8,671.7,940.9,-258.5,-0.9,0.0,0.0,0.0,0.0,0.0,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,40,5.0,-10,inf,inf,0.0278999999999999,-0.0113499999999999,0.00705,0.0059,-0.0383499999999999,0.0074,True,0.0803229407375394,-0.0689541705687003,0.763164352516815,0.0360395751231174,-0.0915368161735859,0.0090077982627493,-0.0915368161735859,0.006406642,0.006406642,39.751568809492476,0.7465183598684534,0.05175763111572308,-0.08081570243011447,0.029757067979398363,-0.0525118120617177,0.0015873933858176093
64.0,19.0,25.0,39.0,4.995,-9.995,633.68,100878.0,294.6,1890.3,3259.0,2709.4,851.7,1214.3,-1125.8,587.639,1.1929058535258057,1491.21163260932,50.00132977212115,540613.031526579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100878.0,1.525897579870168e-05,inf,inf,17.363874369472402,38.0991286105428,248.3797686273166,10.054191569401814,-2.558027952244176,7.377570215022771,0.0536176941733159,0.1176458308003748,0.7669688336672228,0.0222300187290149,-0.0478780489138635,0.0163119553593642,0.7687245449036382,-0.0133649918824378,-0.1176458308003748,0.7599188336672228,0.045322806710955704,-0.0952043016989164,0.0478582326255747,-0.02464035517052081,-0.02464035517052081,0.013530672684098199,1891.2,3259.0,2709.4,851.7,1214.3,-1125.8,-0.9,0.0,0.0,0.0,0.0,0.0,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,50,5.0,-10,inf,inf,0.0278999999999999,-0.0113499999999999,0.00705,0.0059,-0.0383499999999999,0.0074,True,0.0732228067109556,-0.1065543016989163,0.7669688336672228,0.0537582326255747,-0.0629903551705207,0.0209306726840982,-0.0629903551705207,0.006406642,0.006406642,49.68302839571398,0.7502745576169807,0.04474760625542438,-0.11615276493842809,0.04725085459219927,-0.024327639684718575,0.013358952315119875
1.0,19.0,45.0,41.0,10.0,-9.995,407.22,100856.0,294.48,2258.8,1261.3,1997.0,1041.2,1662.6,-192.7,477.301,1.1931316990921288,954.20999696202,39.99381071752838,432630.0336339871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100856.0,1.5251285867455426e-05,inf,inf,20.76027393339195,17.760724778879965,227.35697312334656,3.230973554189155,-0.3241262088392957,1.2784809995011126,0.1001820463898683,0.0857072387110222,1.0971477014986428,0.0111640403286029,-0.0094807048920772,0.0044175581131814,1.0978759924259316,-0.0918576429993295,-0.0857072387110222,1.1059977014986424,0.0841371137658198,-0.05156863161880589,0.0260171755165661,-0.0005673120383763997,-0.0005673120383763997,0.0028574660170708997,2259.6000000000004,1262.3,1997.0,1041.1,1662.6,-192.2,-0.8,-1.0,0.0,0.1,0.0,-0.5,tailOff_alfa10_betaSweep_balance,raw_tailOff_alfa10_betaSweep_balance.txt,0,0,40,10.0,-10,inf,inf,0.0293999999999999,-0.0154499999999999,-0.0088499999999999,0.008,-0.0371499999999999,0.0074,True,0.1135371137658197,-0.0670186316188058,1.0971477014986426,0.0340171755165661,-0.0377173120383763,0.0102574660170709,-0.0377173120383763,0.006406642,0.006406642,39.73921578861001,1.0919612719858858,0.08306931347547519,-0.08461951166306347,0.02568698653899005,-0.0005601121722034242,0.0028212013663583666
23.0,14.0,52.0,28.0,-0.0,-9.0,102.82,101043.0,293.53,386.3,5.8,135.1,65.5,178.5,84.3,244.35,1.1992126092702422,239.8678980969433,20.00105800971023,218006.47868457355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101043.0,1.5136097246511229e-05,inf,inf,3.563791514232437,1.1154537820306774,16.700000172438674,0.0255703906070324,-1.4589224152761573,-0.5483218281031311,0.0684133632170753,0.0214131338595886,0.3205864240260806,0.0003514772245241,-0.1697581010799164,-0.0075369452602218,0.3205864240260806,0.0684133632170753,-0.0214131338595886,0.3049364240260806,0.05312083333056511,0.0527027052277476,-0.011213167436343301,-0.1807906105746816,-0.1807906105746816,-0.030636945260221798,387.6,4.6,136.1,65.2,176.7,84.6,-1.3,1.2,-1.0,0.3,1.8,-0.3,tailOff_alfa0_balance,raw_tailOff_alfa0_balance.txt,0,0,20,-0.0,-9,inf,inf,0.0178,-0.06315,0.01565,0.0176,-0.0082499999999999,0.0231,True,0.0709208333305651,-0.0104472947722524,0.3205864240260806,0.0063868325636567,-0.1890406105746815,-0.0075369452602218,-0.1890406105746815,0.006406642,0.006406642,19.873734110063864,0.3010664172295797,0.05244666661964606,-0.021141375660037126,-0.011070858972119822,-0.17849616216989633,-0.03024812589644863
