AoA,AoS,V,dE,dR,CL,CD,CYaw,CMroll,CMpitch,CMyaw,CD_modeloff,CYaw_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_uncorrected,CYaw_uncorrected,CL_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected
0.003,0.0,29.99437607243653,-20,0,0.037543981933851,0.062376755241987394,0.005185698275089,-0.0027826374790476,0.538577705955163,-0.0063275134572107,0.0078,-0.00075,0.01705,-0.0005,-0.00635,0.0035,True,0.0701767552419874,0.004435698275089,0.054593981933851,-0.0032826374790476,0.532227705955163,-0.0028275134572107
-2.501,0.0,29.991409293819327,-20,0,-0.2537794560302221,0.06899001338405121,0.0072931612884345005,-0.005138260567129,0.6355210944400344,-0.0058455017801157996,0.0071,0.0027332293832293,0.0189831944444444,-0.0009258928571428,-0.003317027027027,0.00326125,True,0.0760900133840512,0.0100263906716638,-0.2347962615857777,-0.0060641534242718,0.6322040674130074,-0.0025842517801158
-5.001,0.0,29.9773867262713,-20,0,-0.5451478301372333,0.0836211921797877,0.006874035323464699,-0.0052762692060804,0.7258256056020967,-0.0046090967855867,0.0059,0.00385,0.02365,-0.0015999999999999,0.00145,0.0026999999999999,True,0.0895211921797877,0.0107240353234647,-0.5214978301372334,-0.0068762692060803,0.7272756056020967,-0.0019090967855868
-0.005,0.0,30.017377232059697,-20,0,0.0376513339243732,0.0617457781826887,0.0116532425726179,-0.004923005655771201,0.5368002594878791,-0.0062065659508714,0.0078,-0.00075,0.01705,-0.0005,-0.00635,0.0035,True,0.0695457781826887,0.0109032425726179,0.0547013339243732,-0.0054230056557712,0.5304502594878792,-0.0027065659508714
2.5,0.0,29.98278478356761,-20,0,0.32397774970070453,0.0608786221149208,0.0108286286799704,-0.0040575682086717,0.43793872675156575,-0.006334697808467,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0689286221149208,0.0093482715371133,0.3367824654629784,-0.004490901542005,0.4310512267515659,-0.002984697808467
5.0,0.0,29.97514198942636,-20,0,0.5959598050730569,0.0667325898888833,0.0104312458990987,-0.0030936361936877003,0.337666546658232,-0.0062197078776244,0.0078,-0.00175,0.0068499999999999,-0.0006,-0.00465,0.0033,True,0.0745325898888833,0.0086812458990987,0.6028098050730568,-0.0036936361936877,0.333016546658232,-0.0029197078776244
6.0,0.0,29.98949407548994,-20,0,0.6947785461587814,0.0713801016108887,0.0136456850394019,-0.0038198589522939,0.29730660039973006,-0.0064724678187273,0.0072,-0.00425,0.00545,0.0,-0.00375,0.0035,True,0.0785801016108887,0.0093956850394019,0.7002285461587814,-0.0038198589522939,0.2935566003997301,-0.0029724678187273
7.0,0.0,29.99012233893488,-20,0,0.7809391194384733,0.07793462281467689,0.013785631276182,-0.0041289662242723,0.2540526865987265,-0.0067198839713944,0.006,-0.00445,0.00695,0.0006,-0.0020499999999999,0.0036,True,0.0839346228146769,0.009335631276182,0.7878891194384733,-0.0035289662242723,0.2520026865987266,-0.0031198839713944
8.0,0.0,29.99462061764696,-20,0,0.8588084454640277,0.0867096474405504,0.014785683471738899,-0.0044588380834937,0.198993634493947,-0.0068759293502049,0.0043999999999999,-0.00565,0.00755,0.0009,-4.99999999999997e-05,0.0038,True,0.0911096474405503,0.0091356834717389,0.8663584454640276,-0.0035588380834937,0.198943634493947,-0.0030759293502049
9.0,0.0,30.00341335046291,-20,0,0.9189769765035388,0.0961798666480416,0.0130547970225119,-0.0040265393513104,0.1486249204552472,-0.0076464367368671,0.0074,-0.00675,-0.00815,0.0009,-0.00085,0.0039,True,0.1035798666480416,0.0063047970225119,0.9108269765035388,-0.0031265393513104,0.1477749204552472,-0.0037464367368671
