V_round,AoS_round,dE,dR,fit_used,CD0_fit,k_fit,R2_fit
20.0,-10.0,-20,0,True,0.07088106141050593,0.06207038230839661,0.6763764700871266
20.0,-10.0,-15,0,True,0.06385479236999529,0.06506746826165276,0.7318048523795788
20.0,-10.0,-10,-20,True,0.08001186418192464,0.05570409105862664,0.8149001805200577
20.0,-10.0,-10,-10,True,0.06582358453211219,0.056134211069363185,0.7853585695213181
20.0,-10.0,-10,0,True,0.05840284312952487,0.0637930720270913,0.7439676196534956
20.0,-10.0,-10,10,True,0.05392194167062356,0.057433634051526336,0.7874131680189188
20.0,-10.0,-10,20,True,0.05602357804669631,0.06045856778110266,0.8214828865540038
20.0,-10.0,-5,0,True,0.05584660079696225,0.06749647550456028,0.7619668044108601
20.0,-10.0,0,-20,True,0.0711560246828922,0.05570547749135033,0.8356628722861129
20.0,-10.0,0,0,True,0.05300985056343986,0.06379156056098444,0.764776102702684
20.0,-10.0,0,10,True,0.048489916402321975,0.05616067741907878,0.8111817414233571
20.0,-10.0,0,20,True,0.05157030521119239,0.05835414317138123,0.8146675925491831
20.0,-10.0,5,0,True,0.05351347460598563,0.06631100279987266,0.7692917333293048
20.0,-10.0,10,-20,True,0.06783360837933262,0.05930813363704066,0.8483240283142672
20.0,-10.0,10,-10,True,0.05816145605091131,0.05860744483110034,0.8305343059803502
20.0,-10.0,10,0,True,0.051982844671412544,0.06714215476843963,0.8069849119692377
20.0,-10.0,10,10,True,0.04825518621508954,0.06119619774906637,0.8388561911676472
20.0,-10.0,10,20,True,0.05058683544142255,0.060866207301948624,0.8388700649762291
20.0,-10.0,15,0,True,0.05517226855187383,0.06860567700302979,0.8080793454900107
20.0,-10.0,20,0,True,0.05903080297692217,0.06896412199516704,0.8119588378636986
20.0,-8.0,-10,-20,True,0.07755184292421854,0.056778222001111656,0.8147092124555534
20.0,-8.0,-10,-10,True,0.06664870260428349,0.05790838879272923,0.802973431248367
20.0,-8.0,-10,0,True,0.0605337578164101,0.05919519387561839,0.8087924946238639
20.0,-8.0,-10,10,True,0.057728774079875964,0.06064421634454399,0.8193122739138368
20.0,-8.0,-10,20,True,0.06175291692386033,0.05921167978943751,0.8133812041554023
20.0,-8.0,0,-20,True,0.07037549705404472,0.05798622352871172,0.8346038909600664
20.0,-8.0,0,0,True,0.05547184999559741,0.05999992278014588,0.8384095566615687
20.0,-8.0,0,10,True,0.0524425255250225,0.060261070640651664,0.8455413405583739
20.0,-8.0,0,20,True,0.05623712160340063,0.061591834210143415,0.840558694213532
20.0,-8.0,10,-20,True,0.06888332550237834,0.060530685210008164,0.8541649629374167
20.0,-8.0,10,-10,True,0.05963273850769622,0.061766898168969055,0.8544491004860739
20.0,-8.0,10,0,True,0.055502853801858425,0.062088395130455803,0.8556367909913601
20.0,-8.0,10,10,True,0.052611486316002355,0.0629183375715495,0.859110853231524
20.0,-8.0,10,20,True,0.056184214402624555,0.0612794236637523,0.8563207533516151
20.0,-5.0,-20,0,True,0.06679965898540079,0.07225002922016656,0.8092949115482175
20.0,-5.0,-15,0,True,0.06055048188512455,0.07240077886233019,0.8217696925626734
20.0,-5.0,-10,0,True,0.05629463746496353,0.07376932322151622,0.8378221457662325
20.0,-5.0,-5,0,True,0.05314921409804249,0.07286810832082781,0.8485018093081185
20.0,-5.0,0,0,True,0.051079178076007606,0.07354421313185275,0.8566133377655483
20.0,-5.0,5,0,True,0.050653711133580415,0.07295922330152978,0.8629439851895335
20.0,-5.0,10,0,True,0.05137787325495197,0.07342574450912624,0.8678054072654269
20.0,-5.0,15,0,True,0.05332892437564719,0.07315165126572232,0.8742763976971669
20.0,-5.0,20,0,True,0.05748549103044036,0.07299479754892357,0.8789834065163669
20.0,-4.0,-10,-20,True,0.06247376426109758,0.06220676089714508,0.8646084466449937
20.0,-4.0,-10,-10,True,0.05401541241761901,0.06308780426962571,0.8460494105353478
20.0,-4.0,-10,0,True,0.04928132405825528,0.06399582652961826,0.8549307330363815
20.0,-4.0,-10,10,True,0.0495769261871742,0.0641279194145333,0.8613885864982511
20.0,-4.0,-10,20,True,0.05537871920006784,0.06274147632828753,0.8551832067628693
20.0,-4.0,0,-20,True,0.057411753985743226,0.062270034433532996,0.8692352060115216
20.0,-4.0,0,0,True,0.04459448467397018,0.06524722446937652,0.8817432661953508
20.0,-4.0,0,10,True,0.044649161064905865,0.0644157912263449,0.8749212841496083
20.0,-4.0,0,20,True,0.050195757924293656,0.0644654879582014,0.8803600700535524
20.0,-4.0,10,-20,True,0.056630530485761985,0.06309920792558515,0.8858649922667721
20.0,-4.0,10,-10,True,0.048177971165340734,0.0652902027365405,0.893239208586299
20.0,-4.0,10,0,True,0.0452424461880775,0.06622037196225765,0.8935822728196763
20.0,-4.0,10,10,True,0.04625215115885723,0.06520958189662934,0.8883857172157262
20.0,-4.0,10,20,True,0.0497318944285146,0.06520295803118487,0.8942548809595606
20.0,0.0,-20,0,True,0.05658613414284191,0.07694511810693984,0.7747633589784916
20.0,0.0,-15,0,True,0.05045718195483989,0.07657550801013235,0.7895920624840563
20.0,0.0,-10,-20,True,0.057145094814928514,0.05931243622571533,0.900656032435555
20.0,0.0,-10,-10,True,0.04919159656332319,0.060517393129185935,0.8964881358937857
20.0,0.0,-10,0,True,0.0462139257504342,0.07169448811621237,0.8009652016840876
20.0,0.0,-10,10,True,0.04951609615279557,0.060288617062176676,0.8995749656055317
20.0,0.0,-10,20,True,0.057086978888833066,0.059267226315831936,0.9025473353350019
20.0,0.0,-5,0,True,0.042946895733509995,0.07547229844224307,0.8092291622210255
20.0,0.0,0,-20,True,0.05003931213822429,0.06226022475779478,0.9082660424122588
20.0,0.0,0,0,True,0.04048578852989734,0.0724142769537542,0.8252611889297087
20.0,0.0,0,10,True,0.04310719066515987,0.06313170696851911,0.9043018615495542
20.0,0.0,0,20,True,0.05125966006693144,0.06177502964724273,0.9146065171979598
20.0,0.0,5,0,True,0.04031264667165059,0.0754090444398669,0.8306841786112107
20.0,0.0,10,-20,True,0.049990606706258996,0.062083338767996155,0.9267129462114866
20.0,0.0,10,-10,True,0.04344835894840897,0.06348478954976718,0.923516070500535
20.0,0.0,10,0,True,0.0411749114851824,0.07254662321607615,0.8477309939536062
20.0,0.0,10,10,True,0.044922039733208116,0.06280756501512916,0.9309129452214925
20.0,0.0,10,20,True,0.05029408566199202,0.0623407729130005,0.9273193589219196
20.0,0.0,15,0,True,0.04323406718679986,0.07525814210988332,0.8351360062898794
