V_round,AoS_round,dE,dR,fit_used,CD0_fit,k_fit,R2_fit
20.0,-10.0,-20,0,True,0.09701400527394842,0.06337131944460403,0.6984392560586945
20.0,-10.0,-15,0,True,0.09007539265758242,0.06600307826279167,0.7484320363944947
20.0,-10.0,-10,-20,True,0.10671523412157738,0.05563186680197292,0.7970929972823607
20.0,-10.0,-10,-10,True,0.09238348058580209,0.0562773370212617,0.7734113667846763
20.0,-10.0,-10,0,True,0.08455001498806677,0.06462302338291709,0.7539820600630227
20.0,-10.0,-10,10,True,0.08045965725916436,0.05760606605285044,0.7773644873311932
20.0,-10.0,-10,20,True,0.08287075683619781,0.06005735717813362,0.7975255905500389
20.0,-10.0,-5,0,True,0.0818710263283993,0.06835640612006219,0.7766785507127533
20.0,-10.0,0,-20,True,0.09756504178836987,0.05592363019903343,0.8282643137905794
20.0,-10.0,0,0,True,0.07887071617349267,0.06470358631138749,0.7761922062765241
20.0,-10.0,0,10,True,0.074780566293364,0.05652844565298265,0.8072568154812415
20.0,-10.0,0,20,True,0.07796283800017278,0.05857404770399817,0.8062108322307684
20.0,-10.0,5,0,True,0.07911374943910215,0.06735922098067303,0.7860799289662349
20.0,-10.0,10,-20,True,0.09414090203006727,0.05943121936240389,0.8392932110552601
20.0,-10.0,10,-10,True,0.08431260550302688,0.05892183520850636,0.8255766229502342
20.0,-10.0,10,0,True,0.07784398987707006,0.06771133338377647,0.8120811624955667
20.0,-10.0,10,10,True,0.07452814721138441,0.06134090216945976,0.8297918406650882
20.0,-10.0,10,20,True,0.07693614246761998,0.060933575968182406,0.8274945123041029
20.0,-10.0,15,0,True,0.08075488865318105,0.06936648248037297,0.819632355573695
20.0,-10.0,20,0,True,0.08459259482288095,0.06967291900627698,0.8227866960981847
20.0,-8.0,-10,-20,True,0.09249348603672095,0.05694926428482765,0.8005212056247175
20.0,-8.0,-10,-10,True,0.08153366082229821,0.05814664909863413,0.7901995188952009
20.0,-8.0,-10,0,True,0.07542920617727537,0.05940003915623662,0.7957120012898192
20.0,-8.0,-10,10,True,0.07267593608843992,0.060753819781732644,0.8045376171991208
20.0,-8.0,-10,20,True,0.07669792345057092,0.05935821591328445,0.7989904973609452
20.0,-8.0,0,-20,True,0.08515402449964365,0.05823599275191169,0.824323625365193
20.0,-8.0,0,0,True,0.07021106405844255,0.0602721745325015,0.8289269813113176
20.0,-8.0,0,10,True,0.06723699273375873,0.06045562477038959,0.8337930168287823
20.0,-8.0,0,20,True,0.07108752350207599,0.061708680539398146,0.8273267919862037
20.0,-8.0,10,-20,True,0.08360207247434122,0.060669321685390104,0.8429018453108168
20.0,-8.0,10,-10,True,0.07430931967824099,0.061940878525335176,0.8438766954555849
20.0,-8.0,10,0,True,0.07015189737361019,0.06229706209664576,0.8460769105565764
20.0,-8.0,10,10,True,0.06730795845566312,0.06306208603608207,0.8483012996547658
20.0,-8.0,10,20,True,0.07081011386409375,0.061537787797622194,0.8479667765887338
20.0,-5.0,-20,0,True,0.07498427210167093,0.07274698645487832,0.8194210142115267
20.0,-5.0,-15,0,True,0.06864505024142536,0.07290785408439673,0.8324435257900367
20.0,-5.0,-10,0,True,0.06431882873005933,0.07420820439273804,0.8481374356698284
20.0,-5.0,-5,0,True,0.06104463233408242,0.0733575024076913,0.8589850001354183
20.0,-5.0,0,0,True,0.05885796171965023,0.07404339392883304,0.8670176617462283
20.0,-5.0,5,0,True,0.058263559308369704,0.07350999738071697,0.8737053076893511
20.0,-5.0,10,0,True,0.058910586496159434,0.07396050181999828,0.8781026231212713
20.0,-5.0,15,0,True,0.06075831706533962,0.07370112743296643,0.8848746943336486
20.0,-5.0,20,0,True,0.06487263130337412,0.07352629852796498,0.8892962819826303
20.0,-4.0,-10,-20,True,0.06984914665601391,0.062265673619863925,0.8545749285456898
20.0,-4.0,-10,-10,True,0.061346603151734576,0.06319811637348231,0.837155930722992
20.0,-4.0,-10,0,True,0.05660904485421126,0.0640978605438226,0.8451525615907511
20.0,-4.0,-10,10,True,0.056923919462777674,0.0642045592573931,0.8516091525482266
20.0,-4.0,-10,20,True,0.0627361189641347,0.06283613852549759,0.8450732219452877
20.0,-4.0,0,-20,True,0.06464350217437997,0.06240626889334031,0.8616467095626295
20.0,-4.0,0,0,True,0.05179335661729347,0.06538163937649163,0.8747975141779014
20.0,-4.0,0,10,True,0.051842951252598975,0.0645731128346034,0.8678953165636458
20.0,-4.0,0,20,True,0.05742667470201775,0.06458694212370747,0.8728008078453737
20.0,-4.0,10,-20,True,0.06367738244039522,0.06330902309225188,0.8807536005120332
20.0,-4.0,10,-10,True,0.05519624805931471,0.0655073613257598,0.8888182040362534
20.0,-4.0,10,0,True,0.05226023954535534,0.06643292748789134,0.8891082472338935
20.0,-4.0,10,10,True,0.05326518205585377,0.06543878144875108,0.8842513937497012
20.0,-4.0,10,20,True,0.056757065591021845,0.06542869150022546,0.8900707126956373
20.0,0.0,-20,0,True,0.06330644746332566,0.07743296789184038,0.7903626318957294
20.0,0.0,-15,0,True,0.05709145704880651,0.0770632952907428,0.8046508165720098
20.0,0.0,-10,-20,True,0.06409499958316639,0.059142010744575875,0.8887913009311241
20.0,0.0,-10,-10,True,0.05612245752645007,0.06034432077391022,0.8848735520616349
20.0,0.0,-10,0,True,0.0527662611202478,0.0721774708865149,0.8098671902241573
20.0,0.0,-10,10,True,0.05646259078109303,0.06009639483867734,0.8873389765695516
20.0,0.0,-10,20,True,0.06403606251705006,0.05910042420219924,0.8911170419999278
20.0,0.0,-5,0,True,0.04935167260162089,0.07600818327768466,0.8234348924067745
20.0,0.0,0,-20,True,0.056820153388282724,0.062189533444556494,0.9003704778108121
20.0,0.0,0,0,True,0.04680212562209928,0.07292862740004175,0.8344866716124637
20.0,0.0,0,10,True,0.04985514636258022,0.06308370924674181,0.8966707889857725
20.0,0.0,0,20,True,0.05806189181530067,0.061684074452630355,0.9064041446104201
20.0,0.0,5,0,True,0.04644379636051288,0.07598382096505768,0.8442723860866327
20.0,0.0,10,-20,True,0.05661828402041432,0.06208247542037284,0.9204235823325525
20.0,0.0,10,-10,True,0.050045394344771586,0.06350399528002726,0.9176596503865898
20.0,0.0,10,0,True,0.04727904420846007,0.07307280635832634,0.8568321893299178
20.0,0.0,10,10,True,0.051528450760367266,0.06282111304238117,0.9248931039450563
20.0,0.0,10,20,True,0.056908250583226704,0.062361029487885626,0.9215802079742302
20.0,0.0,15,0,True,0.04914129643577338,0.07586926862431743,0.8488307195602575
20.0,0.0,20,0,True,0.05312383162910008,0.07591167339188684,0.8482938584832787
20.0,4.0,-10,-20,True,0.0635780701953453,0.059047783085275946,0.8659402817426733
20.0,4.0,-10,-10,True,0.0573607347672523,0.05988075725454878,0.874345802664377
20.0,4.0,-10,0,True,0.057125874835252076,0.06012976036716489,0.8712241615494596
20.0,4.0,-10,10,True,0.061189580507960716,0.06063810492651104,0.8523746810449327
20.0,4.0,-10,20,True,0.07061006328522623,0.05828031546440234,0.8622320198523221
20.0,4.0,0,-20,True,0.057538233695006734,0.06111735641379219,0.8826199381240185
20.0,4.0,0,0,True,0.05210896655181077,0.062125599418419476,0.886707511159367
20.0,4.0,0,10,True,0.05523478230070117,0.061897776910330965,0.8716000329574148
20.0,4.0,0,20,True,0.06455861743193553,0.060729988547681635,0.8741228938878928
20.0,4.0,10,-20,True,0.057700779931673406,0.06109231136565421,0.8966650158972774
20.0,4.0,10,-10,True,0.05165981025447511,0.06365726724069361,0.8918385197256392
20.0,4.0,10,0,True,0.0518134569482408,0.06445398188107437,0.8869337193598827
20.0,4.0,10,10,True,0.05647349033976505,0.06321518782008614,0.8767075279075855
20.0,4.0,10,20,True,0.06289959036648694,0.06192262367293656,0.884250055368192
20.0,5.0,-20,0,True,0.07444573197548486,0.07438425090997121,0.7548334518662134
20.0,5.0,-15,0,True,0.06949460786624657,0.07359045682777897,0.7648925526008636
20.0,5.0,-10,0,True,0.06502463840532585,0.07265130355628817,0.7750706218397065
20.0,5.0,-5,0,True,0.05540143432492378,0.07624011304744334,0.8083047203014795
20.0,5.0,0,0,True,0.051837745580057604,0.07628893254454867,0.8160496907783937
20.0,5.0,5,0,True,0.051569590744401386,0.07847256926137412,0.8291447145879304
20.0,5.0,10,0,True,0.056686243554101255,0.07713644646961529,0.8226341213918745
20.0,5.0,15,0,True,0.05429869200366885,0.07521042769795061,0.8342936600489114
20.0,5.0,20,0,True,0.06651917894026627,0.07320018444553367,0.835112326033472
20.0,7.0,0,10,True,0.07231203325506136,0.060965056349579945,0.7984417686555506
20.0,8.0,-10,-20,True,0.06584000780464412,0.05987594518055968,0.8066968962722401
20.0,8.0,-10,-10,True,0.06093683891322618,0.06130890869794805,0.8072794646938606
20.0,8.0,-10,0,True,0.06360962555193289,0.06074434327738757,0.7952517948598857
20.0,8.0,-10,10,True,0.06990575092751694,0.060449598236191955,0.7872180711518013
20.0,8.0,-10,20,True,0.08078229545789357,0.058467967949972395,0.7808619049903314
20.0,8.0,0,-20,True,0.05930301193723408,0.06298942697873729,0.8059487694576003
20.0,8.0,0,0,True,0.058139029057105,0.06289730886406233,0.8181435468930766
20.0,8.0,0,10,True,0.0634874777150075,0.061980146176889565,0.8026369701896099
20.0,8.0,0,20,True,0.07453036178469473,0.05983333086496523,0.8315442548335377
20.0,8.0,10,-20,True,0.05919770762103317,0.06278081007123226,0.818520977506693
20.0,8.0,10,-10,True,0.055047738852995125,0.0641715342624787,0.8298842880215315
20.0,8.0,10,0,True,0.0599643623071287,0.06391446445561538,0.778449993700244
20.0,8.0,10,10,True,0.06639710730704866,0.062437522770352576,0.7833229150139518
20.0,8.0,10,20,True,0.07398230788112582,0.06120649385232056,0.7954601442764518
20.0,10.0,-20,0,True,0.09587242505990592,0.06924053752940779,0.683083003389041
20.0,10.0,-15,0,True,0.09092639654889381,0.07010947430588185,0.6932432826790483
20.0,10.0,-10,-20,True,0.08272489184648081,0.05519756252881852,0.775339028224886
20.0,10.0,-10,-10,True,0.07897310480625477,0.06021441793111934,0.7514735887231863
20.0,10.0,-10,0,True,0.08506488639826386,0.0662835328579013,0.7204485497688898
20.0,10.0,-10,10,True,0.09163846798154754,0.05670484557037804,0.7189958570316
20.0,10.0,-10,20,True,0.10496380923395833,0.0548126621062028,0.7632661068685406
20.0,10.0,-5,0,True,0.08266710620259503,0.06993766975873732,0.7274927908169493
20.0,10.0,0,-20,True,0.07632270124567558,0.05995448847266992,0.7618665249266704
20.0,10.0,0,0,True,0.07998918308324444,0.06608625169271964,0.7491306282745319
20.0,10.0,0,10,True,0.08613034615560519,0.058445842115162745,0.7658650257791536
20.0,10.0,0,20,True,0.09974147291338932,0.055616455345410654,0.7945033188271227
20.0,10.0,5,0,True,0.08067499122699519,0.07011954203818883,0.7500856223166074
20.0,10.0,10,-20,True,0.0767219519139837,0.062335701896582094,0.8182856716533754
20.0,10.0,10,-10,True,0.07551215778709436,0.06122321360606842,0.7926325013255521
20.0,10.0,10,0,True,0.0797674540295272,0.0678770730235106,0.762010888536514
20.0,10.0,10,10,True,0.08876009080527228,0.05804698300697823,0.8043462460796309
20.0,10.0,10,20,True,0.0971053659654486,0.05787659352497569,0.8112001166146418
20.0,10.0,15,0,True,0.08180963559822853,0.07068426762980748,0.7729034885702859
20.0,10.0,20,0,True,0.08593861555349028,0.0704674858421301,0.7768913563927766
27.5,-5.0,5,0,False,,,
29.5,-8.0,-10,20,False,,,
29.5,-4.0,-10,20,False,,,
29.5,-4.0,0,-20,False,,,
30.0,-10.0,-20,0,True,0.09430270349653296,0.05621544036494311,0.6815390241651735
30.0,-10.0,-10,-20,True,0.08870986228295505,0.05067677273097625,0.8603672735015269
30.0,-10.0,-10,-10,True,0.07654782702617931,0.050930708939718246,0.8516980205269493
30.0,-10.0,-10,0,True,0.08274554396789191,0.05834457109954022,0.7478626893990756
30.0,-10.0,-10,10,True,0.06572466953614646,0.05360441333244146,0.8484960015163664
30.0,-10.0,-10,20,True,0.06940268184830836,0.050417768150421614,0.8516642468727412
30.0,-10.0,0,-20,True,0.08127071345880695,0.052364541195218356,0.894885189126809
30.0,-10.0,0,-10,True,0.08437545231129154,0.053231840900684585,0.8676177165318045
30.0,-10.0,0,0,True,0.07272331602698465,0.06101061354081546,0.761954268878235
30.0,-10.0,0,10,True,0.07405295808269957,0.05245668673697823,0.8708273475835566
30.0,-10.0,0,20,True,0.06425514829532143,0.05414190685389067,0.886590939788451
30.0,-10.0,10,-20,True,0.08028889756172967,0.05638231844800907,0.9021703899167088
30.0,-10.0,10,-10,True,0.08263622214231295,0.0565568413292934,0.8813107978223975
30.0,-10.0,10,0,True,0.07330536107904821,0.06230580888797823,0.7872079006613539
30.0,-10.0,10,10,True,0.06438458895458501,0.05631113912240176,0.8516009987613017
30.0,-10.0,10,20,True,0.061879036877868374,0.05838137588143554,0.8946827716138496
30.0,-10.0,20,0,True,0.08309006116144449,0.06431751168891313,0.8122583644987178
30.0,-8.0,-10,-20,True,0.07780938742940569,0.05509412986971968,0.8614494680343068
30.0,-8.0,-10,-10,True,0.06695355854901178,0.05611803075636044,0.8610150996941391
30.0,-8.0,-10,0,True,0.0719568237844835,0.0549981913653724,0.8530804622302648
30.0,-8.0,-10,10,True,0.05913156905611882,0.0574766443882187,0.8627389747420696
30.0,-8.0,-10,20,True,0.06339662343099621,0.0550856586392449,0.8369253147563123
30.0,-8.0,0,-20,True,0.07024303438613366,0.0572591473207849,0.875274572980965
30.0,-8.0,0,-10,True,0.07289050847884977,0.056098791178017395,0.8725894329586509
30.0,-8.0,0,0,True,0.0565193526905934,0.059296919663470074,0.8732432100493346
30.0,-8.0,0,10,True,0.06431663929224773,0.057660743166835955,0.8757878753000817
30.0,-8.0,0,20,True,0.05855789197856538,0.05820114860485701,0.8811490637365371
30.0,-8.0,10,-20,True,0.06986666653687286,0.05871175863620721,0.8937327105321707
30.0,-8.0,10,-10,True,0.0715749378783038,0.058216040657178995,0.883652964926571
30.0,-8.0,10,0,True,0.06645527525441944,0.05957802488916549,0.8798949436215169
30.0,-8.0,10,10,True,0.06394139161857863,0.05943948954535506,0.8874286430416205
30.0,-8.0,10,20,True,0.05633835545907451,0.06010862512711243,0.893519864318437
30.0,-5.0,-20,0,True,0.06682527494047959,0.06797383973510576,0.818452111909004
30.0,-5.0,-10,0,True,0.05540483695153579,0.06975253883492595,0.8559229976787169
30.0,-5.0,0,0,True,0.05031768993381724,0.0705232108474172,0.8698556045963497
30.0,-5.0,10,0,True,0.049992619097776296,0.0710429859397384,0.8779975772073562
30.0,-5.0,20,0,True,0.0557242316034498,0.07081943547456637,0.8902259265886553
30.0,-4.0,-10,-20,True,0.0667772744311899,0.05736834234765904,0.8593194802389625
30.0,-4.0,-10,-10,True,0.057677474178701685,0.05873334655309723,0.8634826620010461
30.0,-4.0,-10,0,True,0.05390250906793019,0.05945354804307876,0.8654936500985898
30.0,-4.0,-10,10,True,0.053821326416268654,0.05963405703324589,0.8674362937882354
30.0,-4.0,-10,20,True,0.06350646500817232,0.04490614411347325,0.8742605402540056
30.0,-4.0,0,-20,True,0.06355508582438009,0.047515360369573434,0.9035333826695835
30.0,-4.0,0,-10,True,0.05290770833436528,0.060839435655320864,0.8842125792958272
30.0,-4.0,0,0,True,0.04924341673718647,0.061573513146979626,0.8884939427395782
30.0,-4.0,0,10,True,0.04863353610282063,0.06172761704446531,0.8920720759532098
30.0,-4.0,0,20,True,0.05476724634760722,0.06081850340781358,0.8873759331616601
