AoA,AoA_corr,AoS,dR,dE,V,AoA_round,AoS_round,V_round,CL_uncorrected,CL,CD_uncorrected,CD,CYaw,CMroll_uncorrected,CMroll,CMpitch_uncorrected,CMpitch,CMyaw_uncorrected,CMyaw
-5.002,-5.23340284443838,-10.0,0,-20,19.9909685203706,-5.0,-10.0,20.0,-0.4543208761533625,-0.4669493056603311,0.1307027036726941,0.10256060559931197,-0.13145773223366447,0.035095813195752,0.02951068158852561,0.6024148342538853,0.6205399568113636,0.0318797528896869,0.02451070276029448
-2.5,-2.3739916136043977,-10.0,0,-20,19.99389090730533,-2.5,-10.0,20.0,-0.1843242035181382,-0.19944644250918003,0.1135179345753764,0.0845788008472367,-0.12737719878309323,0.033942759988336,0.02777431924361029,0.5056973025443848,0.5311942848608942,0.0324054555068747,0.024519520286680658
0.002,0.4854196172295847,-10.0,0,-20,20.00041753590767,0.0,-10.0,20.0,0.0945123901335356,0.07498808358386086,0.1057990006659588,0.07740895728774545,-0.12519146842086668,0.0331310661957239,0.026605367799004763,0.4123891047612595,0.4430971381701332,0.0333601175701692,0.025260983020563153
-0.005,0.4784196172295847,-10.0,0,-20,20.00815716209881,-0.0,-10.0,20.0,0.0938091136293157,0.07430456398900709,0.1054749891853468,0.07709743532212875,-0.12520618703467537,0.033691896843418,0.02715754892522749,0.4100337040912487,0.44082341429310967,0.033435792199203,0.025337260016503202
0.005,0.48841961722958466,-10.0,0,-20,20.0044300867185,0.0,-10.0,20.0,0.0947527612485796,0.07522079142284242,0.1059550297075369,0.07755893586800439,-0.12544117064463076,0.0332003580526752,0.026672262129693192,0.414157528226774,0.44481368071437144,0.0334661797980238,0.02536398699350252
2.5,3.3408308480635673,-10.0,0,-20,19.998112423600706,2.5,-10.0,20.0,0.3723218021107932,0.3515134664712417,0.1049014286244447,0.0784571522025664,-0.12602168614947337,0.0335445386002947,0.026984493108348943,0.3160813646197774,0.34926389589726997,0.0350318162887136,0.02708657109096097
5.0,6.198242078897549,-10.0,0,-20,19.992835656405287,5.0,-10.0,20.0,0.6338624871873667,0.6136312023069842,0.1102135707079022,0.08709830675954397,-0.1250927499955081,0.0339755570061804,0.02757144644884808,0.2329370364224494,0.2649897306466402,0.0362873315178565,0.028368645146358885
6.0,7.341206571231142,-10.0,0,-20,19.99483948656011,6.0,-10.0,20.0,0.7280250402898362,0.7072480214105091,0.1140189770772357,0.09300819650796142,-0.1196914525896199,0.0333128004746425,0.026331363337422507,0.208955280475111,0.24038457491558024,0.0344400099009509,0.02635808420498003
7.0,8.484171063564736,-10.0,0,-20,19.993435453169816,7.0,-10.0,20.0,0.8147160296074779,0.790679503303405,0.1174088675303877,0.09927756140184313,-0.11845874231571794,0.0333573206881111,0.025785857466091196,0.1890585494307389,0.21900545983530148,0.0348498048431584,0.026662316625277793
8.0,9.627135555898327,-10.0,0,-20,19.991798997474028,8.0,-10.0,20.0,0.9086125063376392,0.8820709345603296,0.1234562267412723,0.1087278002496881,-0.11373268367620193,0.031398947373928,0.023568034365384783,0.1231146646117113,0.15211137712417058,0.0337470568518506,0.025382960120586526
9.0,10.770100048231921,-10.0,0,-20,19.991447977800103,9.0,-10.0,20.0,0.9814569617877396,0.9687956694372624,0.1314840410582255,0.11578383299692159,-0.10942292504908296,0.0302489086925207,0.022438645199159328,0.079210024354898,0.10961053801373405,0.0328919689093021,0.02444502125596775
10.0,11.913064540565514,-10.0,0,-20,19.99294458794892,10.0,-10.0,20.0,1.046218393695524,1.033048256814297,0.1416285973726602,0.12617715310781508,-0.10268739701227257,0.0277213040830425,0.019367198282383435,0.0202361300665023,0.05407870091214793,0.0310761920235144,0.023251074247441304
11.0,13.056029032899108,-10.0,0,-20,19.99459564281653,11.0,-10.0,20.0,1.037614287420339,1.0084191988631963,0.1697902766299621,0.1570385879270015,-0.09189451837751779,0.0230151329700368,0.014631117149469304,-0.0750253356718627,-0.04205370027076021,0.0291701561297121,0.021551797679022346
12.0,14.1989935252327,-10.0,0,-20,19.996463621764704,12.0,-10.0,20.0,1.0654674480487043,1.0210177129044582,0.1837891119723055,0.17248793918308225,-0.08718773050437295,0.0200785883152784,0.011226949492522405,-0.0946214289185778,-0.06068722233744644,0.0282438994674895,0.020778181061539676
13.0,15.341958017566292,-10.0,0,-20,19.99389330178525,13.0,-10.0,20.0,1.1040948042533707,1.043962817633435,0.1990321529218451,0.18692408395913884,-0.08290978114012437,0.0165331204640747,0.007253693535537539,-0.1350487470268775,-0.09363897586908093,0.0268938523810623,0.01970639614709181
14.0,16.48492250989989,-10.0,0,-20,19.994729351427097,14.0,-10.0,20.0,1.1397390388099513,1.0702413125116816,0.2181495572015641,0.2088256115269042,-0.07982261717070882,0.0116628937530549,0.002004938009781285,-0.184995836717084,-0.1489824604111817,0.025654532079208,0.01832482548665638
-5.002,-5.23340284443838,-10.0,0,-15,19.9917712616901,-5.0,-10.0,20.0,-0.4223592923787513,-0.43593507838181245,0.121794546605466,0.09390226577360881,-0.13411249604497746,0.0352984258295182,0.029723831891132455,0.4953101903174129,0.516128140316844,0.0326138960325922,0.025241040783857683
-2.5,-2.3739916136043977,-10.0,0,-15,19.99405252836675,-2.5,-10.0,20.0,-0.1535903003528562,-0.16939941090555305,0.10620676970862,0.07744046399944546,-0.1295358433737963,0.0340008556942762,0.02783827024362327,0.407968072975474,0.4356232280898916,0.0330477195525403,0.025154719320599914
0.002,0.4854196172295847,-10.0,0,-15,19.99849442408276,0.0,-10.0,20.0,0.1253936961499779,0.10528373629774627,0.1000153855543355,0.07174588305938549,-0.12753470958999738,0.0336000412666012,0.02706849986620901,0.3168859006967442,0.34948638085429046,0.0340344564268525,0.025925362695723247
-0.005,0.4784196172295847,-10.0,0,-15,20.003650542022203,-0.0,-10.0,20.0,0.124902566827723,0.10481363532780584,0.0995826792509227,0.07132921413504285,-0.12713023515887964,0.033681807008967,0.02715166597446984,0.3140550411349844,0.3467480970349034,0.0339755723427678,0.02587044732680623
0.005,0.48841961722958466,-10.0,0,-15,20.00339332947076,0.0,-10.0,20.0,0.1259860026276631,0.10586167820647469,0.1001314262841868,0.07185772437419122,-0.12769337364848765,0.0334400474804137,0.026910841014517288,0.3189039160598553,0.3514557686575784,0.0341649496965694,0.02605262029350725
2.5,3.3408308480635673,-10.0,0,-15,19.998761464566197,2.5,-10.0,20.0,0.4005559780090563,0.379380511071852,0.0998120240074831,0.07348498581562389,-0.12743979956199525,0.0333132636865307,0.026767201341437244,0.2262136341950631,0.26110604621952777,0.0356104621319008,0.027664987271730394
