V_round,AoS_round,aoa_min_fit,aoa_max_fit,n_points,n_unique_aoa,cl_alpha_slope_per_deg,cl_at_aoa0,r2,fit_success
20,-10.0,-4.0,8.0,15,15,0.08931933350116399,0.30202407120490604,1.0,True
20,-9.0,-4.0,8.0,15,15,0.08866710289245912,0.30106641722957983,1.0,True
20,-8.0,-4.0,8.0,15,15,0.08834619222417421,0.30044389548814693,1.0,True
20,-7.0,-4.0,8.0,15,15,0.08737890041101293,0.29809907064269564,1.0,True
20,-6.0,-4.0,8.0,15,15,0.08769154315555204,0.29572900559552884,1.0,True
20,-5.0,-4.0,8.0,15,15,0.08855822328606526,0.28547376864514756,1.0,True
20,-4.0,-4.0,8.0,15,15,0.08857809219784643,0.2852865092282002,1.0,True
20,-3.0,-4.0,8.0,15,15,0.08926171398611445,0.28396223689074085,1.0,True
20,-2.0,-4.0,8.0,15,15,0.08943988829825845,0.2839726137241469,1.0,True
20,-1.0,-4.0,8.0,15,15,0.09022331888213582,0.2829994696584868,1.0,True
20,0.0,-4.0,8.0,15,15,0.0902710426982978,0.2829328184681648,0.9999635213187348,True
20,1.0,-4.0,8.0,15,15,0.0893014434787859,0.2845395884742549,1.0,True
20,2.0,-4.0,8.0,15,15,0.08952545577029786,0.284519459961405,1.0,True
20,3.0,-4.0,8.0,15,15,0.08948117123024439,0.28337754403883486,1.0,True
20,4.0,-4.0,8.0,15,15,0.08926116955176178,0.28621124561882155,1.0,True
20,5.0,-4.0,8.0,15,15,0.08866910405973304,0.28741123274568187,1.0,True
20,6.0,-4.0,8.0,15,15,0.08842475839096356,0.29560293012712197,1.0,True
20,7.0,-4.0,8.0,15,15,0.08857009210765004,0.30094612877131377,1.0,True
20,8.0,-4.0,8.0,15,15,0.08862961749710023,0.3027449057297729,1.0,True
20,9.0,-4.0,8.0,15,15,0.08866659956642964,0.3052629294761679,1.0,True
20,10.0,-4.0,8.0,15,15,0.08811737951673519,0.30849563459143153,1.0,True
30,-10.0,-4.0,8.0,15,15,0.08897639476663625,0.29997743250588804,1.0,True
30,-9.0,-4.0,8.0,15,15,0.08847931000920911,0.2993784295245042,1.0,True
30,-8.0,-4.0,8.0,15,15,0.08804821085556934,0.2978038875404008,1.0,True
30,-7.0,-4.0,8.0,15,15,0.08860938465215212,0.29313653480037144,1.0,True
30,-6.0,-4.0,8.0,15,15,0.0889532419722235,0.28766597471302013,1.0,True
30,-5.0,-4.0,8.0,15,15,0.08999372832357394,0.2774441978649483,1.0,True
30,-4.0,-4.0,8.0,15,15,0.08977682855129207,0.2801104913983195,1.0,True
30,-3.0,-4.0,8.0,15,15,0.09001760909670202,0.2773838071390628,1.0,True
30,-2.0,-4.0,8.0,15,15,0.08990383216177628,0.2779981701653864,1.0,True
30,-1.0,-4.0,8.0,15,15,0.0901047829310901,0.27734821045313246,1.0,True
30,0.0,-4.0,8.0,15,15,0.09120501085999073,0.2742142884123136,0.9997968452254099,True
30,1.0,-4.0,8.0,15,15,0.08977988261857509,0.27754735853593865,1.0,True
30,2.0,-4.0,8.0,15,15,0.09002598844784482,0.2784217434544207,1.0,True
30,3.0,-4.0,8.0,15,15,0.09037200835067691,0.27728783568771465,1.0,True
30,4.0,-4.0,8.0,15,15,0.0899890798468686,0.2795239721039088,1.0,True
30,5.0,-4.0,8.0,15,15,0.08977919782537533,0.27826387105316125,1.0,True
30,6.0,-4.0,8.0,15,15,0.0888923118140747,0.2874872858237694,1.0,True
30,7.0,-4.0,8.0,15,15,0.08858365417394613,0.29302488147374023,1.0,True
