AoA,AoS,V,V_solid_blockage_corr,dE,dR,CL,CL_solid_blockage_corr,CD,CD_solid_blockage_corr,CYaw,CYaw_solid_blockage_corr,CMroll,CMroll_solid_blockage_corr,CMpitch,CMpitch_solid_blockage_corr,CMyaw,CMyaw_solid_blockage_corr,CD_modeloff,CY_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_uncorrected,CL_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected,solid_blockage_e,V_round,AoA_round,AoS_round,CL2,fit_used,CD0_fit,k_fit,R2_fit,CD_fit_pred,CDi_fit,CL2_fit,CDsep_fit,ewb_t_fit,q_ratio_wake,V_wake_corr,CL_solid_blockage_corr_wake_corr,CD_solid_blockage_corr_wake_corr,CYaw_solid_blockage_corr_wake_corr,CMroll_solid_blockage_corr_wake_corr,CMpitch_solid_blockage_corr_wake_corr,CMyaw_solid_blockage_corr_wake_corr,CLw_tailoff,CL_alpha_per_deg_tailoff,CL_alpha_per_rad_tailoff,delta_alpha_sc_rad,delta_alpha_sc_deg,AoA_streamline_curvature_corr,delta_CL_sc,delta_CMpitch_sc,CL_solid_blockage_corr_wake_corr_sc_corr,CMpitch_solid_blockage_corr_wake_corr_sc_corr,streamline_curvature_data_found
-5.002,-10.0,19.9909685203706,19.847482377069486,-20,0,-0.47817087615336246,-0.47133132100318603,0.1047027036726942,0.10320508022497864,-0.1345097067228815,-0.13258573643684898,0.030195813195752,0.02976390498060062,0.6346648342538852,0.625586855329956,0.025079752889686897,0.024721022649941398,0.0259999999999999,-0.00575,0.02385,0.0049,-0.0322499999999999,0.0068,True,0.1307027036726941,-0.4543208761533625,0.035095813195752,0.6024148342538853,0.0318797528896869,0.007229438,20.0,-5.0,-10.0,0.2221532141586084,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.08467019634436986,0.013789134933863929,0.2221532141586084,0.01853488388060878,0.004290368409746742,1.0085807368194935,19.93245349911691,-0.46732135940797825,0.10232703883521557,-0.13145773223366447,0.02951068158852561,0.6202645286511335,0.02451070276029448,-0.144572596300914,0.08931933350116399,5.117620838538159,-7.270053006768441e-05,-0.004165433541242258,-5.006165433541242,0.0003720537476471518,-9.301343691178794e-05,-0.4669493056603311,0.6201715152142216,True
-2.5,-10.0,19.99389090730533,19.85038378843067,-20,0,-0.2035073979625826,-0.2005965137133554,0.0863179345753765,0.0850832791343616,-0.1301029019293947,-0.12824196472614544,0.0283686528454789,0.0279628795636895,0.5427143295714119,0.5349515720029141,0.025044205506874702,0.02468598372194591,0.0271999999999999,-0.0068667706167706,0.0191831944444444,0.0055741071428571,-0.037017027027027,0.00736125,True,0.1135179345753764,-0.1843242035181382,0.033942759988336,0.5056973025443848,0.0324054555068747,0.007229438,20.0,-2.5,-10.0,0.04023896131395238,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.07337870912295573,0.0024976477124498053,0.04023896131395238,0.011704570011405867,0.0033945084022643313,1.0067890168045286,19.917652104679252,-0.1992438439088593,0.08450954243065685,-0.12737719878309323,0.02777431924361029,0.5313442668463046,0.024519520286680658,,0.08931933350116399,5.117620838538159,,,,,,,,False
0.002,-10.0,20.00041753590767,19.856863571840588,-20,0,0.0772623901335357,0.07615726139252203,0.07789900066595891,0.07678476611557283,-0.1276651404531032,-0.1258390719649756,0.027131066195723905,0.026742994832989496,0.4524391047612594,0.4459676060493249,0.0257601175701692,0.02539165568011529,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.1057990006659588,0.0945123901335356,0.0331310661957239,0.4123891047612595,0.0333601175701692,0.007229438,20.0,0.0,-10.0,0.005799928462808927,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.07124106518755383,0.00036000377704790114,0.005799928462808927,0.005543700928019002,0.002586452384805619,1.0051729047696112,19.908156156628912,0.0757653345321495,0.07638960993797594,-0.12519146842086668,0.026605367799004763,0.4436725303011844,0.025260983020563153,0.30202407120490593,0.08931933350116399,5.117620838538159,0.00015187740022386183,0.008701934036246547,0.010701934036246547,-0.0007772509482886354,0.00019431273707215885,0.07498808358386086,0.4438668430382566,True
-0.005,-10.0,20.00815716209881,19.864547646490465,-20,0,0.07655911362931579,0.07546404425970327,0.0775749891853469,0.07646538915893845,-0.1276697254626372,-0.12584359139246112,0.027691896843418003,0.027295803594918257,0.4500837040912486,0.44364589604009397,0.025835792199203,0.025466247891075225,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.1054749891853468,0.0938091136293157,0.033691896843418,0.4100337040912487,0.033435792199203,0.007229438,20.0,-0.0,-10.0,0.005694821976030454,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.0712345411877364,0.00035347977723046886,0.005694821976030454,0.005230847971202056,0.002545418772353541,1.0050908375447072,19.91504704950078,0.07508181493729572,0.07607808797235924,-0.12520618703467537,0.02715754892522749,0.4413988064241609,0.025337260016503202,0.30202407120490593,0.08931933350116399,5.117620838538159,0.00015187740022386183,0.008701934036246547,0.003701934036246547,-0.0007772509482886354,0.00019431273707215885,0.07430456398900709,0.44159311916123306,True
0.005,-10.0,20.0044300867185,19.86084732237393,-20,0,0.0775027612485797,0.07639419434020822,0.078055029707537,0.07693856338334762,-0.1279248359021708,-0.12609505283953704,0.0272003580526752,0.02681129556835495,0.4542075282267739,0.44771073472917916,0.0258661797980238,0.025496200838459934,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.1059550297075369,0.0947527612485796,0.0332003580526752,0.414157528226774,0.0334661797980238,0.007229438,20.0,0.0,-10.0,0.005836072928889502,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.07124330868838179,0.0003622472778758553,0.005836072928889502,0.005695254694965833,0.0026063300890211095,1.0052126601780422,19.91254396465174,0.07599804237113106,0.07653958851823488,-0.12544117064463076,0.026672262129693192,0.4453890728454227,0.02536398699350252,0.30202407120490593,0.08931933350116399,5.117620838538159,0.00015187740022386183,0.008701934036246547,0.013701934036246546,-0.0007772509482886354,0.00019431273707215885,0.07522079142284242,0.44558338558249483,True
2.5,-10.0,19.998112423600706,19.854575004588682,-20,0,0.3593170863485193,0.3541775658318135,0.0767514286244448,0.07565360846200697,-0.1283258402880178,-0.12649032142726407,0.027477871933628103,0.02708484000744434,0.3566688646197774,0.35156722315314953,0.027581816288713604,0.027187297586181443,0.0281499999999999,-0.0110803571428571,0.0130047157622739,0.0060666666666666,-0.0405875,0.00745,True,0.1049014286244447,0.3723218021107932,0.0335445386002947,0.3160813646197774,0.0350318162887136,0.007229438,20.0,2.5,-10.0,0.12544174813854858,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.07866727867489924,0.007786217264393309,0.12544174813854858,0.0,0.0018593437848263151,1.0037186875696527,19.891457228674568,0.3528653697674982,0.07537331863890102,-0.12602168614947337,0.026984493108348943,0.3502646981739619,0.02708657109096097,,0.08931933350116399,5.117620838538159,,,,,,,,False
5.0,-10.0,19.992835656405287,19.849336111644988,-20,0,0.6268124871873667,0.617846824934105,0.08231357070790231,0.08113619200388421,-0.1273799196598005,-0.12555793084997005,0.0280755570061804,0.027673976044034754,0.2712870364224493,0.2674066607248207,0.0288873315178565,0.028474139274432538,0.0278999999999999,-0.0113499999999999,0.00705,0.0059,-0.0383499999999999,0.0074,True,0.1102135707079022,0.6338624871873667,0.0339755570061804,0.2329370364224494,0.0362873315178565,0.007229438,20.0,5.0,-10.0,0.38173469908115465,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.09457548012285394,0.023694418712348005,0.38173469908115465,0.0,0.0018593437848263151,1.0037186875696527,19.886208603866883,0.6155577579512086,0.08083558970127652,-0.1250927499955081,0.02757144644884808,0.2664159430689728,0.028368645146358885,0.7486207387107259,0.08931933350116399,5.117620838538159,0.00037645533051540805,0.02156930161373535,5.021569301613735,-0.0019265556442244224,0.0004816389110561056,0.6136312023069842,0.26689758198002894,True
6.0,-10.0,19.99483948656011,19.851325559211972,-20,0,0.7223750402898361,0.7120424914593452,0.0867189770772358,0.08547858529290553,-0.1218798660624063,-0.12013654770655859,0.026812800474642504,0.02642928145095739,0.246405280475111,0.24288080295221878,0.0268400099009509,0.026456101685072946,0.0272999999999999,-0.01385,0.00565,0.0065,-0.03745,0.0076,True,0.1140189770772357,0.7280250402898362,0.0333128004746425,0.208955280475111,0.0344400099009509,0.007229438,20.0,6.0,-10.0,0.5070045096436316,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.1023510251561673,0.03146996374566137,0.5070045096436316,0.0,0.0018593437848263151,1.0037186875696527,19.888201747068297,0.7094044379939207,0.08516189481325541,-0.1196914525896199,0.026331363337422507,0.24198095139616912,0.02635808420498003,0.8379400722118898,0.08931933350116399,5.117620838538159,0.0004213709165737173,0.024142775129233112,6.024142775129233,-0.00215641658341158,0.000539104145852895,0.7072480214105091,0.24252005554202202,True
7.0,-10.0,19.993435453169816,19.849931603339236,-20,0,0.8075660296074779,0.7960149446870783,0.0913088675303878,0.09000282388298268,-0.1206246171718105,-0.1188992533682841,0.026257320688111097,0.025881747013723186,0.2248085494307389,0.22159298246766532,0.027149804843158404,0.026761465450690358,0.0260999999999999,-0.01405,0.00715,0.0071,-0.03575,0.0077,True,0.1174088675303877,0.8147160296074779,0.0333573206881111,0.1890585494307389,0.0348498048431584,0.007229438,20.0,7.0,-10.0,0.6336397921651724,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.11021132555601115,0.03933026414550522,0.6336397921651724,0.0,0.0018593437848263151,1.0037186875696527,19.88680520175747,0.7930657808260038,0.08966937150578555,-0.11845874231571794,0.025785857466091196,0.22077200037414663,0.026662316625277793,0.9272594057130539,0.08931933350116399,5.117620838538159,0.00046628650263202655,0.026716248644730874,7.026716248644731,-0.0023862775225987373,0.0005965693806496843,0.790679503303405,0.22136856975479632,True
8.0,-10.0,19.991798997474028,19.84830689338334,-20,0,0.9008625063376392,0.8879769478435952,0.0989562267412724,0.09754079848329288,-0.1158121482650939,-0.11415561999325186,0.023998947373928003,0.023655676521820487,0.1568646646117112,0.15462093840789776,0.0258470568518506,0.02547735141886794,0.0244999999999999,-0.01525,0.00775,0.0074,-0.0337499999999999,0.0079,True,0.1234562267412723,0.9086125063376392,0.031398947373928,0.1231146646117113,0.0337470568518506,0.007229438,20.0,8.0,-10.0,0.788503059901627,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.11982374778994047,0.04894268637943454,0.788503059901627,0.0,0.0018593437848263151,1.0037186875696527,19.885177473710446,0.8846870730221155,0.09717941858736596,-0.11373268367620193,0.023568034365384783,0.15404808172127202,0.025382960120586526,1.0165787392142178,0.08931933350116399,5.117620838538159,0.0005112020886903358,0.029289722160228633,8.029289722160229,-0.0026161384617858947,0.0006540346154464737,0.8820709345603296,0.1547021163367185,True
