AoA,AoS,dR,dE,V,AoA_round,AoS_round,V_round,J,J_round,AoA_tail_corr,dPb,pBar,temp,rho,q,Re,J_M1,J_M2,CT,CL_uncorrected,CL_solid_blockage_corr_wake_corr_sc_corr,CD_uncorrected,CD_solid_blockage_corr_wake_corr_dw_corr,CYaw_solid_blockage_corr_wake_corr,CMroll_uncorrected,CMroll_solid_blockage_corr_wake_corr,CMpitch_uncorrected,CMpitch_solid_blockage_corr_wake_corr_sc_corr_tail_corr,CMyaw_uncorrected,CMyaw_solid_blockage_corr_wake_corr,CMpitch25c_uncorrected
2.496,0.0,-20.0,0.0,39.98822250188802,2.5,0.0,40.0,1.9991104588813853,2.0,3.2986712884687583,413.22,101106.0,290.81,1.2111837665772662,968.376508682172,443397.0123409999,1.9991104588813853,1.9993135585927413,0.0127430081841154,0.5094332508597899,0.48728202768891615,0.0349618126538645,0.029282126577233995,-0.06150306230873344,0.007674630354487,0.007975412084749346,-0.0829773446753433,-0.07581705747664172,0.0297392008170431,0.025957781658455237,-0.0829773446753433
2.496,4.0,-20.0,0.0,39.99663253237486,2.5,4.0,40.0,1.9995308971718089,2.0,3.304644092763473,413.81,101101.0,290.5,1.2124162911880931,969.769728920426,444308.8042373147,1.9995308971718089,1.9999372233041337,0.0139782638606351,0.5072371813163812,0.4887670593056086,0.0384047148818611,0.03329467094589506,0.031138289797343895,-0.0267330102548403,-0.02025875269925609,-0.076731790456031,-0.07252298670192582,-0.000624492594109,0.0064175103947911195,-0.076731790456031
2.496,8.0,-20.0,0.0,39.98744921210356,2.5,8.0,40.0,1.9994780330453228,2.0,3.3279943930562697,413.45,101104.0,290.63,1.211909932667162,968.9196246045556,443867.2703991036,1.9994780330453228,1.999274895990253,-0.0004422913531882,0.5326206212810651,0.5131564251087933,0.0431711609895367,0.04264913689549925,0.14107424100833096,-0.0671381677806038,-0.046493705391064157,-0.0932565496971241,-0.11350983814979901,-0.030124847937301,-0.009410669424439714,-0.0932565496971241
2.496,10.0,-20.0,0.0,39.98437706931307,2.5,10.0,40.0,1.999121296346392,2.0,3.337566613423354,413.27,101103.0,290.71,1.211564445727421,968.4945769444824,443611.97787620977,1.999121296346392,1.999121296346392,-0.0089044783516518,0.5387845712871873,0.519305423391282,0.0489105203826623,0.04501157554685618,0.19011393560960144,-0.0820108601678459,-0.06198606272492155,-0.0952701411828681,-0.11135286217188102,-0.041601558946504,-0.021080371173934753,-0.0952701411828681
-4.996,0.0,-10.0,0.0,40.00533998428826,-5.0,0.0,40.0,1.6003631373030802,1.6,-5.31581212521137,414.34,101170.0,290.45,1.2134526039979827,971.0212932130448,444844.7576862209,1.6003631373030802,1.6002330582055182,-0.0590655490404786,-0.3601501735592838,-0.37708529262700136,-0.0278070860169263,-0.03271417420107338,-0.028083431778329965,-0.0002116642687932,0.0013658148355999331,0.1875683855490806,0.1834862066773845,0.0153512998322205,0.012446076703256178,0.1875683855490806
-4.995,0.0,-10.0,0.0,39.991798252437086,-5.0,0.0,40.0,2.39953707351704,2.4,-5.31481212521137,413.7,101161.0,290.67999999999995,1.2123845995887763,969.5099735513668,444030.19039940194,2.39953707351704,2.399244554063971,0.0355717083591513,-0.3488457580209146,-0.36463707048455996,0.0661966878525451,0.05954988326359506,-0.04159717615721264,0.0064996643667821,0.007939416972865787,0.1728930928783923,0.16843812733804955,0.0198100392329711,0.01677152654000919,0.1728930928783923
2.496,0.0,-10.0,0.0,19.99838583806929,2.5,0.0,20.0,1.999944180859678,2.0,3.310110749334256,103.96,101160.0,290.57,1.2128315782593753,242.52716310066285,222189.75821228168,1.999944180859678,1.999944180859678,0.0267158007438398,0.5088601675776616,0.4865338739338035,0.0489228930172394,0.0430883057533654,-0.03991666445245271,0.0036026007766594,0.00396922913323635,-0.120243165322079,-0.11244766118389773,0.0184866593781227,0.014886484205667197,-0.120243165322079
2.496,0.0,-10.0,0.0,39.98896818151591,2.5,0.0,40.0,1.5995781781312823,1.6,3.2986712884687583,413.86,101166.0,290.54,1.213028753275484,969.8877999129204,444400.6220198101,1.5995781781312823,1.5995781781312823,-0.0560943649090021,0.5266697058691712,0.5043018622942657,-0.0331895766717983,-0.03776033174608543,-0.03046955212498029,-0.0011468971775501,-0.000701988764440958,-0.1237222855439351,-0.11591070353662626,0.0159548264781475,0.012400357216948668,-0.1237222855439351
2.5,0.0,-10.0,0.0,39.98226519445301,2.5,0.0,40.0,2.398965083082591,2.4,3.3026712884687583,413.69,101165.0,290.56,1.2129332677003728,969.4863594824362,444267.4437195616,2.398965083082591,2.398965083082591,0.0419368176834542,0.5141860360494674,0.4916066819734179,0.064426617431768,0.058225827878261874,-0.037990518650761806,0.0043111233486732,0.0046635767284716806,-0.103107705232049,-0.09555106914829756,0.0177160493169695,0.01412114763926169,-0.103107705232049
2.496,0.0,-10.0,0.0,39.99058970785869,2.5,0.0,40.0,2.7990909288574315,2.8,3.2986712884687583,413.54,101159.0,290.77,1.211985376693565,969.1321495590578,443764.0522338207,2.7990909288574315,2.7994890925741966,0.0596907155866557,0.5116440695557287,0.48687037483708057,0.0820504751084512,0.07521729873819423,-0.03471880217174831,0.0042306314609614,0.004563535574301384,-0.0983767545496584,-0.09049036923641579,0.0181983408716766,0.014528611337319584,-0.0983767545496584
