Run_nr,Alpha,Beta,CL,CD,Cyaw,Cm_p_qc,Ct,Cn,Cside,Cm_roll,Cm_pitch,Cm_yaw,V,Re,M,source_file,file_type,rudder_setting
1,-5.003,0.0,-0.3377,-0.039627,0.0139,0.04994,-0.068924,-0.333,0.013904,-0.00143,0.13266,-0.00297,40.2,350400.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
2,4.995,0.0,0.7323,-0.030488,0.00516,-0.04758,-0.094141,0.7269,0.005165,-0.00597,-0.22881,-0.0008,40.21,350400.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
3,7.0,0.0,0.9112,-0.014687,-0.00529,-0.09153,-0.125621,0.9026,-0.005287,-0.00736,-0.31622,-0.00043,40.19,350300.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
4,2.507,0.0,0.4845,-0.041522,0.00778,-0.02621,-0.062673,0.4822,0.007779,-0.00473,-0.14649,-0.00125,40.2,350200.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
5,7.998,0.0,0.9862,-0.005968,-0.00583,-0.11191,-0.14313,0.9758,-0.00583,-0.00782,-0.35469,-0.0006,40.21,350100.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
6,7.006,0.0,0.8889,0.073603,0.00044,-0.01747,-0.035372,0.8913,0.000439,-0.00359,-0.24011,-0.00138,40.22,350100.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
7,-5.0,0.0,-0.3297,0.048223,0.00118,0.07736,0.019303,-0.3327,0.001185,-0.00095,0.15972,0.00162,40.19,349700.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
8,7.996,0.0,0.9595,0.081056,0.00078,-0.03616,-0.053191,0.9614,0.00078,-0.00379,-0.27614,-0.00175,40.21,349800.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
9,5.004,0.0,0.7129,0.060335,0.00046,0.01901,-0.002077,0.7154,0.000459,-0.00323,-0.16004,-0.00108,40.2,349700.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
10,2.503,0.0,0.4721,0.04857,0.00584,0.03269,0.027905,0.4738,0.005841,-0.00194,-0.0861,-0.00057,40.21,349700.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
11,2.503,0.0,0.4695,0.06601,0.00559,0.04494,0.045443,0.4719,0.00559,-0.00106,-0.07351,-0.00035,40.2,349500.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
12,2.503,0.0,0.4764,0.017048,0.00665,0.01194,-0.003774,0.4767,0.006654,-0.00299,-0.10736,-0.001,40.21,349400.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
13,7.993,0.0,0.9699,0.049914,-0.00027,-0.06152,-0.085437,0.9674,-0.000273,-0.00524,-0.30273,-0.0015,40.2,349300.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
14,2.496,8.0,0.497,0.033182,0.20653,-0.00951,-0.017532,0.4968,0.209139,0.01764,-0.1336,-0.05532,40.2,349000.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
15,2.496,-3.995,0.4781,0.023776,-0.0923,-0.00236,-0.003545,0.4784,-0.093729,-0.01383,-0.12192,0.02624,40.2,348900.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
16,2.496,3.995,0.4721,0.023467,0.09621,0.00975,-0.003866,0.4724,0.097615,0.00744,-0.10845,-0.02792,40.14,348400.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
17,2.496,3.995,0.4713,0.02449,0.0973,0.0081,-0.002888,0.4716,0.098768,0.00656,-0.1099,-0.02767,40.2,348800.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
18,2.496,10.0,0.5034,0.041413,0.25176,-0.01933,-0.024852,0.5028,0.255125,0.02555,-0.14483,-0.06467,40.22,348900.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
19,2.496,8.005,0.4964,0.033663,0.20823,-0.01049,-0.017282,0.4961,0.210885,0.01802,-0.1344,-0.05526,40.22,348800.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
20,2.496,-10.0,0.5122,0.051921,-0.17664,-0.09504,-0.001866,0.5126,-0.182971,-0.03448,-0.22221,0.04316,40.2,348600.0,0.118,corr_rudder_0_elevator_0.txt,corr,0
21,2.496,0.0,0.4673,-0.023274,0.00705,-0.00081,-0.0436,0.4658,0.007055,-0.00691,-0.11726,-0.00198,20.11,174900.0,0.059,corr_rudder_0_elevator_0.txt,corr,0
22,2.496,0.0,0.4569,0.060218,0.00207,0.04897,0.040264,0.4591,0.002067,-0.00421,-0.06631,-0.00077,20.1,174800.0,0.059,corr_rudder_0_elevator_0.txt,corr,0
23,2.496,0.0,0.4548,0.075059,0.00209,0.05743,0.055184,0.4576,0.00209,-0.00376,-0.05756,-0.00066,20.09,174700.0,0.059,corr_rudder_0_elevator_0.txt,corr,0
24,2.496,0.0,0.46,0.032614,0.00311,0.02977,0.012553,0.461,0.003114,-0.00569,-0.08578,-0.00103,20.11,174900.0,0.059,corr_rudder_0_elevator_0.txt,corr,0
25,2.496,-4.0,0.4704,0.040143,-0.06572,-0.00486,0.014943,0.4715,-0.068364,-0.01241,-0.12269,0.02011,20.09,174800.0,0.059,corr_rudder_0_elevator_0.txt,corr,0
26,2.496,-8.0,0.4957,0.063735,-0.10628,-0.11233,0.026694,0.4973,-0.114116,-0.03207,-0.2355,0.02781,20.08,174700.0,0.059,corr_rudder_0_elevator_0.txt,corr,0
27,2.496,4.0,0.4619,0.036499,0.10025,0.03665,0.009278,0.4627,0.102547,0.00588,-0.0794,-0.02986,20.13,175200.0,0.059,corr_rudder_0_elevator_0.txt,corr,0
28,2.496,-9.995,0.5155,0.074905,-0.1462,-0.14699,0.0259,0.5171,-0.156984,-0.0365,-0.27476,0.03413,20.08,174800.0,0.059,corr_rudder_0_elevator_0.txt,corr,0
29,2.496,7.995,0.5034,0.045292,0.20648,0.00278,-0.005804,0.5036,0.210774,0.02144,-0.12316,-0.05945,20.11,175100.0,0.059,corr_rudder_0_elevator_0.txt,corr,0
30,2.496,10.0,0.5095,0.066317,0.14799,-0.05812,0.017387,0.5107,0.157262,0.03523,-0.1852,-0.03966,20.09,174900.0,0.059,corr_rudder_0_elevator_0.txt,corr,0
5,2.496,8.0,0.4965,0.031396,0.18241,0.00386,-0.015929,0.4963,0.185004,0.01301,-0.12026,-0.04629,40.2,346800.0,0.118,corr_rudder_m5_elevator_0.txt,corr,-5
6,2.496,9.995,0.5033,0.038659,0.22794,-0.00699,-0.023411,0.5028,0.231192,0.02092,-0.13261,-0.05595,40.19,346500.0,0.118,corr_rudder_m5_elevator_0.txt,corr,-5
7,2.496,0.0,0.4717,0.018569,-0.01523,0.02141,-0.001996,0.4721,-0.015228,-0.00711,-0.09684,0.00765,40.2,346500.0,0.118,corr_rudder_m5_elevator_0.txt,corr,-5
8,2.496,4.0,0.4729,0.023653,0.07508,0.01765,-0.002256,0.4732,0.076545,0.00214,-0.10084,-0.01971,40.19,346200.0,0.118,corr_rudder_m5_elevator_0.txt,corr,-5
1,-4.996,0.0,-0.3415,-0.035973,-0.02655,0.05716,-0.06558,-0.3371,-0.026555,-0.01194,0.14084,0.01527,40.21,347400.0,0.118,corr_rudder_m10_elevator_0.txt,corr,-10
2,2.496,0.0,0.4828,-0.038547,-0.0305,-0.02227,-0.059537,0.4806,-0.0305,-0.0129,-0.1422,0.01378,40.2,347100.0,0.118,corr_rudder_m10_elevator_0.txt,corr,-10
3,5.0,0.0,0.7307,-0.026681,-0.03473,-0.05479,-0.090265,0.7256,-0.034725,-0.01514,-0.23562,0.01377,40.19,347000.0,0.118,corr_rudder_m10_elevator_0.txt,corr,-10
4,7.0,0.0,0.9134,-0.011691,-0.03954,-0.09595,-0.122921,0.9052,-0.039535,-0.01588,-0.32125,0.01361,40.21,347200.0,0.118,corr_rudder_m10_elevator_0.txt,corr,-10
5,7.0,0.0,0.8885,0.075938,-0.03547,-0.01769,-0.032913,0.8912,-0.035466,-0.01226,-0.2403,0.01335,40.2,347200.0,0.118,corr_rudder_m10_elevator_0.txt,corr,-10
6,2.5,0.0,0.4703,0.052129,-0.03704,0.03489,0.031564,0.4721,-0.037036,-0.01129,-0.0835,0.01547,40.19,347000.0,0.118,corr_rudder_m10_elevator_0.txt,corr,-10
7,5.0,0.0,0.712,0.062858,-0.03613,0.01432,0.000566,0.7148,-0.036133,-0.01225,-0.16453,0.01443,40.22,347200.0,0.118,corr_rudder_m10_elevator_0.txt,corr,-10
8,-4.995,0.0,-0.331,0.051484,-0.03949,0.08322,0.022465,-0.3342,-0.039485,-0.01142,0.16591,0.0199,40.2,346800.0,0.118,corr_rudder_m10_elevator_0.txt,corr,-10
9,2.496,0.0,0.4688,0.068666,-0.0347,0.04764,0.048184,0.4713,-0.034698,-0.00977,-0.07069,0.01578,40.2,346600.0,0.118,corr_rudder_m10_elevator_0.txt,corr,-10
10,2.496,0.0,0.4748,0.019895,-0.03235,0.01592,-0.000803,0.4752,-0.03235,-0.01143,-0.10305,0.01463,40.2,346600.0,0.118,corr_rudder_m10_elevator_0.txt,corr,-10
11,2.496,3.995,0.4734,0.02425,0.05813,0.01746,-0.000496,0.4738,0.059674,-0.00187,-0.10117,-0.01284,40.2,346600.0,0.118,corr_rudder_m10_elevator_0.txt,corr,-10
12,2.496,8.0,0.4969,0.031168,0.16495,0.0022,-0.013742,0.4968,0.167681,0.00874,-0.12202,-0.0392,40.21,346600.0,0.118,corr_rudder_m10_elevator_0.txt,corr,-10
13,2.496,10.0,0.5029,0.037742,0.21137,-0.00555,-0.02144,0.5025,0.21471,0.01647,-0.13111,-0.04898,40.19,346400.0,0.118,corr_rudder_m10_elevator_0.txt,corr,-10
14,2.496,0.0,0.4758,0.038599,-0.04452,0.01776,0.017841,0.477,-0.044518,-0.00963,-0.10167,0.01455,20.1,173500.0,0.059,corr_rudder_m10_elevator_0.txt,corr,-10
15,2.496,8.0,0.5028,0.044749,0.15491,0.00843,0.000835,0.5033,0.159631,0.01295,-0.11748,-0.03975,20.09,173600.0,0.059,corr_rudder_m10_elevator_0.txt,corr,-10
16,2.496,4.0,0.4762,0.03939,0.05025,0.0301,0.015012,0.4774,0.052877,0.00092,-0.08955,-0.01334,20.12,173900.0,0.059,corr_rudder_m10_elevator_0.txt,corr,-10
17,2.496,9.995,0.5086,0.063812,0.09848,-0.04962,0.023557,0.5101,0.108065,0.02677,-0.17663,-0.02082,20.09,173700.0,0.059,corr_rudder_m10_elevator_0.txt,corr,-10
1,2.496,4.0,0.4648,0.027701,0.02781,0.04887,0.005424,0.4655,0.029679,-0.00925,-0.06801,-0.00037,40.2,347000.0,0.118,corr_rudder_m20_elevator_0.txt,corr,-20
2,2.496,8.0,0.4887,0.032207,0.13222,0.03372,-0.00781,0.4889,0.135419,0.00057,-0.08885,-0.02577,40.2,346700.0,0.118,corr_rudder_m20_elevator_0.txt,corr,-20
3,2.496,10.0,0.4942,0.037829,0.17847,0.02789,-0.015268,0.494,0.18233,0.00801,-0.09589,-0.03546,40.19,346500.0,0.118,corr_rudder_m20_elevator_0.txt,corr,-20
4,2.496,0.0,0.4667,0.024853,-0.05983,0.04127,0.004502,0.4673,-0.059828,-0.01774,-0.07599,0.02601,40.2,346300.0,0.118,corr_rudder_m20_elevator_0.txt,corr,-20
