  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	  -4.996	   0.000	 -0.3451	-0.036352	-0.02683	 0.05716	-0.066270	 -0.3407	-0.026834	-0.01207	 0.14233	 0.01543	-0.036352	0.026834	-0.345140	-0.00901	 0.14824	 0.01444	   -5.86	    6.02	  -75.95	   -2.83	    6.25	    4.53	  414.34	 1011.70	   17.30	   1.213	   971.0	   40.01	3.456E+5	   0.117
       2	   2.496	   0.000	  0.4879	-0.038953	-0.03082	-0.02227	-0.060164	  0.4857	-0.030821	-0.01303	-0.14370	 0.01393	-0.038953	0.030821	0.487852	-0.00740	-0.13736	 0.01451	   -6.94	    6.91	  111.65	   -2.32	   -4.59	    4.55	  413.86	 1011.66	   17.39	   1.213	   969.9	   39.99	3.453E+5	   0.117
       3	   5.000	   0.000	  0.7384	-0.026962	-0.03509	-0.05479	-0.091215	  0.7332	-0.035091	-0.01530	-0.23810	 0.01392	-0.026962	0.035091	0.738396	-0.00831	-0.23372	 0.01531	   -4.36	    7.86	  168.10	   -2.61	   -8.23	    4.80	  413.63	 1011.64	   17.39	   1.213	   969.3	   39.98	3.452E+5	   0.117
       4	   7.000	   0.000	  0.9230	-0.011814	-0.03995	-0.09595	-0.124214	  0.9147	-0.039951	-0.01605	-0.32463	 0.01375	-0.011814	0.039951	0.923034	-0.00772	-0.32271	 0.01582	   -1.04	    8.96	  209.70	   -2.42	  -11.61	    4.97	  414.06	 1011.63	   17.38	   1.213	   970.4	   40.00	3.454E+5	   0.117
       5	   7.000	   0.000	  0.8979	0.076737	-0.03584	-0.01769	-0.033259	  0.9005	-0.035839	-0.01239	-0.24283	 0.01349	0.076737	0.035839	0.897887	-0.00480	-0.25531	 0.01511	   18.81	    8.03	  204.01	   -1.50	   -9.11	    4.74	  413.96	 1011.66	   17.38	   1.213	   970.1	   39.99	3.454E+5	   0.117
       6	   2.500	   0.000	  0.4752	0.052677	-0.03743	 0.03489	0.031897	  0.4771	-0.037425	-0.01141	-0.08438	 0.01563	0.052677	0.037425	0.475213	-0.00463	-0.09295	 0.01615	   13.59	    8.38	  108.78	   -1.45	   -2.95	    5.06	  413.69	 1011.65	   17.41	   1.213	   969.5	   39.98	3.452E+5	   0.117
       7	   5.000	   0.000	  0.7195	0.063520	-0.03651	 0.01432	0.000572	  0.7223	-0.036513	-0.01237	-0.16627	 0.01458	0.063520	0.036513	0.719527	-0.00511	-0.17660	 0.01572	   15.92	    8.19	  164.13	   -1.60	   -6.13	    4.93	  414.28	 1011.64	   17.46	   1.213	   970.9	   40.01	3.454E+5	   0.117
       8	  -4.995	   0.000	 -0.3345	0.052026	-0.03990	 0.08322	0.022701	 -0.3378	-0.039901	-0.01154	 0.16766	 0.02011	0.052026	0.039901	-0.334495	-0.00677	 0.15919	 0.01918	   13.94	    8.94	  -73.45	   -2.12	    6.65	    6.01	  413.70	 1011.61	   17.53	   1.212	   969.5	   39.99	3.450E+5	   0.117
       9	   2.496	   0.000	  0.4737	0.069389	-0.03506	 0.04764	0.048691	  0.4763	-0.035063	-0.00987	-0.07143	 0.01595	0.069389	0.035063	0.473702	-0.00346	-0.08272	 0.01639	   17.32	    7.85	  108.39	   -1.08	   -2.57	    5.14	  413.54	 1011.59	   17.62	   1.212	   969.1	   39.99	3.448E+5	   0.117
      10	   2.496	   0.000	  0.4798	0.020104	-0.03269	 0.01592	-0.000811	  0.4802	-0.032690	-0.01155	-0.10413	 0.01478	0.020104	0.032690	0.479783	-0.00557	-0.10741	 0.01530	    6.29	    7.32	  109.75	   -1.75	   -3.48	    4.80	  413.52	 1011.60	   17.61	   1.212	   969.1	   39.99	3.448E+5	   0.117
      11	   2.496	   3.995	  0.4784	0.024505	 0.05874	 0.01746	-0.000501	  0.4788	0.060302	-0.00189	-0.10224	-0.01298	0.020353	-0.060302	0.478368	-0.01227	-0.10555	-0.01291	    6.35	  -13.50	  109.44	   -3.85	   -3.41	   -4.05	  413.52	 1011.62	   17.62	   1.212	   969.1	   39.99	3.448E+5	   0.117
      12	   2.496	   8.000	  0.5021	0.031496	 0.16668	 0.00220	-0.013887	  0.5020	0.169445	 0.00883	-0.12331	-0.03961	0.007991	-0.169445	0.502140	-0.02048	-0.12461	-0.04004	    3.58	  -37.95	  114.81	   -6.42	   -4.12	  -12.55	  413.70	 1011.58	   17.67	   1.212	   969.5	   40.00	3.448E+5	   0.117
      13	   2.496	  10.000	  0.5082	0.038140	 0.21359	-0.00555	-0.021666	  0.5078	0.216970	 0.01665	-0.13249	-0.04949	0.000470	-0.216970	0.508231	-0.02083	-0.13257	-0.05026	    1.90	  -48.55	  116.07	   -6.53	   -4.41	  -15.75	  413.36	 1011.59	   17.68	   1.212	   968.7	   39.99	3.446E+5	   0.117
      14	   2.496	   0.000	  0.4807	0.038999	-0.04498	 0.01776	0.018025	  0.4819	-0.044979	-0.00973	-0.10272	 0.01470	0.038999	0.044979	0.480694	-0.00176	-0.10907	 0.01514	    2.63	    2.52	   27.52	   -0.14	   -0.89	    1.19	  103.96	 1011.60	   17.42	   1.213	   242.5	   20.00	1.726E+5	   0.059
      15	   2.496	   8.000	  0.5080	0.045212	 0.15652	 0.00843	0.000844	  0.5085	0.161285	 0.01309	-0.11869	-0.04016	0.022990	-0.161285	0.507968	-0.01492	-0.12244	-0.04077	    1.73	   -9.03	   29.03	   -1.17	   -1.01	   -3.20	  103.89	 1011.63	   17.27	   1.213	   242.4	   19.99	1.727E+5	   0.059
      16	   2.496	   4.000	  0.4812	0.039798	 0.05077	 0.03010	0.015167	  0.4823	0.053425	 0.00093	-0.09048	-0.01348	0.036159	-0.053425	0.481183	-0.00835	-0.09636	-0.01353	    2.48	   -3.00	   27.63	   -0.66	   -0.77	   -1.06	  104.27	 1011.61	   17.23	   1.214	   243.2	   20.02	1.730E+5	   0.059
      17	   2.496	   9.995	  0.5138	0.064473	 0.09950	-0.04962	0.023801	  0.5154	0.109184	 0.02705	-0.17846	-0.02103	0.046224	-0.109184	0.513839	 0.00834	-0.18598	-0.02223	    3.04	   -6.12	   29.38	    0.65	   -1.60	   -1.74	  103.97	 1011.63	   17.16	   1.214	   242.6	   19.99	1.729E+5	   0.059
