run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,b,c,S
1,7,50,35,-5.003,0,416.15,101202,289.05,-712.5,-304.7,-677.2,-537.7,-44.9,145.1,0,1.21971557746983,975.295699334612,39.9902268016234,448650.627175083,123.03,123.03,17.61,17.79,0,17.271,17.78,34.089,33.593,101202,1.47053690445064e-05,1.59962852354778,1.59962852354778,-6.72143133881368,-3.16634292185245,-75.4105237120606,-1.09342008775374,5.99503041632642,-0.988469440303608,-0.0317341038408047,-0.0149493537927589,-0.356038062361636,-0.00369643177367163,0.171563747025361,-0.00334163409595652,-0.351914140132631,-0.0626625340336449,0.0149493537927589,-0.356038062361636,-0.0317341038408048,0.0149493537927589,-0.0081712325562684,0.180508098389532,0.180508098389532,-0.00261630685707756,1.39658967036375,0.164979635584137,0.217169693741564
2,7,51,6,4.995,0,416.28,101203,289.09,-588.7,-98.3,1607.6,1547.6,-976.6,23.4,0,1.2195588618814,975.602712549633,39.9990902968791,448644.208762343,123.03,123.03,17.84,17.8,0,17.882,18.861,34.143,33.598,101203,1.47088387902757e-05,1.59998306766927,1.59998306766927,-5.25994420573163,-1.17504869243573,169.554663555505,-2.18390983261266,-8.00689854047343,-0.0911829393195901,-0.0248261239518526,-0.00554604827482465,0.800271814567306,-0.00738063383891046,-0.229066598758273,-0.000308157359531815,0.795071041334184,-0.0944105547759178,0.00554604827482465,0.800271814567306,-0.0248261239518526,0.00554604827482465,-0.00888300722974093,-0.222069282030825,-0.222069282030825,-0.00108041992155212,1.39658967036375,0.164979635584137,0.217169693741564
3,7,51,36,7,0,415.96,101202,289.11,-216.1,70.7,1998.7,1793.5,-909.6,-8.7,0,1.21946244567,974.846990526135,39.9851758452205,448428.597828654,123.04,123.02,17.52,17.53,0,18.766,20.138,34.169,33.656,101202,1.47107917997522e-05,1.5992964904354,1.59955649636784,-1.73287104172947,1.19180240306247,210.120502677606,-2.08082550922982,-11.4480549338568,0.149801604776535,-0.00818522401961324,0.00562948391499674,0.992505122489348,-0.00703770670249087,-0.327767350522343,0.000506654572093324,0.984109611934207,-0.129080160205012,-0.00562948391499674,0.992505122489348,-0.00818522401961326,-0.00562948391499674,-0.00547213453491811,-0.325460320836137,-0.325460320836137,-0.000164007397052392,1.39658967036375,0.164979635584137,0.217169693741564
4,7,52,15,2.507,0,416.01,101202,289.18,-839.5,-157.4,1112.5,1105.4,-959.7,55.8,0,1.21916725799728,974.965071467603,39.9924380804726,448317.210036413,123.03,123.04,17.64,17.93,0,20.15,21.793,34.112,33.614,101202,1.47171192917213e-05,1.59971697577733,1.59958695976825,-7.62031004986767,-1.78524278119149,112.448521632053,-1.98054676480021,-4.68383258262846,-0.343662031983988,-0.0359902087690589,-0.00843158086456769,0.531086759308425,-0.00669773560783009,-0.134085787603132,-0.00116218282223222,0.529004184516933,-0.0591862636389536,0.00843158086456769,0.531086759308425,-0.0359902087690589,0.00843158086456769,-0.00901468109298935,-0.123941840431496,-0.123941840431496,-0.00155538564608786,1.39658967036375,0.164979635584137,0.217169693741564
5,7,53,12,7.998,0,416.07,101200,289.24,-1,83.7,2132.1,1912.3,-837.9,-12.1,0,1.21889026497157,975.106768902776,39.999888359883,448226.661046179,123.04,123.03,17.74,18.07,0,22.178,23.889,34.051,33.574,101200,1.47228346248234e-05,1.59988495034755,1.6000149905776,0.219203767298664,1.32811456381977,227.387737342745,-2.18996273244098,-12.9825199406626,0.15728532497014,0.00103513411928537,0.00627168372273694,1.0737808393132,-0.00740485414761202,-0.371601337319492,0.000531824068834941,1.06348012088367,-0.148379226524654,-0.00627168372273694,1.0737808393132,0.00103513411928541,-0.00627168372273694,-0.00565632560963995,-0.371893092943611,-0.371893092943611,-0.000260361876278161,1.39658967036375,0.164979635584137,0.217169693741564
6,7,53,47,7.006,0,416.26,101199,289.29,1969.1,-64.5,1525,1461.2,901.2,59.9,0,1.21866755341262,975.555479645519,40.0127462554704,448228.673690581,82.02,82.02,0.76,0.72,0,23.217,24.648,30.772,30.7,101199,1.47275011248054e-05,2.40079396898289,2.40079396898289,18.3715656962959,-0.110287564361882,205.204090385952,-1.22448843358092,-9.15069554273727,-0.303188979475575,0.086715149781392,-0.000520565466262559,0.968578493947297,-0.00413842100837334,-0.261801767590216,-0.00102469211448543,0.971923421747798,-0.0320730166475767,0.000520565466262559,0.968578493947297,0.086715149781392,0.000520565466262559,-0.00412816334614438,-0.2862426899535,-0.2862426899535,-0.00152056676368006,1.39658967036375,0.164979635584137,0.217169693741564
7,7,54,18,-5,0,415.49,101197,289.33,1459.2,52.1,-922.2,-925.5,1613,-82.3,0,1.21847499083904,973.737040985769,39.9785955638114,447727.296587814,82.03,82.02,0.83,0.83,0,23.481,24.357,30.965,30.78,101197,1.47314094484511e-05,2.39845247968451,2.3987449025667,13.2576338334325,-0.269669339762509,-73.4722255451341,-0.40630862310712,6.46924160760311,0.490326307133123,0.0626938744929595,-0.00127523628681278,-0.347441975311552,-0.00137577148618638,0.18543090646357,0.00166025753310919,-0.351583984897054,0.0321737419527238,0.00127523628681278,-0.347441975311552,0.0626938744929595,0.00127523628681278,-0.00158389667824358,0.16776045184291,0.16776045184291,0.00179198544337812,1.39658967036375,0.164979635584137,0.217169693741564
8,7,54,48,7.996,0,415.97,101196,289.39,2151.5,-75.7,1644.4,1580.5,956.7,71.3,0,1.21821032304441,974.870606695919,40.0062042819766,447867.086347079,82.02,82.03,1.45,1.07,0,23.323,23.761,30.796,30.768,101196,1.47369815839295e-05,2.40040144580018,2.4001088209744,20.0229379369488,-0.177621560869135,221.24477833864,-1.31325073922521,-10.5801277244233,-0.392236659798025,0.0945761446297343,-0.000838975902688053,1.04502537143245,-0.00444153034221059,-0.302910533252949,-0.00132657913206131,1.0480213243086,-0.051710519867801,0.000838975902688053,1.04502537143245,0.0945761446297343,0.000838975902688053,-0.00444798525495131,-0.329567100348103,-0.329567100348103,-0.00193241423466724,1.39658967036375,0.164979635584137,0.217169693741564
9,7,55,15,5.004,0,415.74,101196,289.4,1657.3,-50.7,1200.8,1143.3,858.4,48,0,1.21816822870014,974.327437132367,39.9957485995838,447722.556101012,82.02,82.01,0.97,0.85,0,23,23.175,30.511,30.446,101196,1.47378860835982e-05,2.39977409722805,2.40006671692043,15.4030730683123,-0.104282559781228,164.912482094361,-1.07880882742933,-5.9814411086217,-0.253828063808908,0.0727952805664745,-0.000492841796166094,0.779380215216237,-0.00365066106930841,-0.17134496210795,-0.000858947579297419,0.782759283533847,0.00453616411052803,0.000492841796166094,0.779380215216237,0.0727952805664745,0.000492841796166094,-0.00370020451551504,-0.191862528014529,-0.191862528014529,-0.00117842520807308,1.39658967036375,0.164979635584137,0.217169693741564
10,7,55,35,2.503,0,415.81,101196,289.41,1385.5,-105.5,709.6,740.6,833.6,18.3,0,1.21812613726485,974.492749089958,39.9998325144917,447740.79291642,82.02,82.01,1.1,0.8,0,22.733,22.766,30.455,30.383,101196,1.47387906040074e-05,2.40001913510219,2.40031178467359,12.8498418767902,-1.41076439795118,109.446909355321,-1.02950513961186,-2.98931542393859,-0.104146071976582,0.0607183487914234,-0.00666617422989796,0.517160886499539,-0.00348322767806181,-0.0856177029841382,-0.000352367818782345,0.519319155425979,0.038075125903847,0.00666617422989796,0.517160886499539,0.0607183487914235,0.00666617422989796,-0.0053416043780854,-0.102731349821849,-0.102731349821849,-0.000585308567192638,1.39658967036375,0.164979635584137,0.217169693741564
