run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,B1_zeroed,B2_zeroed,B3_zeroed,B4_zeroed,B5_zeroed,B6_zeroed,B1_zero,B2_zero,B3_zero,B4_zero,B5_zero,B6_zero,config,source_file,dR,dE,V_round,AoA_round,AoS_round,J,J_round
22.0,18.0,39.0,1.0,0.0,-10.0,229.65,100884.0,294.78999999999996,835.5,355.7,393.1,63.1,381.8,37.6,359.961,1.192207899625275,536.4604639763018,29.999074787617214,323998.0007564202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100884.0,1.5275515326537995e-05,inf,inf,7.679918190672924,6.135252112393879,37.378169480497306,1.1140404219553826,-3.1327406509155917,-0.23396037452633411,0.06592037268649334,0.05266177265609162,0.32083451949862457,0.006846918900186424,-0.16298857503004982,-0.0014379260201594444,0.32083451949862457,0.06592037268649334,-0.05266177265609162,0.32083451949862457,0.07406351495755334,-0.040414769410950874,0.02168979583974314,-0.181568427743803,-0.181568427743803,-0.0014379260201594444,835.4,355.7,393.1,63.1,381.8,37.6,0.1,0.0,0.0,0.0,0.0,0.0,tailOff_alfa0_V50_balance,raw_tailOff_alfa0_V50_balance.txt,0,0,30,0.0,-10,inf,inf
1.0,18.0,29.0,12.0,0.0,-10.0,633.35,100886.0,294.78,1407.5,3554.4,1732.8,-237.6,560.3,-1360.4,585.896,1.1922719796384158,1490.425654803632,50.001437239583964,540072.0228653919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100886.0,1.5274294066748413e-05,inf,inf,12.926990280967221,39.921759698167364,105.45761677386376,10.138846457721407,-6.35292653846686,8.904455911933553,0.039938144677658764,0.12333891957508604,0.32581300554366405,0.022429014114931454,-0.11896903998220784,0.019698312640137064,0.32581300554366405,0.039938144677658764,-0.12333891957508604,0.32581300554366405,0.06074897313910337,-0.11452993820302027,0.057192454705249654,-0.1302257246083781,-0.1302257246083781,0.019698312640137064,1407.4,3554.4,1732.8,-237.6,560.3,-1360.4,0.1,0.0,0.0,0.0,0.0,0.0,tailOff_alfa0_V50_balance,raw_tailOff_alfa0_V50_balance.txt,0,0,50,0.0,-10,inf,inf
23.0,18.0,39.0,21.0,0.0,-9.0,229.93,100885.0,294.76,825.5,269.4,355.7,96.2,384.0,48.5,359.861,1.192341058638124,537.116892264284,30.01574683811783,324239.76081558905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100885.0,1.527260864824914e-05,inf,inf,7.610442516659136,4.923004843030476,37.18335175949628,0.919271992260495,-3.034375033472074,-0.31423851236313627,0.06524419544006647,0.04220483755418664,0.318772248000408,0.0056429626144469044,-0.15767792147762805,-0.0019289570357998087,0.318772248000408,0.06524419544006647,-0.04220483755418664,0.318772248000408,0.07104322231256315,-0.03147878515833489,0.017538521356112446,-0.1760671916273725,-0.1760671916273725,-0.0019289570357998087,827.8,270.4,357.7,94.5,383.7,49.6,-2.3,-1.0,-2.0,1.7,0.3,-1.1,tailOff_alfa0_V50_balance,raw_tailOff_alfa0_V50_balance.txt,0,0,30,0.0,-9,inf,inf
2.0,18.0,29.0,31.0,0.0,-9.0,633.83,100890.0,294.9,1423.5,3412.5,1644.8,-173.3,584.1,-1386.7,585.486,1.1918340759998887,1491.5688985800193,50.02979902072832,540010.0943183695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100890.0,1.52847105963934e-05,inf,inf,13.097404418315449,37.3651629671605,104.60832596237215,9.852043344744065,-6.2251496461350255,9.064641644084602,0.04043362693952555,0.11535179121719898,0.3229413929385904,0.021777847401210648,-0.11648685443570783,0.020037303487590568,0.3229413929385904,0.04043362693952555,-0.11535179121719898,0.3229413929385904,0.057980817646637775,-0.1076064064520711,0.05429009215558982,-0.12788319220812994,-0.12788319220812994,0.020037303487590568,1425.8,3413.5,1646.8,-175.0,583.8000000000001,-1385.6000000000001,-2.3,-1.0,-2.0,1.7,0.3,-1.1,tailOff_alfa0_V50_balance,raw_tailOff_alfa0_V50_balance.txt,0,0,50,0.0,-9,inf,inf
24.0,18.0,39.0,39.0,0.0,-8.0,229.53,100883.0,294.72999999999996,814.4,168.4,316.4,131.0,384.1,68.1,359.512,1.1924387847076852,536.1791397883329,29.988304224556842,323995.3414609255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100883.0,1.5270156294362348e-05,inf,inf,7.523545303602841,3.5172350532897303,36.9495131936237,0.6181508770196912,-2.944883220959751,-0.45014614348331355,0.06461203325711402,0.03020593338188794,0.3173215656928827,0.003801163336569287,-0.15329521718763844,-0.0027680604854214623,0.3173215656928827,0.06461203325711402,-0.03020593338188794,0.3173215656928827,0.06818708680713892,-0.020919714286891267,0.012314795320811828,-0.17150631054966475,-0.17150631054966475,-0.0027680604854214623,818.3,166.4,319.4,129.0,383.5,70.1,-3.9,2.0,-3.0,2.0,0.6,-2.0,tailOff_alfa0_V50_balance,raw_tailOff_alfa0_V50_balance.txt,0,0,30,0.0,-8,inf,inf
3.0,18.0,29.0,51.0,0.0,-8.0,632.9,100888.0,294.98999999999995,1463.7,3134.6,1526.5,-89.0,619.4,-1335.1,584.909,1.1914468340794255,1489.3538831290628,50.000761094551635,539394.1723357136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100888.0,1.5293282292220372e-05,inf,inf,13.48341549991403,33.53311757091303,103.43719148300274,9.075186659169407,-6.174765790374243,8.718112639454386,0.04168720680811906,0.10367566045179988,0.31980083926290337,0.02009044793757071,-0.11571589759170833,0.01929996535331494,0.31980083926290337,0.04168720680811906,-0.10367566045179988,0.31980083926290337,0.055710372936266316,-0.09686495820926119,0.04931174057735289,-0.1274655605711065,-0.1274655605711065,0.01929996535331494,1467.6000000000001,3132.6,1529.5,-91.0,618.8,-1333.1,-3.9,2.0,-3.0,2.0,0.6,-2.0,tailOff_alfa0_V50_balance,raw_tailOff_alfa0_V50_balance.txt,0,0,50,0.0,-8,inf,inf
25.0,18.0,39.0,58.0,0.0,-7.0,229.75,100878.0,294.7,773.5,207.2,313.0,137.4,364.9,10.4,359.36,1.1925010670129024,536.6949018176438,30.001940443176785,324185.090135162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100878.0,1.5268158073119952e-05,inf,inf,7.148415217413336,3.395224944202655,36.65953998572904,0.6298522791182855,-2.8258607920930725,-0.08636749631902649,0.061331428747675734,0.029130092533019677,0.31452873065911385,0.0038693961117814463,-0.14695816992619734,-0.000530584814123343,0.31452873065911385,0.061331428747675734,-0.029130092533019677,0.31452873065911385,0.0644243388284998,-0.021438540289025462,0.012079799159341912,-0.16424461516938912,-0.16424461516938912,-0.000530584814123343,777.5,202.0,317.0,135.20000000000002,362.2,14.100000000000001,-4.0,5.2,-4.0,2.2,2.7,-3.7,tailOff_alfa0_V50_balance,raw_tailOff_alfa0_V50_balance.txt,0,0,30,0.0,-7,inf,inf
4.0,18.0,30.0,16.0,0.0,-7.0,633.33,100888.0,295.03999999999996,1520.7,2741.4,1387.6,6.7,658.6,-1210.7,584.453,1.191244921316058,1490.3780201090253,50.02218813624959,539463.2546302583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100888.0,1.5297876730261953e-05,inf,inf,14.01040670851643,28.76571958258328,101.76082744213427,7.833352141219368,-6.245491856013404,7.8917344693189,0.04328676064521674,0.08887499444265304,0.3144017637881482,0.017329385737136868,-0.11696088627114751,0.017458542433482115,0.3144017637881482,0.04328676064521674,-0.08887499444265304,0.3144017637881482,0.05379524491329116,-0.08293720461323081,0.042379066729284265,-0.12916138824750242,-0.12916138824750242,0.017458542433482115,1524.7,2736.2000000000003,1391.6,4.5,655.9,-1207.0,-4.0,5.2,-4.0,2.2,2.7,-3.7,tailOff_alfa0_V50_balance,raw_tailOff_alfa0_V50_balance.txt,0,0,50,0.0,-7,inf,inf
26.0,18.0,40.0,19.0,0.0,-6.0,229.94,100877.0,294.66999999999996,709.4,360.4,338.0,113.0,331.7,-109.2,358.951,1.1926106516953323,537.1403362659074,30.01300905388601,324360.00251461065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100877.0,1.5265554501500177e-05,inf,inf,6.595553213861049,4.321569217302035,35.867277180350506,0.7939073486640357,-2.6860429008369655,0.6862775802879346,0.056541098652814384,0.03704712304298118,0.30747614213772007,0.004873197478171196,-0.13957113790367595,0.0042125396360323366,0.30747614213772007,0.056541098652814384,-0.03704712304298118,0.30747614213772007,0.060103839438571977,-0.030934020873003794,0.015315039075160769,-0.155507414390449,-0.155507414390449,0.0042125396360323366,717.4,351.7,342.5,110.5,328.09999999999997,-104.5,-8.0,8.7,-4.5,2.5,3.6,-4.7,tailOff_alfa0_V50_balance,raw_tailOff_alfa0_V50_balance.txt,0,0,30,0.0,-6,inf,inf
5.0,18.0,30.0,43.0,0.0,-6.0,633.19,100889.0,295.08,1571.0,2267.7,1240.9,111.5,690.7,-1027.9,583.477,1.1910952463695557,1490.0445782833244,50.01973458271627,539312.5500218092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100889.0,1.53014009837859e-05,inf,inf,14.511716046403528,23.420413805502612,99.98317162607245,6.263712566073878,-6.366006287715885,6.689097634379984,0.044845646723895696,0.07237625104367439,0.30897861967115253,0.013860040977385716,-0.11924446867029917,0.014801312534101831,0.30897861967115253,0.044845646723895696,-0.07237625104367439,0.30897861967115253,0.05216535587753393,-0.06729211983131211,0.03425950216915508,-0.13188434731518603,-0.13188434731518603,0.014801312534101831,1579.0,2259.0,1245.4,109.0,687.1,-1023.2,-8.0,8.7,-4.5,2.5,3.6,-4.7,tailOff_alfa0_V50_balance,raw_tailOff_alfa0_V50_balance.txt,0,0,50,0.0,-6,inf,inf
27.0,18.0,40.0,45.0,0.0,-5.0,229.88,100881.0,294.64,598.0,706.9,387.7,62.0,285.3,-339.7,358.29,1.1927793768314503,536.99967239499,30.00695641248713,324365.98208525864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100881.0,1.5262194580626467e-05,inf,inf,5.665135414372244,6.954416679013202,34.655114025053855,1.9069505299075935,-2.32679381623429,2.17046445216003,0.04857771198823735,0.059633111261954266,0.29716256097916,0.011708394891499127,-0.1209356439107162,0.013326331493812994,0.29716256097916,0.04857771198823735,-0.059633111261954266,0.29716256097916,0.05359022723249924,-0.05517236270055736,0.028516164310208474,-0.13462741622828234,-0.13462741622828234,0.013326331493812994,616.3,692.6,393.5,59.0,280.3,-332.09999999999997,-18.3,14.3,-5.8,3.0,5.0,-7.6,tailOff_alfa0_V50_balance,raw_tailOff_alfa0_V50_balance.txt,0,0,30,0.0,-5,inf,inf
6.0,18.0,31.0,6.0,0.0,-5.0,632.77,100884.0,295.13,1613.7,1725.7,1081.0,231.6,722.9,-803.0,582.529,1.1908344347593764,1489.0442636899363,50.008417258363295,539001.9316031974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100884.0,1.5306754895821067e-05,inf,inf,15.00114641942636,17.494395733917855,98.36290834580217,4.528171213032203,-6.47946630517829,5.198994123794351,0.046389279069219455,0.05409935901946294,0.3041757128244842,0.010026449878021152,-0.12145127237294356,0.011511811622388811,0.3041757128244842,0.046389279069219455,-0.05409935901946294,0.3041757128244842,0.050927823674568315,-0.04985040255254462,0.025274514801295257,-0.13452622837633837,-0.13452622837633837,0.011511811622388811,1632.0,1711.4,1086.8,228.6,717.9,-795.4,-18.3,14.3,-5.8,3.0,5.0,-7.6,tailOff_alfa0_V50_balance,raw_tailOff_alfa0_V50_balance.txt,0,0,50,0.0,-5,inf,inf
28.0,18.0,41.0,7.0,0.0,-4.0,230.19,100880.0,294.59999999999997,605.9,513.9,339.6,111.5,294.5,-257.1,357.678,1.1929295039917849,537.7264393143222,30.02536553203596,324639.880048685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100880.0,1.5258673281338502e-05,inf,inf,5.792649957303759,4.8418180223394,35.00980631057456,1.2471059275885152,-2.3539637515650447,1.6186778831978963,0.04960399737180204,0.041461771421565104,0.2997982534793743,0.007646697470206533,-0.12218244774530178,0.009925011020084423,0.2997982534793743,0.04960399737180204,-0.041461771421565104,0.2997982534793743,0.05237539149684585,-0.037900572689973745,0.019332820816742473,-0.13616348164455822,-0.13616348164455822,0.009925011020084423,630.1,495.0,346.40000000000003,108.5,288.5,-247.8,-24.2,18.9,-6.8,3.0,6.0,-9.3,tailOff_alfa0_V50_balance,raw_tailOff_alfa0_V50_balance.txt,0,0,30,0.0,-4,inf,inf
7.0,18.0,31.0,30.0,0.0,-4.0,632.39,100884.0,295.15999999999997,1634.8,1241.0,946.0,359.8,743.0,-615.2,581.322,1.1907133985991827,1488.139231220449,49.9957583791348,538768.4300324979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100884.0,1.5309512470217875e-05,inf,inf,15.251127110927964,12.026252961281642,98.49204439382193,3.016702693269438,-6.493086669912985,3.957933799918049,0.047190997339550504,0.03721238878757674,0.30476028238105307,0.006683760827119996,-0.12178059035403956,0.008769138220762583,0.30476028238105307,0.047190997339550504,-0.03721238878757674,0.30476028238105307,0.049671847463259367,-0.03382986371190288,0.0171721830647837,-0.1350815130316751,-0.1350815130316751,0.008769138220762583,1659.0,1222.1,952.8,356.8,737.0,-605.9000000000001,-24.2,18.9,-6.8,3.0,6.0,-9.3,tailOff_alfa0_V50_balance,raw_tailOff_alfa0_V50_balance.txt,0,0,50,0.0,-4,inf,inf
