run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,B1_zeroed,B2_zeroed,B3_zeroed,B4_zeroed,B5_zeroed,B6_zeroed,B1_zero,B2_zero,B3_zero,B4_zero,B5_zero,B6_zero,config,source_file,dR,dE,V_round,AoA_round,AoS_round,J,J_round
22.0,14.0,51.0,33.0,-0.0,-9.995,102.77,101040.0,293.59,391.5,53.3,153.9,49.4,176.9,74.9,244.422,1.1989319324846828,239.75126642027644,19.998535306227172,217893.52251001532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101040.0,1.514203372836018e-05,inf,inf,3.5902332851758416,1.7724958322027904,16.825689648695143,0.17319831757866616,-1.4844925967621125,-0.4840164241107088,0.06895448832954111,0.03404278593272566,0.3231563880007328,0.0023818516834370747,-0.1728174399301253,-0.006656273286578903,0.3231563880007328,0.06895448832954111,-0.03404278593272566,0.3231563880007328,0.0738165014233147,-0.021558220067342877,0.011976911948098901,-0.1922524671440656,-0.1922524671440656,-0.006656273286578903,390.5,53.3,153.9,49.4,176.9,74.9,1.0,0.0,0.0,0.0,0.0,0.0,tailOff_alfa0_balance,raw_tailOff_alfa0_balance.txt,0,0,20,-0.0,-10,inf,inf
43.0,15.0,9.0,52.0,-0.0,-9.995,231.21,101030.0,293.15999999999997,840.4,336.6,394.5,66.8,381.8,49.6,360.482,1.200571663671001,540.1177996955827,29.996128012450356,327640.2190327899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101030.0,1.5104220974574322e-05,inf,inf,7.716722636469482,5.978440771608014,37.69139193133209,0.9865092834656922,-3.1714892516860207,-0.31224546783842766,0.0657877725008526,0.05096830868762625,0.3213323627701898,0.006022053955075224,-0.16388726031374004,-0.0019060733498065556,0.3213323627701898,0.0657877725008526,-0.05096830868762625,0.3213323627701898,0.07363547872834161,-0.03877648480134638,0.02038762304839488,-0.182429739271572,-0.182429739271572,-0.0019060733498065556,839.4,336.6,394.5,66.8,381.8,49.6,1.0,0.0,0.0,0.0,0.0,0.0,tailOff_alfa0_balance,raw_tailOff_alfa0_balance.txt,0,0,30,-0.0,-10,inf,inf
1.0,14.0,34.0,24.0,-0.0,-10.0,409.54,101064.0,293.54999999999995,1234.6,1415.3,891.0,-11.2,543.3,-374.2,473.888,1.199380123268635,959.6873197556819,40.00381889759869,436069.44968050555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101064.0,1.5134780637660197e-05,inf,inf,11.337239311579536,17.95938431206239,67.32213059840578,4.299914456600937,-4.89122279941642,2.4630152381140262,0.054397424560752056,0.08617126501644405,0.32301960114359224,0.014772772669167083,-0.14225191786275584,0.00846192745474187,0.32301960114359224,0.054397424560752056,-0.08617126501644405,0.32301960114359224,0.06853448858868494,-0.07541611623031484,0.039060399497031884,-0.15758399344359306,-0.15758399344359306,0.00846192745474187,1233.6,1415.3,891.0,-11.2,543.3,-374.2,1.0,0.0,0.0,0.0,0.0,0.0,tailOff_alfa0_balance,raw_tailOff_alfa0_balance.txt,0,0,40,-0.0,-10,inf,inf
23.0,14.0,52.0,28.0,-0.0,-9.0,102.82,101043.0,293.53,386.3,5.8,135.1,65.5,178.5,84.3,244.35,1.1992126092702422,239.8678980969433,20.00105800971023,218006.47868457355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101043.0,1.5136097246511229e-05,inf,inf,3.5637915142324372,1.1154537820306774,16.700000172438674,0.02557039060703247,-1.4589224152761573,-0.5483218281031311,0.06841336321707535,0.0214131338595886,0.3205864240260806,0.00035147722452414835,-0.16975810107991648,-0.007536945260221889,0.3205864240260806,0.06841336321707535,-0.0214131338595886,0.3205864240260806,0.07092083333056518,-0.010447294772252431,0.006386832563656729,-0.18904061057468152,-0.18904061057468152,-0.007536945260221889,387.6,4.6,136.1,65.2,176.7,84.6,-1.3,1.2,-1.0,0.3,1.8,-0.3,tailOff_alfa0_balance,raw_tailOff_alfa0_balance.txt,0,0,20,-0.0,-9,inf,inf
44.0,15.0,10.0,48.0,-0.0,-9.0,231.24,101033.0,293.21,826.7,255.6,356.7,99.7,382.9,56.2,360.388,1.2004025785706722,540.1881352820836,30.00019368232209,327595.2574374111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101033.0,1.5108341493950498e-05,inf,inf,7.612312665109104,4.7528234795676765,37.420482813788524,0.8197734391532697,-3.069991351655834,-0.3594015310234338,0.0648891907561377,0.04051421466297546,0.31898122874277574,0.005003578957714614,-0.15862168248410402,-0.002193647478816461,0.31898122874277574,0.0648891907561377,-0.04051421466297546,0.31898122874277574,0.07042811663781864,-0.029864511608159536,0.016422630619200386,-0.1769108935099194,-0.1769108935099194,-0.002193647478816461,828.0,254.4,357.7,99.4,381.09999999999997,56.5,-1.3,1.2,-1.0,0.3,1.8,-0.3,tailOff_alfa0_balance,raw_tailOff_alfa0_balance.txt,0,0,30,-0.0,-9,inf,inf
2.0,14.0,35.0,13.0,-0.0,-9.0,409.53,101062.0,293.59999999999997,873.5,2482.2,1110.9,-172.0,361.8,-1055.2,473.326,1.1991521381411114,959.6637095367728,40.007129382037974,435965.2178233158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101062.0,1.5139651872161485e-05,inf,inf,8.034865103269883,26.568910250178607,66.46303205089573,7.186755114049739,-3.794998180948376,6.900162389480778,0.038553188258816394,0.12748393228031604,0.3189053896956089,0.024691400867676877,-0.11037302393944606,0.02370675957466023,0.3189053896956089,0.038553188258816394,-0.12748393228031604,0.3189053896956089,0.05802141528349858,-0.11988334614562503,0.06062312559264453,-0.1212393544879864,-0.1212393544879864,0.02370675957466023,874.8,2481.0,1111.9,-172.3,360.0,-1054.9,-1.3,1.2,-1.0,0.3,1.8,-0.3,tailOff_alfa0_balance,raw_tailOff_alfa0_balance.txt,0,0,40,-0.0,-9,inf,inf
24.0,14.0,53.0,7.0,-0.0,-8.0,102.86,101042.0,293.51,380.6,-33.7,118.3,80.8,180.0,91.0,244.303,1.199282455403412,239.96120360486427,20.004365155922805,218066.71553658298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101042.0,1.513441822331888e-05,inf,inf,3.5244310634341427,0.539385843424791,16.673638208132,-0.08059297642261459,-1.409455760736945,-0.5988278499012334,0.06763146108041677,0.010350451468716371,0.3199559001853352,-0.0011073581827383498,-0.16393846279911284,-0.008227974062683592,0.3199559001853352,0.06763146108041677,-0.010350451468716371,0.3199559001853352,0.06841378077751292,-0.000837241425507531,0.0018099472870622387,-0.18300059085573317,-0.18300059085573317,-0.008227974062683592,383.3,-37.400000000000006,120.3,80.3,177.3,92.2,-2.7,3.7,-2.0,0.5,2.7,-1.2,tailOff_alfa0_balance,raw_tailOff_alfa0_balance.txt,0,0,20,-0.0,-8,inf,inf
45.0,15.0,11.0,50.0,-0.0,-8.0,231.22,101030.0,293.22999999999996,812.3,171.1,320.5,132.7,381.2,65.7,360.162,1.2002850626531754,540.141244881828,30.00036009807119,327547.72175699146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101030.0,1.5110617927132722e-05,inf,inf,7.493182859545952,3.4937438789346826,37.21325981396349,0.5953560805742415,-2.9776761508972767,-0.42938427544817503,0.06387924449901511,0.0297841015817582,0.317242347720524,0.0036341379436955912,-0.15386525560923586,-0.0026210225086260182,0.317242347720524,0.06387924449901511,-0.0297841015817582,0.317242347720524,0.06740272185915316,-0.020603972208656313,0.012028875382944247,-0.1718698102846482,-0.1718698102846482,-0.0026210225086260182,815.0,167.4,322.5,132.2,378.5,66.9,-2.7,3.7,-2.0,0.5,2.7,-1.2,tailOff_alfa0_balance,raw_tailOff_alfa0_balance.txt,0,0,30,-0.0,-8,inf,inf
3.0,14.0,35.0,50.0,-0.0,-8.0,409.45,101065.0,293.65,917.7,2236.0,1020.4,-102.8,392.6,-984.7,473.07,1.1989835480985749,959.4748281186756,40.006004419884675,435834.27638141497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101065.0,1.5143774567638396e-05,inf,inf,8.455437018221868,23.482923994385533,65.94950101863708,6.502743938822326,-3.847820525054943,6.431415135104029,0.04057917885788148,0.11269881980323715,0.3165036403980094,0.022345754496810467,-0.11193132958000095,0.022100643209723724,0.3165036403980094,0.04057917885788148,-0.11269881980323715,0.3165036403980094,0.05586890930526921,-0.1059545124799414,0.054110251383324384,-0.12336869159265482,-0.12336869159265482,0.022100643209723724,920.4000000000001,2232.3,1022.4,-103.3,389.90000000000003,-983.5,-2.7,3.7,-2.0,0.5,2.7,-1.2,tailOff_alfa0_balance,raw_tailOff_alfa0_balance.txt,0,0,40,-0.0,-8,inf,inf
25.0,14.0,53.0,47.0,-0.0,-7.0,102.97,101043.0,293.46999999999997,371.9,-56.9,105.6,93.5,178.7,88.7,244.228,1.1994577885272575,240.21779451517284,20.013594724759002,218222.22164941297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101043.0,1.513061107829773e-05,inf,inf,3.445478541271511,0.10614163197549176,16.661472516578847,-0.1431513954877401,-1.3624201594643397,-0.5931578343919098,0.0660457924200274,0.0020346108990680987,0.3193809341897284,-0.0019648181726796684,-0.15829832773241273,-0.008141361726231679,0.3193809341897284,0.0660457924200274,-0.0020346108990680987,0.3193809341897284,0.06580145379295417,0.006029512138943873,-0.0013913570514225712,-0.17691353037034704,-0.17691353037034704,-0.008141361726231679,374.7,-63.8,108.6,92.9,174.5,91.2,-2.8,6.9,-3.0,0.6,4.2,-2.5,tailOff_alfa0_balance,raw_tailOff_alfa0_balance.txt,0,0,20,-0.0,-7,inf,inf
