run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,B1_zeroed,B2_zeroed,B3_zeroed,B4_zeroed,B5_zeroed,B6_zeroed,B1_zero,B2_zero,B3_zero,B4_zero,B5_zero,B6_zero,config,source_file,dR,dE,V_round,AoA_round,AoS_round,J,J_round
22.0,19.0,8.0,11.0,4.995,-10.0,102.48,100880.0,294.09,460.8,45.1,319.8,216.5,277.1,85.4,245.432,1.1949982382127233,239.0748072582547,20.003144511232943,216943.08783935258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100880.0,1.5211876648698731e-05,inf,inf,4.242986605372691,1.7707885485126746,39.73390080033878,0.19444533861829613,-0.8745325005603188,-0.5524662129488952,0.08172193242040707,0.034106226474799925,0.7652937560285383,0.002681610377656523,-0.1020969058991951,-0.0076191033453190515,0.7695028312319062,0.014778361914437765,-0.034106226474799925,0.7652937560285384,0.08640287671320124,-0.01939721161814947,0.012911246776408371,-0.1251304751278709,-0.1251304751278709,-0.0065196963286134205,461.7,45.1,319.8,216.5,277.1,85.4,-0.9,0.0,0.0,0.0,0.0,0.0,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,20,5.0,-10,inf,inf
43.0,19.0,16.0,56.0,4.995,-10.0,230.41,100869.0,293.84999999999997,980.1,339.1,773.5,436.1,600.5,65.6,360.982,1.195843835378437,538.2422147816898,30.003135386636746,325833.3048954884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100869.0,1.5191529742659524e-05,inf,inf,9.014238484993761,6.214706132391117,89.00979496309276,1.086125770347353,-1.707692153621445,-0.41617466620974863,0.07711734478982028,0.05316717949906203,0.7614840742528661,0.006653257266986325,-0.08855279374241186,-0.0025493522001693164,0.7653067015279814,0.010522965577140553,-0.05316717949906203,0.7614840742528661,0.08517814287243333,-0.03896816418720337,0.02177837683147503,-0.1102885462795658,-0.1102885462795658,-0.0006556247547403486,981.0,339.1,773.5,436.1,600.5,65.6,-0.9,0.0,0.0,0.0,0.0,0.0,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,30,5.0,-10,inf,inf
1.0,18.0,58.0,13.0,4.995,-10.0,408.1,100879.0,294.09,1516.7,1265.8,1533.8,671.7,940.9,-258.5,474.189,1.194986392472852,956.287543520823,40.006242879793255,433881.3742328097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100879.0,1.5212027441992168e-05,inf,inf,13.941104268821178,16.999277300406423,158.49143364876977,3.950624891955846,-2.4880116596184507,1.7089835670670854,0.0671288887212795,0.0818545340625049,0.763164352516815,0.013621008144684426,-0.07261633962817876,0.0058922524215221745,0.7661109156353548,0.0004261428418950719,-0.0818545340625049,0.763164352516815,0.08032294073753947,-0.06895417056870035,0.03603957512311747,-0.09153681617358597,-0.09153681617358597,0.009064599899734798,1517.6000000000001,1265.8,1533.8,671.7,940.9,-258.5,-0.9,0.0,0.0,0.0,0.0,0.0,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,40,5.0,-10,inf,inf
64.0,19.0,25.0,39.0,4.995,-9.995,633.68,100878.0,294.59999999999997,1890.3,3259.0,2709.4,851.7,1214.3,-1125.8,587.639,1.1929058535258057,1491.21163260932,50.00132977212115,540613.031526579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100878.0,1.525897579870168e-05,inf,inf,17.363874369472402,38.0991286105428,248.3797686273166,10.054191569401814,-2.558027952244176,7.377570215022771,0.05361769417331593,0.1176458308003748,0.7669688336672228,0.022230018729014974,-0.047878048913863526,0.016311955359364295,0.7687245449036382,-0.013364991882437838,-0.1176458308003748,0.7669688336672228,0.07322280671095567,-0.1065543016989163,0.05375823262557478,-0.06299035517052079,-0.06299035517052079,0.02107264819031192,1891.2,3259.0,2709.4,851.7,1214.3,-1125.8,-0.9,0.0,0.0,0.0,0.0,0.0,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,50,5.0,-10,inf,inf
23.0,19.0,8.0,33.0,4.995,-9.0,102.69,100872.0,294.04999999999995,453.2,3.4,303.0,230.0,278.9,91.6,245.302,1.1950660165511644,239.5646562188622,20.023058776185497,217194.21810377334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100872.0,1.520941473035213e-05,inf,inf,4.199057916502189,1.1779739634858006,39.50976132161615,0.023833237095321726,-0.8177168165329878,-0.5958524066325611,0.0807104744681739,0.022641944787294473,0.7594207190760197,0.00032801389667566654,-0.09526878462655626,-0.008200643033148233,0.763564031873128,0.01428210350296047,-0.022641944787294473,0.7594207190760197,0.08325877511638778,-0.009737284978237611,0.007398251979735274,-0.11801727142907495,-0.11801727142907495,-0.007585292717385531,456.9,2.9,303.8,228.5,277.9,91.89999999999999,-3.7,0.5,-0.8,1.5,1.0,-0.3,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,20,5.0,-9,inf,inf
44.0,19.0,17.0,23.0,4.995,-9.0,230.32,100869.0,293.84999999999997,981.8,179.8,718.2,478.6,611.1,113.7,360.879,1.195843835378437,538.0312151854482,29.99725395460726,325769.4326897676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100869.0,1.5191529742659524e-05,inf,inf,9.056311671356882,4.262818128924827,88.42292152277926,0.5775117225447581,-1.626935763807639,-0.7344645151117276,0.07750766764517478,0.036482963789057424,0.7567599992476972,0.0035390384954762264,-0.08439823688817841,-0.004500857889235719,0.7606345520878821,0.011323125683152802,-0.036482963789057424,0.7567599992476972,0.08226061256328544,-0.0239089274402177,0.014161263148462309,-0.10624400308071304,-0.10624400308071304,-0.003280311224421825,985.5,179.3,719.0,477.1,610.1,114.0,-3.7,0.5,-0.8,1.5,1.0,-0.3,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,30,5.0,-9,inf,inf
2.0,18.0,58.0,36.0,4.995,-9.0,407.74,100879.0,294.15,1197.2,2179.6,1698.0,549.9,796.1,-856.6,473.852,1.194742642061333,955.4376294478546,39.99253986937239,433575.91977945965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100879.0,1.5217530201144966e-05,inf,inf,11.026344080125737,24.19995545562766,157.4489043633164,6.8663108137378694,-1.3098424616877704,5.605628820047655,0.05314103148769941,0.11663073322610913,0.7588188001094337,0.023694801364802648,-0.038263717755079266,0.01934434152763551,0.7605639602758375,-0.013130230638938145,-0.11663073322610913,0.7588188001094338,0.07073184356707606,-0.10688172653002562,0.05466840449620296,-0.053241675218913154,-0.053241675218913154,0.024196144038417695,1200.9,2179.1,1698.8,548.4,795.1,-856.3000000000001,-3.7,0.5,-0.8,1.5,1.0,-0.3,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,40,5.0,-9,inf,inf
65.0,19.0,25.0,59.0,4.995,-8.995,633.68,100875.0,294.67999999999995,1907.2,3071.4,2605.4,924.6,1244.5,-1137.4,587.513,1.1925465362691263,1491.21163260932,50.008861967710864,540418.2330017007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100875.0,1.5266775470516725e-05,inf,inf,17.5464685360332,34.961132708813025,247.15665394107765,9.576388815036587,-2.3696745404412134,7.446431570399929,0.05418152445520859,0.10795605183768711,0.7631919928660161,0.021173587279007713,-0.04435267935897505,0.016464209193914083,0.7650111394410456,-0.012474457832091584,-0.10795605183768711,0.763191992866016,0.07039394163190738,-0.09815721930757497,0.049971835533970194,-0.059623902854206504,-0.059623902854206504,0.020894548574474696,1910.9,3070.9,2606.2000000000003,923.1,1243.5,-1137.1000000000001,-3.7,0.5,-0.8,1.5,1.0,-0.3,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,50,5.0,-9,inf,inf
24.0,19.0,8.0,53.0,4.995,-8.0,102.61,100874.0,294.03,446.6,-28.9,286.8,242.5,281.4,94.9,244.984,1.1951710015785715,239.378046609759,20.014379646440045,217130.5612934581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100874.0,1.520727916347783e-05,inf,inf,4.15233043660698,0.6731113263804693,39.36172089043162,-0.05762738190879181,-0.7501782520894005,-0.6215253067887109,0.07987453983625215,0.01294801997914747,0.7571650164372021,-0.0007937368189232222,-0.08746828112134561,-0.008560644324802955,0.7612441118840686,0.013645744839958965,-0.01294801997914747,0.7571650164372021,0.08089922239705787,-0.0017056233420081439,0.003590221047589528,-0.10998115726654448,-0.10998115726654448,-0.008279491080310983,451.8,-31.7,288.40000000000003,240.9,279.29999999999995,95.7,-5.2,2.8,-1.6,1.6,2.1,-0.8,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,20,5.0,-8,inf,inf
45.0,19.0,17.0,43.0,4.995,-8.0,230.35,100868.0,293.85999999999996,971.2,78.8,675.6,511.7,616.5,132.7,360.928,1.1957912860284319,538.1015483009018,29.999873712035395,325774.99571269343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100868.0,1.5192597030825134e-05,inf,inf,8.973109813427522,2.8559276831686686,87.99298759026055,0.30739377015329866,-1.483140195180236,-0.8639131727294264,0.07678555402476575,0.024439017683547844,0.7529820143627143,0.0018834876438308436,-0.07692870195901128,-0.005293437747183682,0.7568080412836352,0.010932699074273411,-0.024439017683547844,0.7529820143627143,0.07943953616679354,-0.013514695180864723,0.009199278361242806,-0.09857093828417693,-0.09857093828417693,-0.004509593628948061,976.4000000000001,76.0,677.2,510.09999999999997,614.4,133.5,-5.2,2.8,-1.6,1.6,2.1,-0.8,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,30,5.0,-8,inf,inf
3.0,18.0,58.0,56.0,4.995,-8.0,407.92,100877.0,294.2,1230.8,1947.7,1608.1,605.2,830.7,-792.7,473.67,1.1945159100444038,955.8625849850515,40.005228909416424,433574.2194111096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100877.0,1.522241819612764e-05,inf,inf,11.350342809750591,21.258955670747564,156.20067816456626,6.105512183283682,-1.2153858998706628,5.182382220168737,0.05467821107299044,0.10241115046832885,0.7524683433428452,0.021060011076870472,-0.035488624938934364,0.01787581838918413,0.754371461032672,-0.011045962099344046,-0.10241115046832885,0.7524683433428452,0.06839896386505938,-0.09380475600189732,0.04817887184379415,-0.050899841031707214,-0.050899841031707214,0.022154832739485545,1236.0,1944.9,1609.6999999999998,603.6,828.6,-791.9000000000001,-5.2,2.8,-1.6,1.6,2.1,-0.8,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,40,5.0,-8,inf,inf
66.0,19.0,26.0,18.0,4.995,-8.0,633.8,100873.0,294.72999999999996,1937.2,2770.9,2469.1,1004.6,1287.4,-1087.0,587.123,1.192320584536724,1491.4974452192919,50.01839292019061,540347.9898010804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100873.0,1.527167009451644e-05,inf,inf,17.837971031617485,30.760233511152343,244.78488649349708,8.639991988389912,-2.1328135655607987,7.109415083491693,0.05507109624285102,0.094965945237979,0.7557233958382747,0.01909953445313491,-0.039911754696314285,0.015716046786993697,0.7576483598589056,-0.010937982530312203,-0.094965945237979,0.7557233958382747,0.06775185320426251,-0.08637732794964341,0.04432340536270458,-0.0554337066404171,-0.0554337066404171,0.01964985712066509,1942.4,2768.1,2470.7,1003.0,1285.3000000000002,-1086.2,-5.2,2.8,-1.6,1.6,2.1,-0.8,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,50,5.0,-8,inf,inf
25.0,19.0,9.0,12.0,4.995,-7.0,102.4,100869.0,293.98999999999995,437.9,-45.5,272.0,250.3,283.4,89.2,244.94,1.195274366563331,238.888199203968,19.993026572991464,216940.4796044736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100869.0,1.5204365014080502e-05,inf,inf,4.077079364912031,0.29158939070714984,38.99720754212164,-0.10639886491880493,-0.6694990711104531,-0.591712880256022,0.07858782149620637,0.005620536893221725,0.7516914219394633,-0.0014685010243018972,-0.0782214249680052,-0.008166731585075578,0.7556792714236241,0.012840492418610391,-0.005620536893221725,0.7516914219394633,0.07868701093269612,0.003998803941858308,0.0008262923100487737,-0.10037163572968397,-0.10037163572968397,-0.008125646064029839,443.59999999999997,-52.0,274.5,248.8,279.4,91.0,-5.7,6.5,-2.5,1.5,4.0,-1.8,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,20,5.0,-7,inf,inf
46.0,19.0,17.0,59.0,4.995,-7.0,230.19,100868.0,293.87,939.0,86.8,663.0,528.0,603.7,94.0,360.773,1.195750594862745,537.7264393143222,29.989925740527877,325647.3194596747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100868.0,1.5193513731594859e-05,inf,inf,8.68172624214982,2.460248463185672,87.92167372168286,0.3462061874935065,-1.3665194014701152,-0.6196141742771681,0.07434392357082001,0.021067759868342854,0.7528966024808418,0.0021227819702497133,-0.07092916585994839,-0.0037991978340693473,0.7565103639171891,0.008507777910873246,-0.021067759868342854,0.7528966024808418,0.07635728930030623,-0.011850478829288883,0.008360971780078084,-0.0918832213941547,-0.0918832213941547,-0.003082926015123738,944.7,80.3,665.5,526.5,599.7,95.8,-5.7,6.5,-2.5,1.5,4.0,-1.8,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,30,5.0,-7,inf,inf
4.0,18.0,59.0,17.0,4.995,-7.0,407.63,100881.0,294.22999999999996,1276.1,1672.8,1519.2,676.3,858.1,-699.0,473.332,1.1944414763607334,955.1779358734957,39.99214523964963,433371.2579049336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100881.0,1.5224566529311983e-05,inf,inf,11.77276145762697,17.983068353143462,155.80604408793587,5.233926468265671,-1.3281321797214467,4.561536854907147,0.05675378668592042,0.08669225389013815,0.7511052544783507,0.018066552631093538,-0.038808553766426335,0.015745587212110928,0.7531942666652512,-0.008859586377101616,-0.08669225389013815,0.7511052544783507,0.06689588062608628,-0.07912951625660014,0.04096866608206792,-0.054804777006654204,-0.054804777006654204,0.019386303497796135,1281.8,1666.3,1521.7,674.8,854.1,-697.2,-5.7,6.5,-2.5,1.5,4.0,-1.8,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,40,5.0,-7,inf,inf
67.0,19.0,26.0,41.0,4.995,-7.0,633.57,100872.0,294.78999999999996,1994.1,2424.2,2345.7,1091.1,1324.8,-981.8,586.569,1.1920660882895278,1490.9496388875862,50.0145445365362,540106.1545738794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100872.0,1.527733254225612e-05,inf,inf,18.367557861385563,26.481223921381634,243.4667827578869,7.520086922403139,-2.228678866409524,6.412702749096159,0.05672692254514711,0.08178541478543593,0.7519301930093912,0.016629984403552504,-0.04172102425318339,0.014181105591264658,0.7540137332985759,-0.008958174910523947,-0.08178541478543593,0.7519301930093912,0.06627122346665983,-0.07426252590170197,0.038296016139031316,-0.057709675755593215,-0.057709675755593215,0.01758226623996773,1999.8,2417.7,2348.2,1089.6,1320.8,-980.0,-5.7,6.5,-2.5,1.5,4.0,-1.8,tailOff_alfa5_betaSweep_balance,raw_tailOff_alfa5_betaSweep_balance.txt,0,0,50,5.0,-7,inf,inf
