run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,B1_zeroed,B2_zeroed,B3_zeroed,B4_zeroed,B5_zeroed,B6_zeroed,B1_zero,B2_zero,B3_zero,B4_zero,B5_zero,B6_zero,config,source_file,dR,dE,V_round,AoA_round,AoS_round,J,J_round
21.0,13.0,12.0,31.0,-4.998,0.0,103.15,101147.0,292.63,307.7,-25.0,-89.7,-75.8,94.6,7.5,243.181,1.2041389584715274,240.63767296574176,19.992104056437825,219324.47149764915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101147.0,1.5038404147375851e-05,inf,inf,2.8281912665847067,-0.30540329828775836,-7.832253838570496,-0.10171872867665772,-1.746037409641608,-0.049792229458772014,0.05411852342620946,-0.005844009119222934,-0.14987317790375515,-0.0013936998712908454,-0.20251647822588095,-0.0006822285796411016,-0.15401817928196404,0.04085565424115249,0.005844009119222934,-0.14987317790375515,0.05411852342620946,0.005844009119222934,-0.003088725495802562,-0.21776994469408245,-0.21776994469408245,-0.0004147126671293468,307.3,-25.0,-89.7,-75.8,94.6,7.5,0.4,0.0,0.0,0.0,0.0,0.0,tailOff_beta0_balance,raw_tailOff_beta0_balance.txt,0,0,20,-5.0,0,inf,inf
1.0,12.0,50.0,49.0,-5.0,0.0,231.99,101148.0,292.62,649.7,-63.6,-218.3,-188.1,198.5,10.6,356.483,1.204192013981142,541.9465520150753,30.001664852283074,329158.1133075097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101148.0,1.5037343860404711e-05,inf,inf,5.9761978353525285,-0.8816877961267228,-20.06418014848969,-0.45074767590546927,-3.707173097331522,-0.07158233029782249,0.050777263191325375,-0.007491333873130611,-0.17047697954228266,-0.0027422623065514826,-0.1909223838840785,-0.0004354931521199995,-0.17425379325485024,0.035725992601422514,0.007491333873130611,-0.17047697954228266,0.050777263191325375,0.007491333873130611,-0.004873202865880687,-0.2052341062371836,-0.2052341062371836,-1.0806659385734197e-05,649.3000000000001,-63.6,-218.3,-188.1,198.5,10.6,0.4,0.0,0.0,0.0,0.0,0.0,tailOff_beta0_balance,raw_tailOff_beta0_balance.txt,0,0,30,-5.0,0,inf,inf
41.0,13.0,28.0,54.0,-4.997,0.0,410.45,101116.0,292.94,1125.6,-221.2,-443.3,-298.2,342.6,33.7,470.16,1.2024960343234867,961.8358884172457,39.996653922993055,437827.9351530938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101116.0,1.5071293672691132e-05,inf,inf,10.3571983180383,-3.108576007206715,-37.08449264391209,-0.9442320329884968,-6.441188360529154,-0.22691067661470862,0.04958406127868148,-0.014881999793547526,-0.17753833607125782,-0.0032367541067807055,-0.1869112590697547,-0.000777832183981831,-0.18118250839685823,0.03393138014966859,0.014881999793547526,-0.17753833607125782,0.04958406127868148,0.014881999793547526,-0.007470797492940681,-0.2008866739219886,-0.2008866739219886,-0.00012758387509466873,1125.1999999999998,-221.2,-443.3,-298.2,342.6,33.7,0.4,0.0,0.0,0.0,0.0,0.0,tailOff_beta0_balance,raw_tailOff_beta0_balance.txt,0,0,40,-5.0,0,inf,inf
22.0,13.0,13.0,15.0,-4.0,0.0,103.31,101144.0,292.60999999999996,296.2,-25.6,-51.1,-41.1,98.5,6.3,243.222,1.2041855448433303,241.01090077245823,20.007214854186145,219510.34815605334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101144.0,1.5037026925721918e-05,inf,inf,2.7219531504119012,-0.3270875346809401,-3.2305790677380144,-0.18770387990114043,-1.616539982853647,-0.042674387075732706,0.05200495694747376,-0.006249252731099925,-0.061722636669077756,-0.0025678433093382458,-0.18720619057693375,-0.0005837979448812925,-0.06519996584219157,0.047572722001885,0.006249252731099925,-0.06172263666907774,0.05200495694747375,0.006249252731099925,-0.004359391680240346,-0.20186394205938424,-0.20186394205938424,-0.00028038515775041984,295.8,-25.5,-50.5,-40.6,96.0,6.3999999999999995,0.4,-0.1,-0.6,-0.5,2.5,-0.1,tailOff_beta0_balance,raw_tailOff_beta0_balance.txt,0,0,20,-4.0,0,inf,inf
2.0,12.0,52.0,19.0,-4.002,0.0,231.82,101151.0,292.65,629.5,-59.4,-131.3,-103.5,205.8,9.0,356.419,1.204104282494714,541.5479729929513,29.991722882560527,328998.96000629466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101151.0,1.5039632683369563e-05,inf,inf,5.789287682960857,-0.8319148680286493,-9.344238404262988,-0.435719159272763,-3.4492915948457252,-0.06171769668342247,0.04922536869716877,-0.007073636403299747,-0.0794525347216537,-0.002652782707899336,-0.17777202383636137,-0.000375754967503431,-0.08269430106911672,0.043560242971752025,0.007073636403299747,-0.0794525347216537,0.04922536869716877,0.007073636403299747,-0.004661402573645807,-0.19164634011978535,-0.19164634011978535,-5.055291165623248e-05,629.1,-59.3,-130.70000000000002,-103.0,203.3,9.1,0.4,-0.1,-0.6,-0.5,2.5,-0.1,tailOff_beta0_balance,raw_tailOff_beta0_balance.txt,0,0,30,-4.0,0,inf,inf
42.0,13.0,29.0,32.0,-4.0,0.0,410.53,101115.0,293.03999999999996,1093.9,-248.7,-300.9,-129.1,353.2,30.8,470.149,1.2020737939567412,962.0247772392307,40.00760575821467,437678.4508569773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101115.0,1.508056932129142e-05,inf,inf,10.063846597612736,-3.5804795645947345,-17.69323177425089,-1.0046486847463647,-6.029261013278245,-0.20963110035261676,0.048170209127175886,-0.017137825753725272,-0.08468796363643212,-0.0034431815142814104,-0.17492354449347203,-0.0007184580445997673,-0.0878418519416448,0.04214533520692011,0.017137825753725272,-0.0846879636364321,0.04817020912717588,0.017137825753725272,-0.008303491773284787,-0.18850046092005338,-0.18850046092005338,-0.00013957573821530688,1093.5,-248.6,-300.29999999999995,-128.6,350.7,30.900000000000002,0.4,-0.1,-0.6,-0.5,2.5,-0.1,tailOff_beta0_balance,raw_tailOff_beta0_balance.txt,0,0,40,-4.0,0,inf,inf
23.0,13.0,13.0,55.0,-3.0,0.0,103.26,101143.0,292.59,288.2,-29.8,-14.9,-2.8,107.0,7.0,243.21,1.2042559505210984,240.89426682835068,20.001788440330923,219475.25287649073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101143.0,1.5035352390156756e-05,inf,inf,2.6488166721775857,-0.38839706759937287,1.6196013981631505,-0.2152613279117292,-1.475157364307944,-0.04669107817267763,0.050632132394956814,-0.007424210197354876,0.030958681769183604,-0.002946262963999579,-0.17091584588095884,-0.0006390567023993241,0.028266372906265328,0.052182995031618926,0.007424210197354876,0.0309586817691836,0.05063213239495681,0.007424210197354876,-0.005065338790668523,-0.18518666268831435,-0.18518666268831435,-0.00037447055197212356,287.9,-29.8,-13.1,-0.9999999999999998,101.0,7.0,0.3,0.0,-1.8,-1.8,6.0,0.0,tailOff_beta0_balance,raw_tailOff_beta0_balance.txt,0,0,20,-3.0,0,inf,inf
3.0,12.0,53.0,33.0,-2.998,0.0,231.86,101151.0,292.67999999999995,618.3,-61.0,-46.1,-15.7,221.7,8.8,356.449,1.2039808605715392,541.6417560516483,29.99585703441233,328984.4835743069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101151.0,1.5042367678880129e-05,inf,inf,5.68608961416579,-0.863001003518736,1.734890705018251,-0.42180289576012836,-3.1809319311390323,-0.0598317709452304,0.04833952111388495,-0.00733668620469292,0.014748938471982947,-0.0025676118718538444,-0.1639127284145537,-0.00036420984051370074,0.012200542494658573,0.04904474742932313,0.00733668620469292,0.014748938471982945,0.04833952111388495,0.00733668620469292,-0.004648182933767821,-0.17753736592715938,-0.17753736592715938,-0.00012127074773587973,618.0,-61.0,-44.300000000000004,-13.899999999999999,215.7,8.8,0.3,0.0,-1.8,-1.8,6.0,0.0,tailOff_beta0_balance,raw_tailOff_beta0_balance.txt,0,0,30,-3.0,0,inf,inf
43.0,13.0,30.0,28.0,-3.0,0.0,410.28,101114.0,293.13,1072.1,-232.9,-135.5,24.1,375.8,26.9,469.873,1.2016928354908905,961.4345016371849,40.00166913640772,437370.90301202674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101114.0,1.5088934246502226e-05,inf,inf,9.862158788008795,-3.3799656477553803,2.4882205797442776,-0.983845680859407,-5.571793480868724,-0.1832195191359267,0.047233819847135566,-0.016188006290235177,0.01191708277364958,-0.0033739546120909267,-0.16175054365004188,-0.0006283244960467329,0.009428723697174646,0.047792779461211604,0.016188006290235177,0.011917082773649577,0.04723381984713555,0.016188006290235177,-0.007958599375510625,-0.17506353597855073,-0.17506353597855073,-0.0002120942551803679,1071.8,-232.9,-133.7,25.900000000000002,369.8,26.9,0.3,0.0,-1.8,-1.8,6.0,0.0,tailOff_beta0_balance,raw_tailOff_beta0_balance.txt,0,0,40,-3.0,0,inf,inf
24.0,13.0,14.0,33.0,-2.0,0.0,103.23,101143.0,292.57,287.0,-37.4,17.0,36.7,120.4,7.5,243.277,1.2043382731071817,240.82428657294446,19.998199426119196,219462.48251218034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101143.0,1.5033529266110134e-05,inf,inf,2.635521133224621,-0.5072065876748362,6.277527747659905,-0.20813007931546074,-1.3460707581756166,-0.04823228712544736,0.050392627316047586,-0.009698071558875958,0.120029815836431,-0.0028494859695505498,-0.1560048314295547,-0.000660342925421095,0.11819801958487378,0.0545509096510352,0.009698071558875958,0.12002981583643102,0.05039262731604759,0.009698071558875958,-0.0056025608993263195,-0.17020814301949447,-0.17020814301949447,-0.0004650996959576995,286.5,-37.4,19.0,39.2,109.9,7.2,0.5,0.0,-2.0,-2.5,10.5,0.3,tailOff_beta0_balance,raw_tailOff_beta0_balance.txt,0,0,20,-2.0,0,inf,inf
4.0,12.0,54.0,17.0,-2.0,0.0,232.01,101152.0,292.69,617.0,-62.0,37.9,70.4,245.9,6.5,356.553,1.2039516279535234,541.9934438405794,30.00595787761402,329078.574533534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101152.0,1.5043130665734893e-05,inf,inf,5.671235773986578,-0.9112139179410845,12.71740608673525,-0.4277368531140482,-2.9108797321892736,-0.04305169024180462,0.04818195867471965,-0.0077415351940489825,0.10804515258055927,-0.0026020437379275143,-0.14989966772307822,-0.00026189555607689026,0.1062978082850011,0.05192332897353441,0.0077415351940489825,0.10804515258055927,0.04818195867471966,0.0077415351940489825,-0.004790244139981458,-0.16347989579451108,-0.16347989579451108,-9.477618159849587e-05,616.5,-62.0,39.9,72.9,235.4,6.2,0.5,0.0,-2.0,-2.5,10.5,0.3,tailOff_beta0_balance,raw_tailOff_beta0_balance.txt,0,0,30,-2.0,0,inf,inf
44.0,13.0,31.0,6.0,-2.0,0.0,410.35,101116.0,293.17999999999995,1067.2,-209.2,30.3,170.9,411.9,22.4,469.787,1.201511659372134,961.5997782227017,40.00812333111727,437317.8172064129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101116.0,1.5093200752114594e-05,inf,inf,9.813163526323281,-3.0616873694300506,22.51029971837928,-0.9431766137278297,-5.113002235438051,-0.15140936357453819,0.04699108389765097,-0.014661124076791028,0.10779229142469529,-0.003233930072341777,-0.14840620830156917,-0.0005191469836837209,0.10608666209567659,0.050724354918128295,0.014661124076791028,0.10779229142469529,0.04699108389765098,0.014661124076791028,-0.007379842083619715,-0.16165078478220038,-0.16165078478220038,-0.00026175366248029256,1066.7,-209.2,32.3,173.4,401.4,22.099999999999998,0.5,0.0,-2.0,-2.5,10.5,0.3,tailOff_beta0_balance,raw_tailOff_beta0_balance.txt,0,0,40,-2.0,0,inf,inf
25.0,13.0,15.0,16.0,-1.0,0.0,103.26,101142.0,292.54999999999995,290.4,-41.1,51.0,73.9,137.0,7.6,243.222,1.2044086988526044,240.89426682835068,20.000520043361465,219512.39833073568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101142.0,1.5031854844369362e-05,inf,inf,2.6681903760384995,-0.5626065477094029,11.087479509750992,-0.21836983533063337,-1.243345372624856,-0.050307985597360584,0.051002460756738095,-0.010754224521878228,0.21193717797108688,-0.0029888088331089194,-0.1440574620891711,-0.0006885609979127675,0.21101478323791292,0.05469350660405117,0.010754224521878228,0.21193717797108688,0.05100246075673809,0.010754224521878228,-0.006031019120046825,-0.15843265704454385,-0.15843265704454385,-0.0005833940547389515,290.09999999999997,-41.1,54.6,77.7,120.5,7.5,0.3,0.0,-3.6,-3.8,16.5,0.1,tailOff_beta0_balance,raw_tailOff_beta0_balance.txt,0,0,20,-1.0,0,inf,inf
5.0,12.0,55.0,18.0,-1.0,0.0,231.65,101151.0,292.69,626.0,-64.9,119.8,155.6,279.2,6.3,356.499,1.2039397255528992,541.1493966454817,29.982732819572178,328820.6120289133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101151.0,1.5043279385279588e-05,inf,inf,5.75480185149959,-0.9576713923890867,23.82553208868589,-0.4256008829967214,-2.6458917934119515,-0.0431886723824917,0.04896818161226843,-0.00814892117530732,0.2027338234110845,-0.0025930882503497044,-0.13646627647092466,-0.00026313864321589,0.20184833345982367,0.05249891660578088,0.00814892117530732,0.20273382341108453,0.04896818161226844,0.00814892117530732,-0.004893733521377523,-0.15026810381105862,-0.15026810381105862,-0.00017775829025364802,625.7,-64.9,123.39999999999999,159.4,262.7,6.2,0.3,0.0,-3.6,-3.8,16.5,0.1,tailOff_beta0_balance,raw_tailOff_beta0_balance.txt,0,0,30,-1.0,0,inf,inf
45.0,13.0,31.0,51.0,-1.0,0.0,410.11,101118.0,293.23999999999995,1074.7,-187.2,192.3,315.1,459.5,18.7,469.791,1.2012895775542207,961.033117531779,40.00003029011236,437079.3486818314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101118.0,1.5098380741436078e-05,inf,inf,9.88193124193841,-2.754460482698079,42.50834022556387,-0.9080289774671356,-4.64851804724801,-0.12810147979776554,0.04734828521132491,-0.013197721917414367,0.20367446074895265,-0.0031152529064025036,-0.1350039914093366,-0.00043948873566526046,0.20281709862444472,0.05089568330803593,0.013197721917414367,0.20367446074895265,0.04734828521132491,0.013197721917414367,-0.006841699125519856,-0.14834924614051084,-0.14834924614051084,-0.0003201333796694053,1074.4,-187.2,195.9,318.90000000000003,443.0,18.599999999999998,0.3,0.0,-3.6,-3.8,16.5,0.1,tailOff_beta0_balance,raw_tailOff_beta0_balance.txt,0,0,40,-1.0,0,inf,inf
