  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 07:39:48	   0.004	   0.005	    0.00	    0.00	    -1.0	    -0.1	     0.0	     0.0	     0.0	     0.0
       0	 07:40:26	   0.004	   0.000	    0.00	    0.00	    -1.2	    -1.1	    -0.7	     2.1	     0.0	    -0.4
       0	 07:41:00	  -5.000	   0.000	    0.00	    0.00	    18.9	    10.8	    -9.6	    -9.7	    37.4	    -6.2
       0	 07:41:19	   2.496	   0.000	    0.00	    0.00	   -18.6	    -9.9	    -3.0	     2.9	    13.0	     5.0
       0	 07:41:51	   2.496	 -10.005	    0.00	    0.00	    45.6	    26.5	    -2.6	    -4.8	    19.0	   -22.5
       0	 07:42:45	   2.496	   8.000	    0.00	    0.00	   -12.8	     3.3	    -9.0	     2.0	    25.6	     5.8
       0	 07:43:05	   2.496	   4.000	    0.00	    0.00	   -17.7	     3.5	    -6.8	     0.1	    21.8	     1.6
       0	 07:43:34	   2.496	  -3.995	 1012.11	   16.22	    -4.0	    10.7	    -6.0	    -3.0	    23.0	    -7.8
       0	 07:44:11	   2.496	  10.000	 1012.11	   16.22	    -3.0	    10.7	   -10.2	     1.2	    27.7	     3.7
       0	 07:44:47	   2.496	   0.005	 1012.11	   16.22	    -9.2	     2.0	    -5.6	    -2.2	    21.0	    -1.1
       0	 07:45:16	   2.496	  -8.000	 1012.09	   16.22	    34.7	    15.5	    -2.7	    -5.4	    18.9	   -13.9
       0	 07:45:59	   7.000	  -0.002	 1012.08	   16.24	   -30.8	   -22.7	   -24.6	   -17.1	   114.9	    13.7
       0	 07:46:06	   7.000	   0.000	 1012.07	   16.24	   -28.9	   -21.4	   -24.1	   -17.5	   115.8	    13.8
       0	 07:46:19	   5.005	   0.000	 1012.06	   16.24	   -18.6	   -14.4	   -15.0	   -11.0	    69.1	     9.4
       0	 07:46:41	   7.996	   0.000	 1012.07	   16.24	   -27.1	   -18.5	   -31.5	   -23.2	   147.0	    11.5
       0	 07:46:57	   2.507	   0.000	 1012.06	   16.23	    -9.0	    -7.8	    -6.9	    -5.9	    28.7	     5.4
