run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,B1_zeroed,B2_zeroed,B3_zeroed,B4_zeroed,B5_zeroed,B6_zeroed,B1_zero,B2_zero,B3_zero,B4_zero,B5_zero,B6_zero,config,source_file,dR,dE,V_round,AoA_round,AoS_round,J,J_round
12.0,17.0,57.0,54.0,-5.0,0.0,407.72,100915.0,294.47999999999996,1121.3,-208.7,-434.2,-310.9,341.7,37.7,469.692,1.1938296721452584,955.3904123510412,40.00684031216697,433024.1480544492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100915.0,1.5242369196334385e-05,inf,inf,10.340560091340055,-2.8600675539611564,-37.32885604937706,-1.0352828947914534,-6.435674417786958,-0.25240428323118846,0.04983838551446642,-0.013784664282460632,-0.17991384433430446,-0.003572811597218428,-0.18801115931312348,-0.0008710594513373578,-0.18357291934599518,0.03396821067742105,0.013784664282460632,-0.17991384433430446,0.04983838551446643,0.013784664282460632,-0.007505597805346179,-0.2020582562061264,-0.2020582562061264,-0.00021358885565484138,1123.3999999999999,-208.7,-434.2,-310.9,341.7,37.7,-2.1,0.0,0.0,0.0,0.0,0.0,tailOff_beta0_V50_balance,raw_tailOff_beta0_V50_balance.txt,0,0,40,-5.0,0,inf,inf
1.0,17.0,48.0,14.0,-5.0,0.0,636.1,100928.0,293.51,1708.0,-375.6,-699.4,-454.1,502.0,58.9,579.823,1.197929372527816,1496.975777806503,49.99272128063193,544353.6256422393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100928.0,1.5151512822215702e-05,inf,inf,15.741475949407821,-5.2583522581249,-58.45032994302479,-1.59593277554035,-10.03000475119778,-0.3960746841334055,0.04842074398440692,-0.016174679508376855,-0.17979308109807754,-0.0035150521790805636,-0.18700654504652894,-0.0008723570333784233,-0.18332906004983926,0.032566488910931064,0.016174679508376855,-0.17979308109807754,0.04842074398440692,0.016174679508376855,-0.008119240780182673,-0.20065407546628586,-0.20065407546628586,-0.00016139899075073275,1710.1,-375.6,-699.4,-454.1,502.0,58.9,-2.1,0.0,0.0,0.0,0.0,0.0,tailOff_beta0_V50_balance,raw_tailOff_beta0_V50_balance.txt,0,0,50,-5.0,0,inf,inf
13.0,17.0,58.0,34.0,-4.0,0.0,407.8,100914.0,294.46999999999997,1088.8,-235.4,-293.3,-142.0,352.2,32.7,469.599,1.1938583833317382,955.579280960412,40.010313425957314,433083.5187481865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100914.0,1.5241602699869977e-05,inf,inf,10.038951048091791,-3.3533991891370514,-18.0503861854097,-1.0891908659775886,-6.003376361724332,-0.2221679276141826,0.04837515760025636,-0.016159179728435058,-0.08698023053221889,-0.003758107695969496,-0.1753473824705788,-0.000766560778872372,-0.09014283147326371,0.04218988398029036,0.016159179728435058,-0.08698023053221889,0.04837515760025636,0.016159179728435058,-0.008345843919050555,-0.18898206423264838,-0.18898206423264838,-0.00018251683313043104,1090.8,-235.9,-293.2,-141.5,350.7,32.900000000000006,-2.0,0.5,-0.1,-0.5,1.5,-0.2,tailOff_beta0_V50_balance,raw_tailOff_beta0_V50_balance.txt,0,0,40,-4.0,0,inf,inf
2.0,17.0,48.0,52.0,-4.0,0.0,635.66,100928.0,293.69,1643.4,-359.0,-443.2,-210.6,506.9,54.7,579.932,1.197195172224588,1495.927711092845,49.99053942453157,543738.4198462554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100928.0,1.5167993792393146e-05,inf,inf,15.14314378973106,-5.051867135871497,-27.654200279015804,-1.5682418060362713,-9.360707633441313,-0.3695486645973555,0.046612910387337544,-0.015550418946216438,-0.0851238538930985,-0.0034564826029674575,-0.1746499697776429,-0.0008145035575598424,-0.08816804872289642,0.040561423801297986,0.015550418946216438,-0.0851238538930985,0.04661291038733754,0.015550418946216438,-0.00787713481811335,-0.18778795693185626,-0.18778795693185626,-0.00026303831971177317,1645.4,-359.5,-443.09999999999997,-210.1,505.4,54.900000000000006,-2.0,0.5,-0.1,-0.5,1.5,-0.2,tailOff_beta0_V50_balance,raw_tailOff_beta0_V50_balance.txt,0,0,50,-4.0,0,inf,inf
14.0,17.0,59.0,12.0,-3.0,0.0,407.54,100914.0,294.46999999999997,1069.2,-229.0,-134.0,14.3,376.2,28.5,469.297,1.1938583833317382,954.9654601455939,39.99746095580221,432944.39979302813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100914.0,1.5241602699869977e-05,inf,inf,9.853903717667134,-3.2999129864654573,1.88362416430546,-1.0678900218799228,-5.558064216215684,-0.19670679426597623,0.047513982301328736,-0.015911664222345818,0.009082541068947354,-0.0036869803257189348,-0.16244499582935223,-0.0006791467899635892,0.006583404063421859,0.04792420951187214,0.015911664222345818,0.009082541068947354,0.04751398230132873,0.015911664222345818,-0.00819607484209133,-0.17583695277718428,-0.17583695277718428,-0.00024926662859181667,1070.9,-229.5,-133.5,15.700000000000001,370.2,29.0,-1.7,0.5,-0.5,-1.4,6.0,-0.5,tailOff_beta0_V50_balance,raw_tailOff_beta0_V50_balance.txt,0,0,40,-3.0,0,inf,inf
3.0,17.0,49.0,27.0,-3.0,0.0,635.46,100929.0,293.84,1603.6,-333.3,-180.3,29.3,535.1,51.3,580.11,1.1965958815827593,1495.4513230552018,49.995093693202506,543301.218741322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100929.0,1.518158261748072e-05,inf,inf,14.77099467205532,-4.681173895650017,3.8740991526207704,-1.53328945685291,-8.666355388918905,-0.348595819445921,0.04548186253930996,-0.01441395873274219,0.011928867962866676,-0.003380522444106955,-0.16174641156501832,-0.0007685672045104529,0.009532183096201378,0.04604383993913504,0.01441395873274219,0.011928867962866676,0.04548186253930996,0.01441395873274219,-0.007473162633606347,-0.1745656095259651,-0.1745656095259651,-0.0003763987972790723,1605.3,-333.8,-179.8,30.7,529.1,51.8,-1.7,0.5,-0.5,-1.4,6.0,-0.5,tailOff_beta0_V50_balance,raw_tailOff_beta0_V50_balance.txt,0,0,50,-3.0,0,inf,inf
15.0,17.0,59.0,49.0,-2.0,0.0,407.56,100915.0,294.45,1066.0,-195.6,37.1,155.0,413.4,27.5,469.368,1.1939513053263224,955.0126769092324,39.99689323356046,432994.67529715865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100915.0,1.5239616666514118e-05,inf,inf,9.824142651330252,-2.7879448074515865,21.92959518166481,-1.0240749445087562,-5.100255769592437,-0.18596020697678303,0.047368137051954674,-0.013442369112460962,0.10573584962330816,-0.0035355302686722184,-0.1490573035131603,-0.0006420115481395272,0.10401831405775638,0.051029409597971635,0.013442369112460962,0.10573584962330816,0.04736813705195468,0.013442369112460962,-0.007342246017213854,-0.16240815354454244,-0.16240815354454244,-0.0003853797613842664,1067.9,-196.2,38.6,156.9,403.29999999999995,27.5,-1.9,0.6,-1.5,-1.9,10.1,0.0,tailOff_beta0_V50_balance,raw_tailOff_beta0_V50_balance.txt,0,0,40,-2.0,0,inf,inf
4.0,17.0,50.0,6.0,-2.0,0.0,635.11,100926.0,293.96,1590.2,-320.8,71.5,269.5,585.6,49.0,580.631,1.1960718557060885,1494.617652897129,49.992104086087274,542859.4391149166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100926.0,1.5193028839388024e-05,inf,inf,14.646413650125773,-4.518737853785467,35.31086096128027,-1.5499651595439885,-7.938111414311949,-0.33009120922363766,0.04512341593606375,-0.013921557355485906,0.10878749598900499,-0.0034191943272979908,-0.14823730945694039,-0.000728175070980597,0.10714644108012202,0.04889255682781101,0.013921557355485906,0.10878749598900499,0.04512341593606375,0.013921557355485906,-0.007363966361522884,-0.16095547817878178,-0.16095547817878178,-0.0004707327666506916,1592.1000000000001,-321.40000000000003,73.0,271.4,575.5,49.0,-1.9,0.6,-1.5,-1.9,10.1,0.0,tailOff_beta0_V50_balance,raw_tailOff_beta0_V50_balance.txt,0,0,50,-2.0,0,inf,inf
16.0,18.0,0.0,32.0,-1.0,0.0,407.6,100912.0,294.44,1074.0,-181.0,195.1,301.1,460.7,25.9,469.544,1.1939563602513905,955.107110547568,39.99878599973795,433028.3627135485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100912.0,1.5239152227102349e-05,inf,inf,9.896630198534028,-2.5680465453693775,41.781911353247324,-0.9725317077262662,-4.63571607061076,-0.17647878010584458,0.047712925431477204,-0.012380882266564003,0.20143596161422497,-0.003357249725043519,-0.13546752340316956,-0.0006092175003440872,0.20057257657465222,0.05122120079500774,0.012380882266564003,0.201435961614225,0.047712925431477204,0.012380882266564003,-0.006856427646976636,-0.14891555306275872,-0.14891555306275872,-0.00048946355156511,1076.0,-181.3,197.6,304.5,445.2,26.099999999999998,-2.0,0.3,-2.5,-3.4,15.5,-0.2,tailOff_beta0_V50_balance,raw_tailOff_beta0_V50_balance.txt,0,0,40,-1.0,0,inf,inf
5.0,17.0,50.0,42.0,-1.0,0.0,634.71,100924.0,294.06,1606.1,-340.9,302.2,515.9,659.1,49.9,580.82,1.195641417656547,1493.6649008844786,49.985162728889854,542446.0935652658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100924.0,1.5202494827504629e-05,inf,inf,14.790671390528955,-4.821545675217341,66.42988540144222,-1.5991911989365102,-7.211182506156353,-0.33796304999373417,0.045596918517588805,-0.014863938186233711,0.20479111406138797,-0.003530036295567499,-0.13474844201802766,-0.0007460157571101911,0.20396414742853172,0.049164071643388374,0.014863938186233711,0.20479111406138797,0.04559691851758881,0.014863938186233711,-0.007731325449920846,-0.14760006884797408,-0.14760006884797408,-0.0006109719012460424,1608.1,-341.2,304.7,519.3,643.6,50.1,-2.0,0.3,-2.5,-3.4,15.5,-0.2,tailOff_beta0_V50_balance,raw_tailOff_beta0_V50_balance.txt,0,0,50,-1.0,0,inf,inf
