run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,b,c,S
1,12,48,53,-4.996,0,414.34,101170,290.45,-619.2,925.6,-346.6,-912.5,45,-701.9,0,1.21345260399798,971.021293213045,40.0053399842883,444844.757686221,123.02,123.03,17.46,17.61,0,19.691,20.772,34.09,33.511,101170,1.48367858629074e-05,1.60036313730308,1.60023305820552,-5.86385810652602,6.01978284510747,-75.947170929987,-2.82841523760608,6.25289308529714,4.53287020069566,-0.0278070860169264,0.0285464989664102,-0.360150173559284,-0.00960387215827978,0.179730875815174,0.0153913418859965,-0.356360270602773,-0.0590655490404787,-0.0285464989664102,-0.360150173559284,-0.0278070860169264,-0.0285464989664102,-0.000211664268793206,0.187568385549081,0.187568385549081,0.0153512998322205,1.39658967036375,0.164979635584137,0.217169693741564
2,12,49,35,2.496,0,413.86,101166,290.54,-771,962.8,1381.8,789.4,-903.6,-719.9,0,1.21302875327548,969.88779991292,39.9889681815159,444400.62201981,123.03,123.03,17.58,17.93,0,21.089,22.581,34.074,33.579,101166,1.48455359220403e-05,1.59957817813128,1.59957817813128,-6.99072838274557,6.52363210284296,110.932564689213,-2.70019022926492,-4.62438113319684,4.71249929005957,-0.0331895766717984,0.0309719640074009,0.526669705869171,-0.00917919974683834,-0.133076866245815,0.016019972156579,0.524724641412454,-0.0560943649090022,-0.0309719640074009,0.526669705869171,-0.0331895766717984,-0.0309719640074009,-0.00114689717755011,-0.123722285543935,-0.123722285543935,0.0159548264781475,1.39658967036375,0.164979635584137,0.217169693741564
3,12,50,6,5,0,413.63,101164,290.54,-491.3,1047.4,1891.8,1217.9,-920.9,-726.5,0,1.21300477231838,969.344675263204,39.9781651364339,444271.783711067,123.03,123.04,18.03,17.84,0,22.172,23.819,34.14,33.543,101164,1.48458294164834e-05,1.59914605107334,1.5990160814658,-4.36483089024668,7.85814611394776,168.100401296207,-2.60576746799696,-8.23233998105822,4.79859061512141,-0.0207343284701184,0.0373286816350333,0.798530120427483,-0.00886317622399957,-0.237036654985106,0.0163217765096072,0.793684356438235,-0.0902519138426589,-0.0373286816350333,0.798530120427483,-0.0207343284701184,-0.0373286816350333,0.000229177663276282,-0.2311926229599,-0.2311926229599,0.0162796413717731,1.39658967036375,0.164979635584137,0.217169693741564
4,12,50,33,7,0,414.06,101163,290.53,-141.4,1127.5,2249.5,1517.9,-865.5,-747.6,0,1.21303453287352,970.360086196611,39.9986080100034,444521.730990582,123.03,123.02,17.53,17.67,0,23.143,24.81,33.986,33.596,101163,1.48450690108172e-05,1.59996377595965,1.60009383316791,-1.04625120633752,8.94303134069805,209.656574653967,-2.43625131356247,-11.6031739077563,4.96569609849929,-0.00496482366647276,0.04243777534626,0.994892925684073,-0.00827791795119318,-0.333744654313394,0.0168724895683399,0.986872084882547,-0.126174764235279,-0.04243777534626,0.994892925684073,-0.00496482366647276,-0.04243777534626,0.00159960105091607,-0.332345304025866,-0.332345304025866,0.0169416669194494,1.39658967036375,0.164979635584137,0.217169693741564
5,12,51,18,7,0,413.96,101166,290.53,2015.5,1043.1,1781.3,1170.6,937.9,-713.9,0,1.21307050554731,970.123942592023,39.9931477535081,444474.229353897,82.02,82.03,1.08,1.11,0,24.435,25.753,31.534,30.336,101166,1.48446287917018e-05,2.39961804456591,2.39932551524193,18.7978383460998,8.02114184004489,203.973922908239,-1.51380795821116,-9.1231645800564,4.74166822626676,0.0892239546702948,0.0380723561275151,0.96816238741956,-0.00514488316139685,-0.262475473331716,0.0161152072704638,0.971819516568839,-0.029430421622161,-0.0380723561275151,0.96816238741956,0.0892239546702948,-0.0380723561275151,0.0035803370686451,-0.287623509799847,-0.287623509799847,0.016431420286926,1.39658967036375,0.164979635584137,0.217169693741564
6,12,51,49,2.5,0,413.69,101165,290.56,1463.3,1116.6,1019.6,387.3,894.7,-788.7,0,1.21293326770037,969.486359482436,39.982265194453,444267.443719562,82.02,82.02,0.56,1.3,0,24.587,25.399,31.31,30.092,101165,1.48474970085204e-05,2.39896508308259,2.39896508308259,13.5645769073587,8.13735951383032,108.258299266907,-1.70903097314808,-2.95072596065413,5.15888301458513,0.064426617431768,0.0386493844874658,0.514186036049467,-0.00581219512930634,-0.0849488718707681,0.0175446994239085,0.51650689445984,0.0419368176834542,-0.0386493844874658,0.514186036049467,0.064426617431768,-0.0386493844874658,0.0043111233486732,-0.103107705232049,-0.103107705232049,0.0177160493169696,1.39658967036375,0.164979635584137,0.217169693741564
7,12,52,23,5,0,414.28,101164,290.61,1713.7,1084.2,1474.8,845.3,887.8,-748,0,1.21271259264782,970.879605384417,40.0146242726726,444486.810383827,82.03,82.03,0.92,1.24,0,24.354,24.736,31.294,30.089,101164,1.4852180033961e-05,2.40061396497156,2.40061396497156,15.9213405672977,8.18895753581164,164.133727791848,-1.60213234111073,-6.14548751257176,4.93542251791976,0.075511836915771,0.0388386407124846,0.778454504694963,-0.00544082759638505,-0.176669428196451,0.0167606522546705,0.782073540515392,0.0073777110267097,-0.0388386407124846,0.778454504694963,0.075511836915771,-0.0388386407124846,0.00402421964267524,-0.19795266357366,-0.19795266357366,0.0170476067645993,1.39658967036375,0.164979635584137,0.217169693741564
8,12,53,8,-4.995,0,413.7,101161,290.68,1533.2,1283.8,-582.9,-1291.7,1682.5,-929.6,0,1.21238459958878,969.509973551367,39.9917982524371,444030.190399402,82.02,82.03,1.03,0.87,0,23.786,23.813,31.732,30.434,101161,1.48589723057045e-05,2.39953707351704,2.39924455406397,13.937592416521,8.93498362582832,-73.4488408598056,-2.12425659166788,6.65374064699074,6.01437920064417,0.0661966878525451,0.042436764139082,-0.348845758020915,-0.00722414823787363,0.191550825841886,0.0204536340264446,-0.353284613217509,0.0355717083591514,-0.042436764139082,-0.348845758020915,0.0661966878525451,-0.042436764139082,0.00649966436678216,0.172893092878392,0.172893092878392,0.0198100392329711,1.39658967036375,0.164979635584137,0.217169693741564
9,12,53,59,2.496,0,413.54,101159,290.77,1865.9,1091.5,919.7,346.8,1221.5,-810.7,0,1.21198537669357,969.132149559058,39.9905897078587,443764.052233821,70.31,70.3,-1.01,-1.26,0,23.067,22.935,28.808,27.539,101159,1.48674343574837e-05,2.79909092885743,2.7994890925742,17.268846134261,7.46793924634354,107.683748338892,-1.46388384025211,-2.61289788834799,5.29999917594343,0.0820504751084512,0.0354828549909805,0.511644069555729,-0.00498030076874433,-0.075250584589141,0.0180312052394468,0.514731923286115,0.0596907155866557,-0.0354828549909805,0.511644069555729,0.0820504751084512,-0.0354828549909805,0.00423063146096148,-0.0983767545496584,-0.0983767545496584,0.0181983408716767,1.39658967036375,0.164979635584137,0.217169693741564
10,12,54,31,2.496,0,413.52,101160,290.76,666.6,1017.6,1128.5,547.2,255.6,-757.8,0,1.21203904145971,969.084921726607,39.9887299749613,443774.894730371,98.43,98.43,7.41,6.7,0,22.707,22.598,30.171,28.596,101160,1.48663797278347e-05,1.99933893100823,1.99933893100823,6.23526379304356,6.93631427386736,109.037412056879,-2.12587806014275,-3.51966546808356,4.9571488359618,0.0296274160721899,0.0329585204123379,0.518101059019845,-0.00723283352323351,-0.101370127348053,0.0168656109457167,0.518899781397357,0.00703619260502,-0.0329585204123379,0.518101059019845,0.0296274160721899,-0.0329585204123379,0.00132018080015085,-0.109720702511339,-0.109720702511339,0.0169071033387255,1.39658967036375,0.164979635584137,0.217169693741564
