run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,B1_zeroed,B2_zeroed,B3_zeroed,B4_zeroed,B5_zeroed,B6_zeroed,B1_zero,B2_zero,B3_zero,B4_zero,B5_zero,B6_zero,config,source_file,rudder_deg,V_round,AoA_round,AoS_round,J,J_round
4.0,17.0,20.0,16.0,2.496,0.0,413.22,101106.0,290.81,788.1,1844.2,1294.7,283.5,422.4,-1323.6,0.0,1.2111837665772662,968.3765086821721,39.98822250188802,443397.0123409999,98.44,98.43,6.44,7.87,0.0,21.129,21.653,28.525,28.589,101106.0,1.4878860687823469e-05,1.9991104588813853,1.9993135585927415,7.352540167190499,13.14918597295706,107.13484671210308,-2.542902906018317,-2.537051679296379,8.644608059925003,0.0349618126538645,0.06252524516476221,0.5094332508597899,-0.00865799813848316,-0.0731232540013728,0.029432897462821215,0.5104725077494743,0.012743008184115407,-0.06252524516476221,0.5094332508597899,0.0349618126538645,-0.06252524516476221,0.007674630354487079,-0.08297734467534332,-0.08297734467534332,0.029739200817043128,800.3666666666667,1849.4333333333334,1299.8666666666668,285.23333333333335,401.5,-1326.6999999999998,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.900000000000002,3.1,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,40,2.5,0,1.9991104588813853,2.0
1.0,17.0,17.0,7.0,2.496,4.0,413.81,101101.0,290.5,809.5,-428.2,696.7,860.7,460.6,-25.3,0.0,1.2124162911880931,969.7697289204261,39.99663253237486,444308.8042373147,98.44,98.42,6.9,6.8,0.0,20.503,20.594,28.612,28.743,101101.0,1.4851449705370646e-05,1.9995308971718087,1.9999372233041337,7.603355027514802,-7.216187417281273,106.82648115503552,-5.022943558004886,-2.3125260639376606,0.15889774067719725,0.036102512513794885,-0.034264149916913664,0.5072371813163812,-0.01707739524709122,-0.06655619014058897,0.0005402329311643964,0.5083281987643795,0.013978263860635182,0.034264149916913664,0.5072371813163812,0.038404714881861174,0.03166230020356072,-0.026733010254840362,-0.07673179045603103,-0.07673179045603103,-0.000624492594109075,827.2,-431.7,703.5,860.6,438.8,-26.900000000000002,-17.7,3.5,-6.8,0.1,21.8,1.6,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,40,2.5,4,1.9995308971718087,2.0
2.0,17.0,18.0,4.0,2.496,8.0,413.45,101104.0,290.63,508.3,-2894.0,101.3,1653.4,181.6,1226.0,0.0,1.211909932667162,968.9196246045557,39.987449212103556,443867.2703991036,98.42,98.43,7.98,6.06,0.0,20.618,20.945,28.89,28.665,101104.0,1.4862809760720223e-05,1.9994780330453228,1.9992748959902533,4.792262915720874,-31.17304837733905,112.0740194845113,-7.826694062111748,-3.0145619521125693,-8.001160292735243,0.02277475246496546,-0.14814680931701238,0.5326206212810651,-0.026633151610284133,-0.08683741811236068,-0.02722683593398397,0.5331071373955024,-0.00044229135318826426,0.14814680931701238,0.5326206212810651,0.043171160989536786,0.1435354218284364,-0.0671381677806039,-0.09325654969712409,-0.09325654969712409,-0.030124847937301035,521.1,-2897.3,110.3,1651.4,156.0,1220.2,-12.8,3.3,-9.0,2.0,25.6,5.8,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,40,2.5,8,1.9994780330453228,2.0
3.0,17.0,18.0,49.0,2.496,10.0,413.27,101103.0,290.71,330.1,-3931.4,-197.7,2031.0,31.8,1709.0,0.0,1.211564445727421,968.4945769444824,39.98437706931307,443611.97787620977,98.43,98.43,7.14,7.02,0.0,20.79,21.22,28.855,28.611,101103.0,1.4870220568739444e-05,1.9991212963463916,1.9991212963463916,3.0651518771925335,-41.8584898958199,113.32130386928945,-8.123402393455388,-3.1633236116550596,-11.181600354681079,0.014573222189432007,-0.19901561103869594,0.5387845712871872,-0.02765494053163529,-0.09116263525094365,-0.03806613016072494,0.5389080657471974,-0.008904478351651856,0.19901561103869594,0.5387845712871873,0.04891052038266236,0.1934615032454396,-0.08201086016784598,-0.09527014118286817,-0.09527014118286817,-0.04160155894650404,333.1,-3942.1,-187.5,2029.8,4.100000000000001,1705.3,-3.0,10.7,-10.2,1.2,27.7,3.7,rudder_m20_elevator_0,raw_rudder_m20_elevator_0.txt,-20.0,40,2.5,10,1.9991212963463916,2.0
1.0,12.0,48.0,53.0,-4.996,0.0,414.34,101170.0,290.45,-619.2,925.6,-346.6,-912.5,45.0,-701.9,0.0,1.2134526039979827,971.0212932130449,40.00533998428826,444844.7576862209,123.02,123.03,17.46,17.61,0.0,19.691,20.772,34.09,33.511,101170.0,1.48367858629074e-05,1.6003631373030802,1.6002330582055182,-5.86385810652602,6.019782845107471,-75.94717092998704,-2.8284152376060816,6.252893085297139,4.53287020069566,-0.027807086016926368,0.02854649896641022,-0.36015017355928386,-0.009603872158279783,0.1797308758151738,0.01539134188599647,-0.35636027060277337,-0.05906554904047866,-0.02854649896641022,-0.36015017355928386,-0.027807086016926365,-0.02854649896641022,-0.0002116642687932061,0.18756838554908062,0.18756838554908062,0.01535129983222055,-638.1,914.8000000000001,-337.0,-902.8,7.600000000000001,-695.6999999999999,18.9,10.8,-9.6,-9.7,37.4,-6.2,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,40,-5.0,0,1.6003631373030802,1.6
8.0,12.0,53.0,8.0,-4.995,0.0,413.7,101161.0,290.67999999999995,1533.2,1283.8,-582.9,-1291.7,1682.5,-929.6,0.0,1.2123845995887763,969.5099735513669,39.991798252437086,444030.19039940194,82.02,82.03,1.03,0.87,0.0,23.786,23.813,31.732,30.434,101161.0,1.485897230570449e-05,2.3995370735170396,2.399244554063971,13.93759241652099,8.934983625828316,-73.44884085980566,-2.124256591667887,6.653740646990737,6.014379200644172,0.06619668785254512,0.04243676413908198,-0.3488457580209147,-0.007224148237873647,0.19155082584188612,0.02045363402644459,-0.3532846132175096,0.03557170835915134,-0.04243676413908198,-0.3488457580209147,0.06619668785254512,-0.04243676413908198,0.006499664366782149,0.17289309287839233,0.17289309287839233,0.019810039232971113,1514.3,1273.0,-573.3,-1282.0,1645.1,-923.4,18.9,10.8,-9.6,-9.7,37.4,-6.2,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,40,-5.0,0,2.3995370735170396,2.4
14.0,12.0,58.0,17.0,2.496,0.0,103.96,101160.0,290.57,268.1,288.8,271.3,103.3,158.7,-204.0,0.0,1.2128315782593753,242.52716310066285,19.998385838069286,222189.75821228168,49.21,49.21,0.66,0.72,0.0,22.505,22.863,33.762,32.572,101160.0,1.4849138116813831e-05,1.999944180859678,1.999944180859678,2.5767467469310903,2.1377245560139215,26.801435904178973,-0.51739855457541,-0.9250226123674563,1.3495768238307124,0.04892289301723947,0.04058748492794418,0.5088601675776615,-0.007033909559382622,-0.10645410270688453,0.018347174027291423,0.5105079682031981,0.02671580074383986,-0.04058748492794418,0.5088601675776616,0.048922893017239476,-0.04058748492794418,0.0036026007766594955,-0.12024316532207902,-0.12024316532207902,0.018486659378122786,280.3666666666667,294.03333333333336,276.4666666666667,105.03333333333333,137.79999999999998,-207.1,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.900000000000002,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,20,2.5,0,1.999944180859678,2.0
2.0,12.0,49.0,35.0,2.496,0.0,413.86,101166.0,290.53999999999996,-771.0,962.8,1381.8,789.4,-903.6,-719.9,0.0,1.213028753275484,969.8877999129203,39.98896818151591,444400.62201981014,123.03,123.03,17.58,17.93,0.0,21.089,22.581,34.074,33.579,101166.0,1.4845535922040316e-05,1.5995781781312823,1.5995781781312823,-6.990728382745571,6.523632102842962,110.93256468921331,-2.7001902292649187,-4.624381133196843,4.712499290059566,-0.033189576671798365,0.03097196400740089,0.5266697058691712,-0.009179199746838338,-0.1330768662458155,0.016019972156578983,0.5247246414124537,-0.05609436490900217,-0.03097196400740089,0.5266697058691712,-0.03318957667179837,-0.03097196400740089,-0.0011468971775501122,-0.12372228554393513,-0.12372228554393513,0.01595482647814754,-758.7333333333333,968.0333333333333,1386.9666666666667,791.1333333333333,-924.5,-723.0,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.900000000000002,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,40,2.5,0,1.5995781781312823,1.6
6.0,12.0,51.0,49.0,2.5,0.0,413.69,101165.0,290.56,1463.3,1116.6,1019.6,387.3,894.7,-788.7,0.0,1.2129332677003728,969.4863594824362,39.98226519445301,444267.44371956156,82.02,82.02,0.56,1.3,0.0,24.587,25.399,31.31,30.092,101165.0,1.4847497008520386e-05,2.398965083082591,2.398965083082591,13.564576907358653,8.13735951383032,108.25829926690727,-1.7090309731480777,-2.950725960654127,5.158883014585127,0.06442661743176803,0.03864938448746577,0.5141860360494673,-0.0058121951293063434,-0.08494887187076805,0.017544699423908523,0.51650689445984,0.041936817683454225,-0.03864938448746577,0.5141860360494674,0.06442661743176803,-0.03864938448746577,0.004311123348673196,-0.10310770523204905,-0.10310770523204905,0.017716049316969573,1475.5666666666666,1121.8333333333333,1024.7666666666667,389.03333333333336,873.8000000000001,-791.8000000000001,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.900000000000002,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,40,2.5,0,2.398965083082591,2.4
9.0,12.0,53.0,59.0,2.496,0.0,413.54,101159.0,290.77,1865.9,1091.5,919.7,346.8,1221.5,-810.7,0.0,1.211985376693565,969.1321495590578,39.99058970785869,443764.05223382066,70.31,70.3,-1.01,-1.26,0.0,23.067,22.935,28.808,27.539,101159.0,1.4867434357483651e-05,2.7990909288574315,2.7994890925741966,17.268846134261,7.467939246343539,107.68374833889237,-1.463883840252115,-2.612897888347991,5.299999175943435,0.0820504751084512,0.03548285499098045,0.5116440695557287,-0.004980300768744337,-0.075250584589141,0.0180312052394468,0.514731923286115,0.05969071558665574,-0.03548285499098045,0.5116440695557287,0.0820504751084512,-0.03548285499098045,0.004230631460961473,-0.0983767545496584,-0.0983767545496584,0.01819834087167665,1878.1666666666667,1096.7333333333333,924.8666666666667,348.53333333333336,1200.6,-813.8000000000001,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.900000000000002,3.1,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,40,2.5,0,2.7990909288574315,2.8
